tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
, -, PTHR11139.orig.30.pi, -,0.0,1358.6,61.8,3e-201,669.8,45.0,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,1.6e-194,649.6,5.9,8e-195,649.4,5.9,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,1.7e-179,599.8,64.4,8e-180,598.0,64.4,Acuobl2326_1_TOR
NITY_DN1323_c8_g2_i, -, PTHR11139.orig.30.pi, -,8.4e-149,497.9,0.7,1e-148,497.7,0.7,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,2.7e-89,300.5,30.3,2.7e-89,300.5,30.3,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,3.2e-80,270.4,0.1,3.8e-80,270.2,0.1,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,6e-49,166.7,22.3,8e-49,166.2,22.3,Acuobl2326_1_TOR
O_transcript/2815, -, PTHR11139.orig.30.pi, -,4.7e-18,64.2,0.1,4.7e-18,64.2,0.1,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,1.6e-08,32.6,2.3,1.6e-08,32.6,2.3,Acuobl2326_1_TOR
ITY_DN3233_c0_g3_i2, -, PTHR11139.orig.30.pi, -,3.5e-07,28.1,1.5,4.7e-07,27.7,1.5,Acuobl2326_1_TOR
ITY_DN251_c6_g1_i7, -, PTHR11139.orig.30.pi, -,1.6e-05,22.6,2.1,0.00028,18.5,0.2,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.00014,19.5,5.5,0.01,13.3,0.3,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.00026,18.6,7.3,0.0064,14.0,3.8,Acuobl2326_1_TOR
O_transcript/3948, -, PTHR11139.orig.30.pi, -,0.00085,16.9,3.6,0.001,16.6,3.6,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.0027,15.2,2.4,0.0091,13.5,0.1,Acuobl2326_1_TOR
O_transcript/26897, -, PTHR11139.orig.30.pi, -,0.015,12.8,0.1,0.015,12.8,0.1,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.028,11.8,2.4,0.033,11.6,2.4,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.045,11.1,9.7,0.081,10.3,9.7,Acuobl2326_1_TOR
0051, -, PTHR11139.orig.30.pi, -,0.17,9.2,1.0,0.2,9.0,1.0,Acuobl2326_1_TOR
, -, PTHR11139.orig.30.pi, -,0.28,8.5,8.4,0.35,8.2,8.4,Acuobl2326_1_TOR
O_transcript/6842, -, PTHR11139.orig.30.pi, -,2.4,5.4,7.7,1.2,6.4,0.0,Acuobl2326_1_TOR
0240, -, PTHR11139.orig.30.pi, -,3.9,4.7,12.2,0.17,9.2,6.3,Acuobl2326_1_TOR
1|10021|KAK9838042., -, PTHR11139.orig.30.pi, -,0.0,1599.7,31.0,0.0,1599.5,31.0,Apalob2145_1_TOR
1|8215|KAK9820735.1, -, PTHR11139.orig.30.pi, -,5.5e-289,962.3,73.1,4e-290,961.9,73.1,Apalob2145_1_TOR
1|1687|KAK9832184.1, -, PTHR11139.orig.30.pi, -,1.5e-256,854.7,99.5,4e-257,853.1,99.5,Apalob2145_1_TOR
