tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
iso1, -, PTHR12848.orig.30.pi, -,0.0,1058.3,0.0,1e-228,759.2,0.0,Alaesc1_RAPTOR
007_28, -, PTHR12848.orig.30.pi, -,1.4e-20,73.1,0.0,5.8e-08,31.2,0.0,Alaesc1_RAPTOR
153_5, -, PTHR12848.orig.30.pi, -,6.4e-19,67.5,2.1,7e-09,34.3,0.0,Alaesc1_RAPTOR
3, -, PTHR12848.orig.30.pi, -,9.4e-19,67.0,0.0,4.8e-11,41.4,0.1,Alaesc1_RAPTOR
0031_50, -, PTHR12848.orig.30.pi, -,6.3e-18,64.3,4.6,8.1e-18,63.9,4.6,Alaesc1_RAPTOR
0000_75, -, PTHR12848.orig.30.pi, -,9.7e-18,63.6,0.0,3.9e-13,48.4,0.0,Alaesc1_RAPTOR
0069, -, PTHR12848.orig.30.pi, -,9.2e-17,60.4,0.1,1.4e-11,43.2,0.4,Alaesc1_RAPTOR
0070_13, -, PTHR12848.orig.30.pi, -,3.2e-16,58.6,0.0,8.9e-06,24.0,0.0,Alaesc1_RAPTOR
0010_23, -, PTHR12848.orig.30.pi, -,3.9e-16,58.3,0.0,1.2e-06,26.8,0.0,Alaesc1_RAPTOR
, -, PTHR12848.orig.30.pi, -,5.6e-16,57.8,0.0,1.1e-15,56.9,0.0,Alaesc1_RAPTOR
042_4, -, PTHR12848.orig.30.pi, -,1e-15,56.9,0.0,0.0013,16.9,0.0,Alaesc1_RAPTOR
0010_11, -, PTHR12848.orig.30.pi, -,1.1e-15,56.8,0.5,2.7e-10,39.0,0.7,Alaesc1_RAPTOR
0051_18, -, PTHR12848.orig.30.pi, -,1.1e-15,56.8,3.6,1.7e-14,52.8,1.1,Alaesc1_RAPTOR
0013_69, -, PTHR12848.orig.30.pi, -,1.4e-15,56.5,0.0,2e-06,26.2,0.0,Alaesc1_RAPTOR
0072_20, -, PTHR12848.orig.30.pi, -,9.3e-15,53.8,1.1,1.3e-14,53.3,1.1,Alaesc1_RAPTOR
_713, -, PTHR12848.orig.30.pi, -,1e-14,53.6,1.3,1.9e-14,52.7,1.4,Alaesc1_RAPTOR
ft_1123, -, PTHR12848.orig.30.pi, -,6.2e-14,51.0,0.4,6e-06,24.6,0.0,Alaesc1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.5e-13,49.8,4.6,7.7e-11,40.8,3.6,Alaesc1_RAPTOR
446, -, PTHR12848.orig.30.pi, -,1.5e-13,49.7,0.4,9e-08,30.6,0.3,Alaesc1_RAPTOR
0201_9, -, PTHR12848.orig.30.pi, -,2.1e-13,49.2,1.8,5e-11,41.4,0.2,Alaesc1_RAPTOR
076_2, -, PTHR12848.orig.30.pi, -,2.4e-13,49.1,0.1,1.6e-09,36.4,0.2,Alaesc1_RAPTOR
007_58, -, PTHR12848.orig.30.pi, -,2.5e-13,49.0,0.0,2.9e-13,48.8,0.0,Alaesc1_RAPTOR
0241_8, -, PTHR12848.orig.30.pi, -,3.3e-13,48.6,0.0,6e-13,47.8,0.0,Alaesc1_RAPTOR
0032_33, -, PTHR12848.orig.30.pi, -,3.8e-13,48.4,0.1,5.2e-13,48.0,0.1,Alaesc1_RAPTOR
0013_88, -, PTHR12848.orig.30.pi, -,4.9e-13,48.0,1.5,7.6e-12,44.1,0.2,Alaesc1_RAPTOR
0021_30, -, PTHR12848.orig.30.pi, -,6.5e-13,47.6,0.0,0.012,13.7,0.1,Alaesc1_RAPTOR
t_1109_3, -, PTHR12848.orig.30.pi, -,7.8e-13,47.4,0.8,8.6e-09,34.0,0.3,Alaesc1_RAPTOR
0031_6, -, PTHR12848.orig.30.pi, -,7.8e-13,47.4,0.0,7.9e-12,44.0,0.0,Alaesc1_RAPTOR
399_2, -, PTHR12848.orig.30.pi, -,1e-12,47.0,0.0,1.4e-12,46.5,0.0,Alaesc1_RAPTOR
0246_6, -, PTHR12848.orig.30.pi, -,1.3e-12,46.6,12.6,0.052,11.5,0.0,Alaesc1_RAPTOR
ft_314_2, -, PTHR12848.orig.30.pi, -,3.2e-12,45.4,0.0,3.2e-12,45.4,0.0,Alaesc1_RAPTOR
