Accn,one_line_summary,C.score,Complete.BUSCOs,Single.copy.percentage,Single.copy.BUSCOs,Multi.copy.percentage,Multi.copy.BUSCOs,Frag.score,Fragmented.BUSCOs,Missing.percentage,Missing.BUSCOs,n_markers,avg_identity,domain,internal_stop_codon_count,internal_stop_codon_percent
Chrveli1,"C:95.9%[S:92.4%,D:3.5%],F:3.5%,M:0.6%,n:171",95.9,164,92.4,158,3.5,6,3.5,6,0.6,1,171,NULL,eukaryota,0,0
Amoce1_1,"C:87.9%[S:87.9%,D:0.0%],F:11.1%,M:1.0%,n:99",87.9,87,87.9,87,0,0,11.1,11,1,1,99,NULL,eukaryota,0,0
Bremi1,"C:64.6%[S:50.5%,D:14.1%],F:28.3%,M:7.1%,n:99",64.6,64,50.5,50,14.1,14,28.3,28,7.1,7,99,NULL,eukaryota,0,0
Clago1,"C:49.5%[S:43.4%,D:6.1%],F:20.2%,M:30.3%,n:99",49.5,49,43.4,43,6.1,6,20.2,20,30.3,30,99,NULL,eukaryota,0,0
Fugka2468_1,"C:52.5%[S:47.5%,D:5.1%],F:19.2%,M:28.3%,n:99",52.5,52,47.5,47,5.1,5,19.2,19,28.3,28,99,NULL,eukaryota,0,0
Oxytri1,"C:97.0%[S:80.8%,D:16.2%],F:3.0%,M:0.0%,n:99",97,96,80.8,80,16.2,16,3,3,0,0,99,NULL,eukaryota,0,0
Partet1,"C:98.0%[S:29.3%,D:68.7%],F:0.0%,M:2.0%,n:99",98,97,29.3,29,68.7,68,0,0,2,2,99,NULL,eukaryota,0,0
Polgl2088_1_1,"C:60.6%[S:45.5%,D:15.2%],F:20.2%,M:19.2%,n:99",60.6,60,45.5,45,15.2,15,20.2,20,19.2,19,99,NULL,eukaryota,0,0
Symmic1,"C:75.8%[S:71.7%,D:4.0%],F:15.2%,M:9.1%,n:99",75.8,75,71.7,71,4,4,15.2,15,9.1,9,99,NULL,eukaryota,0,0
Tetthe1,"C:100.0%[S:97.0%,D:3.0%],F:0.0%,M:0.0%,n:99",100,99,97,96,3,3,0,0,0,0,99,NULL,eukaryota,0,0
Toxgon1,"C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:99",100,99,100,99,0,0,0,0,0,0,99,NULL,eukaryota,0,0
Vitbras1,"C:99.0%[S:99.0%,D:0.0%],F:1.0%,M:0.0%,n:99",99,98,99,98,0,0,1,1,0,0,99,NULL,eukaryota,0,0
