"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Stramenopiles","Ectsil1","tsil1|24344|rna5449"," -"," PTHR13298.orig.30.pi"," -",1.2e-155,519.5,0,1.8e-89,300.4,0,2880,"Ectocarpus siliculosus Ec 32","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","JGI"
"2","Stramenopiles","Alaesc1","97|esubft_925_4"," -"," PTHR13298.orig.30.pi"," -",1.3e-191,638.7,0,8e-192,638.3,0,2889,"Alaria esculenta A1","Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria","JGI"
"3","Stramenopiles","Brelac1","|9641|CCR75_005144."," -"," PTHR13298.orig.30.pi"," -",0,1077,3.3,0,1076.6,3.3,4779,"Bremia lactucae SF5",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"4","Stramenopiles","Blahom1","Blahom1|5675|rna544"," -"," PTHR13298.orig.30.pi"," -",1.4e-102,342.3,12.3,1e-103,341.7,12.3,12968,"Blastocystis hominis Singapore isolate B (sub-type 7)","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","JGI"
"5","Stramenopiles","Macpyr2","h2_pm.contig_41_#_3"," -"," PTHR13298.orig.30.pi"," -",8.3e-168,560.5,0,6e-168,559.5,0,35122,"Macrocystis pyrifera CI_03 v1.0","Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis","JGI"
"6","Stramenopiles","Parimp1","ITY_DN15259_c4_g2_i"," -"," PTHR13298.orig.30.pi"," -",6.1e-123,411.2,0.2,9e-124,410.9,0.2,37642,"Paraphysomonas imperforata CCMP1604 v1.4","Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"7","Stramenopiles","Hypcat1","mRNA-1"," -"," PTHR13298.orig.30.pi"," -",8.1e-62,208.9,2.5,9e-62,208.8,2.5,42384,"Hyphochytrium catenoides ATCC 18719","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"8","Stramenopiles","VisC74","contig_7_g57940.t1"," -"," PTHR13298.orig.30.pi"," -",1.6e-189,631.7,0,4e-138,456.9,0.3,44431,"Vischeria strain C74","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"9","Stramenopiles","NanspC018","_#_274_#_STRG.5485."," -"," PTHR13298.orig.30.pi"," -",4.4e-58,195.5,0,1.9e-51,173.5,0,52230,"Nannochloropsis oceanica C018 v1.0","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"10","Stramenopiles","Physo3","ise1Plus.C_1_t12026"," -"," PTHR13298.orig.30.pi"," -",0,1122.5,0,0,1122.1,0,67593,"Phytophthora sojae v3.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
