"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_004359215.2","TDH65527.1"," -"," PTHR13335.orig.30.pi"," -",5.1e-63,213.2,1.2,9.7e-63,212.3,1.2,"NCBI",4779,"Bremia lactucae"
"2","GCA_900000015.1","CEG46546.1"," -"," PTHR13335.orig.30.pi"," -",5.5e-67,227,2.4,7.1e-67,226.6,2.4,"NCBI",4781,"Plasmopara halstedii"
"3","GCA_016618375.1","KAG1703728.1"," -"," PTHR13335.orig.30.pi"," -",4e-67,228.1,0,4.8e-67,227.8,0,"NCBI",4784,"Phytophthora capsici"
"4","GCA_018691715.1","KAG6622494.1"," -"," PTHR13335.orig.30.pi"," -",3.1e-67,228.2,0,3.9e-67,228,0,"NCBI",4785,"Phytophthora cinnamomi"
"5","GCA_012552325.1","KAF4130166.1"," -"," PTHR13335.orig.30.pi"," -",6.3e-70,237.3,0.4,7.9e-70,237,0.4,"NCBI",4787,"Phytophthora infestans"
"6","GCA_000509465.1","ETK90153.1"," -"," PTHR13335.orig.30.pi"," -",3.7e-69,235,0.5,4.5e-69,234.7,0.5,"NCBI",4792,"Phytophthora nicotianae"
"7","GCA_031305395.1","KAK1931908.1"," -"," PTHR13335.orig.30.pi"," -",6.6e-66,223.5,0,9.3e-66,223,0,"NCBI",4793,"Phytophthora citrophthora"
"8","GCA_002215365.1","OWZ21542.1"," -"," PTHR13335.orig.30.pi"," -",1.2e-59,203.9,0,1.5e-59,203.6,0,"NCBI",4795,"Phytophthora megakarya"
"9","GCA_002911725.1","POM74049.1"," -"," PTHR13335.orig.30.pi"," -",1.6e-43,150.2,0,2.1e-43,149.7,0,"NCBI",4796,"Phytophthora palmivora"
"10","GCA_027925865.1","DBA01184.1"," -"," PTHR13335.orig.30.pi"," -",1.3e-60,205.7,0.1,1.8e-60,205.2,0.1,"NCBI",4803,"Lagenidium giganteum"
"11","GCA_017309695.1","KAG4242123.1"," -"," PTHR13335.orig.30.pi"," -",8e-71,240.9,0.2,9.9e-71,240.6,0.2,"NCBI",29920,"Phytophthora cactorum"
"12","GCA_005966545.1","TMW63624.1"," -"," PTHR13335.orig.30.pi"," -",1.7e-61,208.8,0.9,2.3e-61,208.4,0.9,"NCBI",41045,"Pythium oligandrum"
"13","GCA_009729455.1","KAE8907541.1"," -"," PTHR13335.orig.30.pi"," -",1.8e-67,230,0.2,2.2e-67,229.7,0.2,"NCBI",53985,"Phytophthora fragariae"
"14","GCA_016865095.1","KAG3120945.1"," -"," PTHR13335.orig.30.pi"," -",1.6e-70,239.5,0.3,2e-70,239.2,0.3,"NCBI",53986,"Phytophthora idaei"
"15","GCA_001078535.1","CCI39969.1"," -"," PTHR13335.orig.30.pi"," -",7.4e-61,206.5,10.8,9.5e-61,206.2,10.8,"NCBI",65357,"Albugo candida"
"16","GCA_000149755.2","EGZ24229.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-63,216.1,0,2.2e-63,215.9,0,"NCBI",67593,"Phytophthora sojae"
"17","GCA_002081575.1","OQS00219.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-45,155.6,0,3.1e-45,154.9,0,"NCBI",74557,"Thraustotheca clavata"
"18","GCA_006386115.1","KAF1332338.1"," -"," PTHR13335.orig.30.pi"," -",1.2e-58,199.6,3.2,2.1e-58,198.8,3.2,"NCBI",82926,"Globisporangium splendens"
"19","GCA_947650345.1","CAI5745195.1"," -"," PTHR13335.orig.30.pi"," -",1.3e-62,212.3,1.3,2.2e-62,211.6,1.3,"NCBI",86335,"Peronospora destructor"
"20","GCA_021527685.1","KAH9094055.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-57,196,0.7,3.5e-57,195.1,0.7,"NCBI",100861,"Aphanomyces euteiches"
"21","GCA_019155685.1","KAG7401100.1"," -"," PTHR13335.orig.30.pi"," -",5e-65,220.1,0,6.5e-65,219.8,0,"NCBI",109152,"Phytophthora boehmeriae"
"22","GCA_000520075.1","ETV76193.1"," -"," PTHR13335.orig.30.pi"," -",5.3e-46,158.4,0.1,2.8e-45,156,0.1,"NCBI",112090,"Aphanomyces astaci"
"23","GCA_019828595.1","KAG9414222.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-55,189.7,0.1,1.7e-55,189.4,0.1,"NCBI",112091,"Aphanomyces cochlioides"
"24","GCA_001029375.2","GLD97617.1"," -"," PTHR13335.orig.30.pi"," -",2.3e-59,202.2,0.1,4.2e-59,201.3,0.1,"NCBI",114742,"Pythium insidiosum"
"25","GCA_009835185.1","KAF0714247.1"," -"," PTHR13335.orig.30.pi"," -",8.1e-49,167.7,1,2.6e-48,166,0.1,"NCBI",120398,"Aphanomyces stellatus"
"26","GCA_009733145.1","KAE9356134.1"," -"," PTHR13335.orig.30.pi"," -",1e-68,233.9,0.1,1.3e-68,233.6,0.1,"NCBI",129364,"Phytophthora rubi"
"27","GCA_920940705.1","CAH0492207.1"," -"," PTHR13335.orig.30.pi"," -",7.4e-61,206.1,5.6,1.7e-60,204.9,5.6,"NCBI",134698,"Peronospora farinosa"
"28","GCA_000520115.1","ETV95354.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-49,168.5,0.2,4.5e-49,168.2,0.2,"NCBI",157072,"Aphanomyces invadans"
"29","GCA_947650285.1","CAI5726826.1"," -"," PTHR13335.orig.30.pi"," -",5.8e-62,209.8,0,7.1e-62,209.5,0,"NCBI",162125,"Hyaloperonospora brassicae"
"30","GCA_020800215.1","KAH7477120.1"," -"," PTHR13335.orig.30.pi"," -",1e-74,252.6,0,1.2e-74,252.3,0,"NCBI",164328,"Phytophthora ramorum"
"31","GCA_019155715.1","KAG7389338.1"," -"," PTHR13335.orig.30.pi"," -",1.5e-65,222.2,0,1.9e-65,221.9,0,"NCBI",221518,"Phytophthora pseudosyringae"
"32","GCA_000785725.3","KAG2530060.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-66,225,0,1.8e-66,224.6,0,"NCBI",325452,"Phytophthora kernoviae"
"33","GCA_000142945.1","EEY57262.1"," -"," PTHR13335.orig.30.pi"," -",5.3e-69,233.8,0.4,6.4e-69,233.6,0.4,"NCBI",403677,"Phytophthora infestans T30-4"
"34","GCA_947641895.1","CAI5723973.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-60,205.3,7.1,3.2e-60,204.1,7.1,"NCBI",542832,"Peronospora effusa"
"35","GCA_921012115.1","CAH0517451.1"," -"," PTHR13335.orig.30.pi"," -",2.9e-65,220.6,2.9,4.6e-65,219.9,2.9,"NCBI",622444,"Peronospora belbahrii"
"36","GCA_000151545.2","KDO29708.1"," -"," PTHR13335.orig.30.pi"," -",9e-48,163.9,0,1.4e-47,163.2,0,"NCBI",695850,"Saprolegnia parasitica CBS 223.65"
"37","GCA_000247585.2","ETN22299.1"," -"," PTHR13335.orig.30.pi"," -",4.6e-69,234.7,0.6,5.7e-69,234.4,0.6,"NCBI",761204,"Phytophthora nicotianae INRA-310"
"38","GCA_000281045.1","EQC38912.1"," -"," PTHR13335.orig.30.pi"," -",3.1e-47,162,0,4.3e-47,161.5,0,"NCBI",1156394,"Saprolegnia diclina VS20"
"39","GCA_002081595.1","OQR99815.1"," -"," PTHR13335.orig.30.pi"," -",8.3e-49,166.8,0,9.7e-49,166.6,0,"NCBI",1202772,"Achlya hypogyna"
"40","GCA_000333075.3","KAF4323422.1"," -"," PTHR13335.orig.30.pi"," -",1.7e-66,225,0,2.1e-66,224.6,0,"NCBI",1284355,"Phytophthora kernoviae 00238/432"
"41","GCA_000365545.1","ETP20044.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-69,235,0.5,4.8e-69,234.7,0.5,"NCBI",1317063,"Phytophthora nicotianae CJ01A1"
"42","GCA_000367145.1","ETP48004.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-69,235,0.5,4.7e-69,234.7,0.5,"NCBI",1317064,"Phytophthora nicotianae P10297"
"43","GCA_000365505.1","ETI50279.1"," -"," PTHR13335.orig.30.pi"," -",3.9e-69,235,0.5,4.8e-69,234.7,0.5,"NCBI",1317065,"Phytophthora nicotianae P1569"
"44","GCA_000365525.1","ETO79061.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-69,235,0.5,4.8e-69,234.7,0.5,"NCBI",1317066,"Phytophthora nicotianae P1976"
"45","GCA_008271595.1","TYZ61005.1"," -"," PTHR13335.orig.30.pi"," -",2.8e-49,168.2,0.1,3.6e-49,167.9,0.1,"NCBI",1485010,"[Pythium] brassicae (nom. inval.)"
"46","GCA_018873745.1","KAG6969212.1"," -"," PTHR13335.orig.30.pi"," -",3.6e-71,241,0.2,4.4e-71,240.7,0.2,"NCBI",2496075,"Phytophthora aleatoria"
"47","GCA_921007115.2","CAK7932818.1"," -"," PTHR13335.orig.30.pi"," -",8.7e-63,214.2,0.1,9.5e-63,214.1,0.1,"NCBI",2874970,"Peronospora matthiolae"
"48","Parimp1","ITY_DN14020_c0_g1_i"," -"," PTHR13335.orig.30.pi"," -",8.9e-38,130.6,0.3,1.3e-37,130,0.3,"JGI",37642,"Paraphysomonas imperforata CCMP1604 v1.4"
"49","Hypcat1","27-mRNA-1"," -"," PTHR13335.orig.30.pi"," -",2.8e-43,148.9,0.2,4.2e-43,148.3,0.2,"JGI",42384,"Hyphochytrium catenoides ATCC 18719"
"50","VisC74","ontig_2_g13470.t1"," -"," PTHR13335.orig.30.pi"," -",9.9e-32,110.5,0,1.9e-31,109.5,0,"JGI",44431,"Vischeria strain C74"
"51","Ochro1393","TY_DN19566_c0_g1_i7"," -"," PTHR13335.orig.30.pi"," -",1.7e-34,119.9,0,2.7e-34,119.3,0,"JGI",420556,"Ochromonas sp. CCMP1393 v1.4"
"52","Hyaar1","ranscript:HpaT80440"," -"," PTHR13335.orig.30.pi"," -",4.4e-59,200.1,0.1,8.6e-59,199.1,0.1,"JGI",559515,"Hyaloperonospora arabidopsidis Emoy2 v2.0"
"53","Phyci1",""," -"," PTHR13335.orig.30.pi"," -",3.8e-67,228.3,0.1,4.5e-67,228,0.1,"JGI",622258,"Phytophthora cinnamomi var cinnamomi v1.0"
"54","MonC141","ontig_16_g95260.t1"," -"," PTHR13335.orig.30.pi"," -",2.7e-30,105.5,0,4.9e-30,104.6,0,"JGI",1745946,"Monodopsis strain C141"
