tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
g.1_#_247, -, PTHR13298.orig.30.pi, -,1.8e-123,413.3,8.0,9e-124,411.9,8.0,Bigna1_RICTOR
86, -, PTHR13298.orig.30.pi, -,6.1e-32,110.2,0.0,1.9e-28,98.7,0.0,Bigna1_RICTOR
nesh1_pg.C_880032, -, PTHR13298.orig.30.pi, -,0.0089,13.6,0.0,0.0089,13.6,0.0,Bigna1_RICTOR
ewise1Plus.C_112002, -, PTHR13298.orig.30.pi, -,0.14,9.7,0.3,7.7,3.9,0.1,Bigna1_RICTOR
mic1|89992|g68194.t, -, PTHR13298.orig.30.pi, -,3.2e-160,535.6,0.0,7e-160,533.3,0.0,Paumic1_RICTOR
mic1|95520|g17397.t, -, PTHR13298.orig.30.pi, -,0.017,13.3,3.7,0.9,7.5,0.1,Paumic1_RICTOR
tfil1|36138|rna6830, -, PTHR13298.orig.30.pi, -,5.8e-89,299.9,0.2,7.7e-89,299.5,0.2,Retfil1_RICTOR
tfil1|12876|rna1388, -, PTHR13298.orig.30.pi, -,2.1e-07,29.8,0.1,0.0086,14.5,0.0,Retfil1_RICTOR
tfil1|29340|rna3335, -, PTHR13298.orig.30.pi, -,3.8e-05,22.3,1.6,3.8e-05,22.3,1.6,Retfil1_RICTOR
tfil1|12474|rna3986, -, PTHR13298.orig.30.pi, -,0.041,12.3,0.8,0.045,12.1,0.8,Retfil1_RICTOR
tfil1|2247|rna10952, -, PTHR13298.orig.30.pi, -,0.065,11.6,0.0,0.069,11.5,0.0,Retfil1_RICTOR
tfil1|16497|rna2250, -, PTHR13298.orig.30.pi, -,0.27,9.6,0.0,0.38,9.1,0.0,Retfil1_RICTOR
tfil1|2037|rna33803, -, PTHR13298.orig.30.pi, -,0.99,7.7,2.9,10.0,4.3,0.1,Retfil1_RICTOR
