tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EDL44104.1, -, PTHR13335.orig.30.pi, -,0.00089,16.6,0.5,0.001,16.4,0.5,GCA_000002415.2
CAD51379.1, -, PTHR13335.orig.30.pi, -,1.1e-06,26.2,7.5,1.1e-06,26.2,7.5,GCA_000002765.3
CAD52271.1, -, PTHR13335.orig.30.pi, -,9.2e-06,23.1,11.3,9.2e-06,23.1,11.3,GCA_000002765.3
EAA19286.1, -, PTHR13335.orig.30.pi, -,0.0072,14.1,19.5,0.011,13.6,19.5,GCA_000003085.2
EAA18690.1, -, PTHR13335.orig.30.pi, -,0.03,12.1,19.8,0.034,11.9,19.8,GCA_000003085.2
EAA18350.1, -, PTHR13335.orig.30.pi, -,0.4,8.4,37.2,0.46,8.2,37.2,GCA_000003085.2
CAA9986481.1, -, PTHR13335.orig.30.pi, -,0.0003,18.2,14.6,0.00031,18.1,14.6,GCA_000006355.3
CAA9989808.1, -, PTHR13335.orig.30.pi, -,0.00064,17.0,11.1,0.0015,15.8,11.1,GCA_000006355.3
CAA9986774.1, -, PTHR13335.orig.30.pi, -,0.23,8.6,25.1,0.019,12.2,13.9,GCA_000006355.3
EER00951.1, -, PTHR13335.orig.30.pi, -,0.0014,18.0,6.4,0.19,11.0,5.0,GCA_000006405.1
EER16243.1, -, PTHR13335.orig.30.pi, -,0.0038,16.6,0.3,0.0089,15.4,0.3,GCA_000006405.1
EER11422.1, -, PTHR13335.orig.30.pi, -,0.011,15.2,18.7,0.012,15.0,18.7,GCA_000006405.1
EER08243.1, -, PTHR13335.orig.30.pi, -,0.012,15.0,14.3,0.013,14.9,14.3,GCA_000006405.1
EER03022.1, -, PTHR13335.orig.30.pi, -,1.9,7.7,21.1,2.5,7.3,21.1,GCA_000006405.1
EPT24656.1, -, PTHR13335.orig.30.pi, -,3.4e-13,48.3,0.0,1.9e-11,42.5,0.0,GCA_000006565.2
EPT30534.1, -, PTHR13335.orig.30.pi, -,7.3e-07,27.4,31.3,7.2e-06,24.1,22.3,GCA_000006565.2
EPT32193.1, -, PTHR13335.orig.30.pi, -,8.1e-07,27.3,0.0,8.1e-07,27.3,0.0,GCA_000006565.2
EPT27551.1, -, PTHR13335.orig.30.pi, -,9e-06,23.8,5.2,1.8e-05,22.8,5.2,GCA_000006565.2
EPT30330.1, -, PTHR13335.orig.30.pi, -,9.8e-06,23.7,1.6,9.8e-06,23.7,1.6,GCA_000006565.2
EPT26695.1, -, PTHR13335.orig.30.pi, -,1.8e-05,22.8,23.7,0.0036,15.2,12.8,GCA_000006565.2
EPT28420.1, -, PTHR13335.orig.30.pi, -,8.3e-05,20.6,14.4,0.00016,19.7,14.4,GCA_000006565.2
EPT28446.1, -, PTHR13335.orig.30.pi, -,0.00017,19.6,10.1,0.00017,19.6,10.1,GCA_000006565.2
EPT27467.1, -, PTHR13335.orig.30.pi, -,0.00035,18.5,5.1,0.00035,18.5,5.1,GCA_000006565.2
EPT26712.1, -, PTHR13335.orig.30.pi, -,0.00071,17.5,7.3,0.00076,17.4,7.3,GCA_000006565.2
EPT26199.1, -, PTHR13335.orig.30.pi, -,0.00082,17.3,7.7,0.024,12.5,0.1,GCA_000006565.2
EPT26027.1, -, PTHR13335.orig.30.pi, -,0.0018,16.2,20.3,0.0061,14.5,2.7,GCA_000006565.2
EPT28558.1, -, PTHR13335.orig.30.pi, -,0.0055,14.6,48.6,0.037,11.9,22.3,GCA_000006565.2
EPT26432.1, -, PTHR13335.orig.30.pi, -,0.0069,14.3,10.2,0.0082,14.0,10.2,GCA_000006565.2
EPT31085.1, -, PTHR13335.orig.30.pi, -,0.026,12.4,10.5,0.004,15.1,6.3,GCA_000006565.2
EPT31084.1, -, PTHR13335.orig.30.pi, -,0.027,12.3,17.9,0.034,12.0,17.9,GCA_000006565.2
EPT26318.1, -, PTHR13335.orig.30.pi, -,0.03,12.2,11.1,0.051,11.4,11.1,GCA_000006565.2
EPT25370.1, -, PTHR13335.orig.30.pi, -,0.069,11.0,0.0,0.069,11.0,0.0,GCA_000006565.2
EPT30621.1, -, PTHR13335.orig.30.pi, -,0.092,10.5,0.0,0.092,10.5,0.0,GCA_000006565.2
EPT25168.1, -, PTHR13335.orig.30.pi, -,0.093,10.5,5.2,0.13,10.1,5.2,GCA_000006565.2
EPT26312.1, -, PTHR13335.orig.30.pi, -,0.13,10.0,28.1,4500.0,-5.0,28.1,GCA_000006565.2
EPT29399.1, -, PTHR13335.orig.30.pi, -,0.36,8.6,54.7,0.11,10.4,0.1,GCA_000006565.2
EPT31321.1, -, PTHR13335.orig.30.pi, -,0.43,8.3,8.3,0.62,7.8,8.3,GCA_000006565.2
EPT25536.1, -, PTHR13335.orig.30.pi, -,1.3,6.8,18.9,0.031,12.1,10.5,GCA_000006565.2
EPT29374.1, -, PTHR13335.orig.30.pi, -,1.6,6.4,9.0,2.2,6.0,9.0,GCA_000006565.2
EPT32604.1, -, PTHR13335.orig.30.pi, -,2.2,6.0,25.2,0.0046,14.9,15.2,GCA_000006565.2
EPT31913.1, -, PTHR13335.orig.30.pi, -,2.2,6.0,20.9,0.23,9.2,9.3,GCA_000006565.2
EPT25849.1, -, PTHR13335.orig.30.pi, -,2.7,5.7,28.7,0.00085,17.3,8.8,GCA_000006565.2
EPT29667.1, -, PTHR13335.orig.30.pi, -,5.6,4.6,49.5,0.05,11.4,16.4,GCA_000006565.2
KOB63101.1, -, PTHR13335.orig.30.pi, -,3.7e-10,37.7,35.8,4.2e-10,37.5,35.8,GCA_000149665.2
EPR63922.1, -, PTHR13335.orig.30.pi, -,9.8e-12,43.5,1.3,2.4e-10,38.9,1.3,GCA_000149715.2
EPR60754.1, -, PTHR13335.orig.30.pi, -,1.1e-06,26.9,10.5,1.1e-06,26.9,10.5,GCA_000149715.2
EPR63009.1, -, PTHR13335.orig.30.pi, -,7.9e-06,24.0,32.0,0.00076,17.5,5.2,GCA_000149715.2
EPR58339.1, -, PTHR13335.orig.30.pi, -,1.5e-05,23.1,4.6,1.5e-05,23.1,4.6,GCA_000149715.2
