tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EAN78922.1, -, PTHR19842.orig.30.pi, -,2.1e-93,311.7,0.1,2.5e-93,311.4,0.1,GCA_000002445.1
AAZ13186.1, -, PTHR19842.orig.30.pi, -,9.4e-50,168.3,7.8,1.6e-17,62.4,0.1,GCA_000002445.1
EAN79026.1, -, PTHR19842.orig.30.pi, -,4.1e-38,130.0,0.1,1e-14,53.1,0.3,GCA_000002445.1
EAN79731.1, -, PTHR19842.orig.30.pi, -,7.2e-38,129.2,0.5,1.8e-15,55.6,1.2,GCA_000002445.1
EAN80089.1, -, PTHR19842.orig.30.pi, -,7.2e-36,122.6,6.1,2.5e-17,61.7,0.3,GCA_000002445.1
EAN80090.1, -, PTHR19842.orig.30.pi, -,7.2e-36,122.6,6.1,2.5e-17,61.7,0.3,GCA_000002445.1
AAZ13363.1, -, PTHR19842.orig.30.pi, -,1.2e-35,121.9,7.1,7.5e-20,70.0,1.4,GCA_000002445.1
EAN78410.1, -, PTHR19842.orig.30.pi, -,1.4e-35,121.7,0.1,1.1e-22,79.3,0.1,GCA_000002445.1
AAZ10499.1, -, PTHR19842.orig.30.pi, -,4.2e-34,116.8,0.3,1.2e-14,52.9,0.0,GCA_000002445.1
AAZ12534.1, -, PTHR19842.orig.30.pi, -,2e-32,111.3,14.9,1.3e-14,52.8,0.1,GCA_000002445.1
AAZ12486.1, -, PTHR19842.orig.30.pi, -,2.8e-32,110.8,0.1,3.2e-14,51.5,0.0,GCA_000002445.1
EAN77711.1, -, PTHR19842.orig.30.pi, -,2e-29,101.4,0.0,3.8e-25,87.4,0.0,GCA_000002445.1
AAZ12694.1, -, PTHR19842.orig.30.pi, -,2.6e-28,97.8,2.7,2.7e-15,55.0,0.2,GCA_000002445.1
EAN76964.1, -, PTHR19842.orig.30.pi, -,5.3e-28,96.8,0.0,2.6e-17,61.6,0.0,GCA_000002445.1
AAZ10636.1, -, PTHR19842.orig.30.pi, -,4e-27,93.9,6.8,1.3e-11,42.9,0.2,GCA_000002445.1
AAZ12148.1, -, PTHR19842.orig.30.pi, -,1.4e-26,92.1,0.2,1.1e-11,43.1,0.5,GCA_000002445.1
AAZ11439.1, -, PTHR19842.orig.30.pi, -,3.9e-26,90.7,2.7,5.1e-11,41.0,0.0,GCA_000002445.1
EAN78767.1, -, PTHR19842.orig.30.pi, -,6.9e-26,89.8,8.9,1.5e-15,55.8,7.7,GCA_000002445.1
AAZ11745.1, -, PTHR19842.orig.30.pi, -,4.2e-25,87.2,0.7,6.5e-17,60.3,0.2,GCA_000002445.1
EAN77069.1, -, PTHR19842.orig.30.pi, -,6.4e-25,86.6,0.7,4.4e-19,67.5,0.4,GCA_000002445.1
AAQ16062.1, -, PTHR19842.orig.30.pi, -,2.3e-24,84.8,0.5,3e-13,48.3,0.1,GCA_000002445.1
EAN78700.1, -, PTHR19842.orig.30.pi, -,2.9e-24,84.5,0.0,1.1e-16,59.5,0.0,GCA_000002445.1
AAZ11521.1, -, PTHR19842.orig.30.pi, -,8.3e-24,83.0,0.0,9.3e-07,27.0,0.0,GCA_000002445.1
AAZ13414.1, -, PTHR19842.orig.30.pi, -,2.1e-23,81.7,7.4,2.3e-12,45.4,0.3,GCA_000002445.1
AAZ12393.1, -, PTHR19842.orig.30.pi, -,2.7e-23,81.3,0.0,4.4e-20,70.7,0.0,GCA_000002445.1
EAN79656.1, -, PTHR19842.orig.30.pi, -,4e-23,80.7,0.0,3.3e-15,54.7,0.1,GCA_000002445.1
AAZ10785.1, -, PTHR19842.orig.30.pi, -,3e-22,77.9,0.0,3.2e-20,71.2,0.0,GCA_000002445.1
AAZ12120.1, -, PTHR19842.orig.30.pi, -,3.2e-22,77.8,6.1,3.1e-20,71.3,3.0,GCA_000002445.1
EAN80000.1, -, PTHR19842.orig.30.pi, -,2e-21,75.1,0.0,2e-10,39.0,0.0,GCA_000002445.1
