"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_000350225.2","CDF38876.1"," -"," PTHR12848.orig.30.pi"," -",1.2e-236,787.9,0,7e-237,786.3,0,"NCBI","Rhodophyta",2769,"Chondrus crispus"
"2","GCA_026184775.1","KAK4538664.1"," -"," PTHR12848.orig.30.pi"," -",0,1015,0,8e-271,898.3,0,"NCBI","Rhodophyta",2771,"Cyanidium caldarium"
"3","GCA_002049455.2","OSX80246.1"," -"," PTHR12848.orig.30.pi"," -",1.3e-84,284.8,0,1.6e-84,284.4,0,"NCBI","Rhodophyta",2786,"Porphyra umbilicalis"
"4","GCA_009829735.1","KAK1860042.1"," -"," PTHR12848.orig.30.pi"," -",1.9e-278,926.9,0.9,1e-250,828.9,2.8,"NCBI","Rhodophyta",2788,"Neopyropia yezoensis"
"5","GCA_008690995.1","KAA8494031.1"," -"," PTHR12848.orig.30.pi"," -",0,1059.4,0,0,1058.9,0,"NCBI","Rhodophyta",35688,"Porphyridium purpureum"
"6","GCA_025991245.1","GJQ10663.1"," -"," PTHR12848.orig.30.pi"," -",2.3e-304,1012,16.8,5e-303,1006,16.8,"NCBI","Rhodophyta",83374,"Galdieria partita"
"7","GCA_029953675.1","KAJ8907790.1"," -"," PTHR12848.orig.30.pi"," -",0,1079.1,2,0,1067.4,2,"NCBI","Rhodophyta",101924,"Rhodosorus marinus"
"8","GCA_024341865.1","GJD07908.1"," -"," PTHR12848.orig.30.pi"," -",0,1020.5,14.2,0,1015.5,14.2,"NCBI","Rhodophyta",130081,"Galdieria sulphuraria"
"9","GCA_022539475.1","KAI0567061.1"," -"," PTHR12848.orig.30.pi"," -",1.4e-227,758.1,0,8e-228,757.1,0,"NCBI","Rhodophyta",172961,"Gracilaria domingensis"
"10","GCA_000091205.1","BAM79788.1"," -"," PTHR12848.orig.30.pi"," -",1.3e-302,1005.4,0,3e-301,998.9,0,"NCBI","Rhodophyta",280699,"Cyanidioschyzon merolae strain 10D"
"11","GCA_003194525.1","PXF49769.1"," -"," PTHR12848.orig.30.pi"," -",1.9e-260,866.9,0,5e-261,866,0,"NCBI","Rhodophyta",448386,"Gracilariopsis chorda"
"12","GCA_042855435.1","GAB0495384.1"," -"," PTHR12848.orig.30.pi"," -",6.1e-286,951.3,0,8e-285,945,0,"NCBI","Rhodophyta",683352,"Pyropia vietnamensis"
"13","GCA_026122185.1","KAK4532709.1"," -"," PTHR12848.orig.30.pi"," -",0,1041.2,0,8e-270,893.2,0.1,"NCBI","Rhodophyta",2690220,"Cyanidiococcus yangmingshanensis"
"14","GCA_026122205.1","KAK4525317.1"," -"," PTHR12848.orig.30.pi"," -",0,1023.7,16.7,0,1018.4,16.7,"NCBI","Rhodophyta",3028027,"Galdieria yellowstonensis"
