tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ce1_1|45751|g4957.t, -, PTHR33149.orig.30.pi, -,0.31,9.9,2.8,0.51,9.2,2.8,Amoce1_1_D1_FULL
symbB.v1.2.041403.t, -, PTHR33149.orig.30.pi, -,1.1e-44,154.0,0.3,1.2e-44,153.8,0.3,Bremi1_D1_FULL
ymbB.v1.2.002270.t1, -, PTHR33149.orig.30.pi, -,0.6,10.3,6.5,0.97,9.6,6.5,Bremi1_D1_FULL
ymbB.v1.2.002270.t2, -, PTHR33149.orig.30.pi, -,0.6,10.3,6.5,0.98,9.6,6.5,Bremi1_D1_FULL
1.scaffold37190.1.m, -, PTHR33149.orig.30.pi, -,0.063,13.1,0.0,0.063,13.1,0.0,Clago1_D1_FULL
1.scaffold4.471.m1, -, PTHR33149.orig.30.pi, -,0.46,10.3,0.4,1.2,9.0,0.4,Clago1_D1_FULL
bF.scaffold213.23.m, -, PTHR33149.orig.30.pi, -,0.16,11.4,0.6,0.28,10.6,0.6,Fugka2468_1_D1_FULL
bF.scaffold193.8.m1, -, PTHR33149.orig.30.pi, -,0.32,10.4,0.9,0.34,10.3,0.0,Fugka2468_1_D1_FULL
mbF.scaffold77.6.m1, -, PTHR33149.orig.30.pi, -,3.3,7.0,5.7,0.22,10.9,0.2,Fugka2468_1_D1_FULL
tri1|3173827|rna578, -, PTHR33149.orig.30.pi, -,4.6,6.5,11.6,1.4,8.2,8.2,Oxytri1_D1_FULL
tri1|3180986|rna188, -, PTHR33149.orig.30.pi, -,8.0,5.7,11.7,3.6,6.8,2.3,Oxytri1_D1_FULL
59985|XM_001433332., -, PTHR33149.orig.30.pi, -,1.6,8.6,16.1,2.1,8.2,15.4,Partet1_D1_FULL
76322|XM_001449598., -, PTHR33149.orig.30.pi, -,2.7,7.9,5.1,2.5,8.0,2.8,Partet1_D1_FULL
0544|scaffold_7660., -, PTHR33149.orig.30.pi, -,0.25,11.8,0.0,0.46,11.0,0.0,Polgl1383_1_1_D1_FULL
ymmic1|41778|rna606, -, PTHR33149.orig.30.pi, -,0.28,11.3,0.4,0.48,10.5,0.4,Symmic1_D1_FULL
|17049|Vbra_22048.t, -, PTHR33149.orig.30.pi, -,0.33,10.2,1.4,0.57,9.4,0.5,Vitbras1_D1_FULL
