"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism.Name","Source"
"1","GCA_000165425.1","CAK94867.1"," -"," PTHR13298.orig.30.pi"," -",4.1e-269,896.6,28.8,6e-270,896.4,28.8,5888,"Paramecium tetraurelia","NCBI"
"2","GCA_000220395.1","EGR34184.1"," -"," PTHR13298.orig.30.pi"," -",2.9e-83,278.7,6.4,3.6e-83,278.5,6.4,5932,"Ichthyophthirius multifiliis","NCBI"
"3","GCA_000751175.1","CDW85288.1"," -"," PTHR13298.orig.30.pi"," -",9.3e-168,560,24.3,8e-144,478.5,21.4,5949,"Stylonychia lemnae","NCBI"
"4","GCA_001970955.1","OMJ75816.1"," -"," PTHR13298.orig.30.pi"," -",2.1e-174,582.6,15.6,2e-174,578,15.6,5963,"Stentor coeruleus","NCBI"
"5","GCA_006369765.1","TNV86652.1"," -"," PTHR13298.orig.30.pi"," -",8.8e-189,629.4,9.6,6e-189,628.5,9.6,5974,"Halteria grandinella","NCBI"
"6","GCA_013115115.1","KAF4659893.1"," -"," PTHR13298.orig.30.pi"," -",3.8e-93,311.9,1,2.1e-45,153.8,0,32597,"Perkinsus olseni","NCBI"
"7","GCA_905182995.1","CAD8135743.1"," -"," PTHR13298.orig.30.pi"," -",2.3e-266,887.6,29.2,8e-267,887.3,29.2,43137,"Paramecium octaurelia","NCBI"
"8","GCA_905183005.1","CAD8139168.1"," -"," PTHR13298.orig.30.pi"," -",4.7e-267,889.8,30,7e-268,889.6,30,43138,"Paramecium pentaurelia","NCBI"
"9","GCA_905182985.1","CAD8054926.1"," -"," PTHR13298.orig.30.pi"," -",4.7e-265,883.5,31.7,7e-266,883.2,31.7,65129,"Paramecium sonneborni","NCBI"
"10","GCA_905237085.1","CAE8603289.1"," -"," PTHR13298.orig.30.pi"," -",2.1e-38,133.1,0,1.3e-37,130.4,0,89957,"Polarella glacialis","NCBI"
"11","GCA_001447515.1","KRX02551.1"," -"," PTHR13298.orig.30.pi"," -",2.9e-203,676.9,32.7,8e-203,674.3,32.7,266149,"Pseudocohnilembus persalinus","NCBI"
"12","GCA_000189635.1","EDK31723.1"," -"," PTHR13298.orig.30.pi"," -",2.3e-192,641.8,29.3,1e-192,638.1,29.3,312017,"Tetrahymena thermophila SB210","NCBI"
"13","GCA_013115145.1","KAF4671639.1"," -"," PTHR13298.orig.30.pi"," -",8.8e-91,304.1,0,3.2e-42,143.3,0,330153,"Perkinsus chesapeaki","NCBI"
"14","GCA_000006405.1","EEQ97606.1"," -"," PTHR13298.orig.30.pi"," -",5e-46,157,2.3,1.1e-31,109.5,0,423536,"Perkinsus marinus ATCC 50983","NCBI"
"15","GCA_001179505.1","CEM01627.1"," -"," PTHR13298.orig.30.pi"," -",4.4e-128,428.7,0,1.4e-68,231.7,0,1169540,"Vitrella brassicaformis CCMP3155","NCBI"
"16","GCA_914767885.1","CAG9330223.1"," -"," PTHR13298.orig.30.pi"," -",3.4e-186,621.4,11.7,6e-186,617.1,11.7,1481888,"Blepharisma stoltei","NCBI"
