Clade,Name,Accession,BUSCO Status,Completed Single Copy,Completed Duplicated Copy,Fragmented,Missing,Orthologs searched,C score,Frag score,Notes
Rhodophyta,Cyanidioschyzon merolae,GCA_000091205.1,Done,182,4,16,53,255,72.94%,6.27%,
Rhodophyta,Galdieria sulphuraria,GCA_000341285.1,Done,172,27,19,37,255,78.04%,7.45%,
Rhodophyta,Chondrus crispus,GCA_000350225.2,Done,158,3,21,73,255,63.14%,8.24%,
Rhodophyta,Porphyra umbilicalis,GCA_002049455.2,Done,111,1,37,106,255,43.92%,14.51%,
Rhodophyta,Gracilariopsis chorda,GCA_003194525.1,Done,203,4,12,36,255,81.18%,4.71%,
Rhodophyta,Porphyridium purpureum,GCA_008690995.1,Done,176,7,22,50,255,71.76%,8.63%,
Rhodophyta,Neopyropia yezoensis,GCA_009829735.1,Done,125,3,43,84,255,50.20%,16.86%,
Rhodophyta,Cyanidiococcus yangmingshanensis,GCA_013995675.1,Done,137,2,43,73,255,54.51%,16.86%,
Rhodophyta,Gracilaria domingensis,GCA_022539475.1,Done,152,1,23,79,255,60.00%,9.02%,
Rhodophyta,Galdieria sulphuraria,GCA_024341865.1,Done,177,11,26,41,255,73.73%,10.20%,
Rhodophyta,Galdieria partita,GCA_025991245.1,Done,150,59,14,32,255,81.96%,5.49%,
Rhodophyta,Cyanidiococcus yangmingshanensis,GCA_026122185.1,Done,169,5,25,56,255,68.24%,9.80%,
Rhodophyta,Galdieria yellowstonensis,GCA_026122205.1,Done,179,27,16,33,255,80.78%,6.27%,
Rhodophyta,Cyanidium caldarium,GCA_026184775.1,Done,169,2,25,59,255,67.06%,9.80%,
Rhodophyta,Rhodosorus marinus,GCA_029953675.1,Done,211,3,11,30,255,83.92%,4.31%,
Rhodophyta,Pyropia vietnamensis,GCA_042855435.1,Done,152,4,33,66,255,61.18%,12.94%,
