"","Accn","Phylum","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score.x","Frag.score.x","C.score.y","Frag.score.y","Class name","Phylum name","Order name","Family name","Genus name"
"1","GCA_000091205.1","Rhodophyta",280699,"Cyanidioschyzon merolae strain 10D",NA,NA,"H","H","M",NA,72.94,6.27,72.94,6.27,"Bangiophyceae","Rhodophyta","Cyanidiales","Cyanidiaceae","Cyanidioschyzon"
"2","GCA_000341285.1","Rhodophyta",130081,"Galdieria sulphuraria",NA,NA,"H","H","M","H",78.04,7.45,78.04,7.45,"Bangiophyceae","Rhodophyta","Galdieriales","Galdieriaceae","Galdieria"
"3","GCA_000350225.2","Rhodophyta",2769,"Chondrus crispus",NA,NA,"H","H","L","H",63.14,8.24,63.14,8.24,"Florideophyceae","Rhodophyta","Gigartinales","Gigartinaceae","Chondrus"
"4","GCA_002049455.2","Rhodophyta",2786,"Porphyra umbilicalis",NA,NA,"M","H","L","H",43.92,14.51,43.92,14.51,"Bangiophyceae","Rhodophyta","Bangiales","Bangiaceae","Porphyra"
"5","GCA_003194525.1","Rhodophyta",448386,"Gracilariopsis chorda",NA,NA,"H","H","L",NA,81.18,4.71,81.18,4.71,"Florideophyceae","Rhodophyta","Gracilariales","Gracilariaceae","Gracilariopsis"
"6","GCA_008690995.1","Rhodophyta",35688,"Porphyridium purpureum",NA,NA,"H","H","M",NA,71.76,8.63,71.76,8.63,"Bangiophyceae","Rhodophyta","Porphyridiales","Porphyridiaceae","Porphyridium"
"7","GCA_009829735.1","Rhodophyta",2788,"Neopyropia yezoensis",NA,NA,"H","H","M",NA,50.2,16.86,50.2,16.86,"Bangiophyceae","Rhodophyta","Bangiales","Bangiaceae","Neopyropia"
"8","GCA_013995675.1","Rhodophyta",2690220,"Cyanidiococcus yangmingshanensis",NA,NA,"H","H","M",NA,54.51,16.86,54.51,16.86,"Bangiophyceae","Rhodophyta","Cyanidiales","Cyanidiaceae","Cyanidiococcus"
"9","GCA_022539475.1","Rhodophyta",172961,"Gracilaria domingensis",NA,NA,"H","H","L","H",60,9.02,60,9.02,"Florideophyceae","Rhodophyta","Gracilariales","Gracilariaceae","Gracilaria"
"10","GCA_024341865.1","Rhodophyta",130081,"Galdieria sulphuraria",NA,NA,"H","H","M","H",73.73,10.2,73.73,10.2,"Bangiophyceae","Rhodophyta","Galdieriales","Galdieriaceae","Galdieria"
"11","GCA_025991245.1","Rhodophyta",83374,"Galdieria partita",NA,NA,"H","H","M","H",81.96,5.49,81.96,5.49,"Bangiophyceae","Rhodophyta","Galdieriales","Galdieriaceae","Galdieria"
"12","GCA_026122185.1","Rhodophyta",2690220,"Cyanidiococcus yangmingshanensis",NA,NA,"H","H","M",NA,68.24,9.8,68.24,9.8,"Bangiophyceae","Rhodophyta","Cyanidiales","Cyanidiaceae","Cyanidiococcus"
"13","GCA_026122205.1","Rhodophyta",3028027,"Galdieria yellowstonensis",NA,NA,"H","H","M",NA,80.78,6.27,80.78,6.27,"Bangiophyceae","Rhodophyta","Galdieriales","Galdieriaceae","Galdieria"
"14","GCA_026184775.1","Rhodophyta",2771,"Cyanidium caldarium",NA,NA,"H","H","M",NA,67.06,9.8,67.06,9.8,"Bangiophyceae","Rhodophyta","Cyanidiales","Cyanidiaceae","Cyanidium"
"15","GCA_029953675.1","Rhodophyta",101924,"Rhodosorus marinus",NA,NA,"H","H","M",NA,83.92,4.31,83.92,4.31,"Stylonematophyceae","Rhodophyta","Stylonematales","Stylonemataceae","Rhodosorus"
"16","GCA_042855435.1","Rhodophyta",683352,"Pyropia vietnamensis",NA,NA,"H","H","L",NA,61.18,12.94,61.18,12.94,"Bangiophyceae","Rhodophyta","Bangiales","Bangiaceae","Pyropia"
