tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
t1_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.18,10.1,2.8,2.5,6.3,0.8,Euggra1_RICTOR
.t1_protein_coding., -, PTHR13298.orig.30.pi, -,0.2,10.0,3.7,2.9,6.1,1.2,Euggra1_RICTOR
t1_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.23,9.8,0.5,10.0,4.3,0.0,Euggra1_RICTOR
t3_protein_coding.3, -, PTHR13298.orig.30.pi, -,0.27,9.6,0.1,0.46,8.8,0.1,Euggra1_RICTOR
t1_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.27,9.5,0.0,0.33,9.2,0.0,Euggra1_RICTOR
t4_protein_coding.2, -, PTHR13298.orig.30.pi, -,0.28,9.5,0.0,0.33,9.2,0.0,Euggra1_RICTOR
t2_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.33,9.2,0.0,0.4,9.0,0.0,Euggra1_RICTOR
1_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.39,9.0,0.2,0.97,7.7,0.1,Euggra1_RICTOR
t1_protein_coding.1, -, PTHR13298.orig.30.pi, -,0.54,8.6,3.0,5.6,5.2,1.0,Euggra1_RICTOR
1_protein_coding.2, -, PTHR13298.orig.30.pi, -,0.78,8.0,1.2,0.93,7.8,1.2,Euggra1_RICTOR
|5100|XM_001705475., -, PTHR13298.orig.30.pi, -,0.072,8.9,0.0,0.15,7.8,0.0,Giaint1_RICTOR
10839|XM_001323098., -, PTHR13298.orig.30.pi, -,3.6e-105,354.2,13.4,8.4e-75,253.6,4.9,Trivag1_RICTOR
3881|XM_001325242.1, -, PTHR13298.orig.30.pi, -,1.3e-100,339.1,0.0,1.5e-73,249.4,0.0,Trivag1_RICTOR
897|XM_001326102.1, -, PTHR13298.orig.30.pi, -,7.1e-93,313.5,19.0,2.9e-73,248.5,8.3,Trivag1_RICTOR
922|XM_001326127.1, -, PTHR13298.orig.30.pi, -,1.5e-92,312.4,15.1,1.3e-72,246.4,2.1,Trivag1_RICTOR
8324|XM_001323926.1, -, PTHR13298.orig.30.pi, -,1.4e-89,302.5,0.0,2.3e-63,215.8,0.0,Trivag1_RICTOR
58064|XM_001303388., -, PTHR13298.orig.30.pi, -,3.8e-74,251.4,21.4,1.3e-57,196.7,9.2,Trivag1_RICTOR
12284|XM_001322608., -, PTHR13298.orig.30.pi, -,1.3e-32,113.9,0.0,1.7e-32,113.5,0.0,Trivag1_RICTOR
14193|XM_001321938., -, PTHR13298.orig.30.pi, -,0.00037,19.6,0.7,0.0012,17.9,0.4,Trivag1_RICTOR
52198|XM_001328003., -, PTHR13298.orig.30.pi, -,0.0014,17.7,0.0,0.13,11.2,0.6,Trivag1_RICTOR
48403|XM_001308341., -, PTHR13298.orig.30.pi, -,0.078,11.9,3.6,0.33,9.9,0.0,Trivag1_RICTOR
426|XM_001326237.1, -, PTHR13298.orig.30.pi, -,0.079,11.9,4.6,0.033,13.2,0.3,Trivag1_RICTOR
56018|XM_001304353., -, PTHR13298.orig.30.pi, -,0.13,11.2,0.1,0.26,10.2,0.1,Trivag1_RICTOR
28237|XM_001316926., -, PTHR13298.orig.30.pi, -,0.14,11.1,7.1,0.053,12.5,2.0,Trivag1_RICTOR
32044|XM_001580262., -, PTHR13298.orig.30.pi, -,0.22,10.4,0.1,0.27,10.2,0.1,Trivag1_RICTOR
46028|XM_001309558., -, PTHR13298.orig.30.pi, -,1.1,8.1,3.8,1.8,7.4,3.8,Trivag1_RICTOR
|5545|XM_842058.1, -, PTHR13298.orig.30.pi, -,2.8e-226,752.5,0.0,3e-227,751.9,0.0,Trybru1_RICTOR
|2219|XM_001218965., -, PTHR13298.orig.30.pi, -,0.41,6.8,3.9,4.2,3.5,0.1,Trybru1_RICTOR
