tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
153_5, -, PTHR19842.orig.30.pi, -,6.1e-115,383.5,5.3,2e-116,383.3,5.3,Alaesc1_LST8
042_4, -, PTHR19842.orig.30.pi, -,1.2e-52,178.8,0.0,1.2e-09,37.5,0.0,Alaesc1_LST8
0070_13, -, PTHR19842.orig.30.pi, -,6.1e-49,166.6,0.1,4.8e-16,58.5,0.0,Alaesc1_LST8
0021_30, -, PTHR19842.orig.30.pi, -,1.9e-46,158.4,0.0,2.3e-15,56.3,0.0,Alaesc1_LST8
0013_69, -, PTHR19842.orig.30.pi, -,1.7e-44,152.0,0.0,2.6e-20,72.5,0.0,Alaesc1_LST8
347_13, -, PTHR19842.orig.30.pi, -,4.4e-42,144.1,0.0,2.6e-23,82.4,0.0,Alaesc1_LST8
129_14, -, PTHR19842.orig.30.pi, -,3.1e-40,138.0,0.0,2e-14,53.2,0.0,Alaesc1_LST8
, -, PTHR19842.orig.30.pi, -,1.9e-38,132.2,13.6,1.4e-21,76.7,3.2,Alaesc1_LST8
446, -, PTHR19842.orig.30.pi, -,2.3e-38,131.8,4.0,2e-26,92.6,1.1,Alaesc1_LST8
0051_18, -, PTHR19842.orig.30.pi, -,8.6e-38,130.0,0.6,1.9e-14,53.3,0.0,Alaesc1_LST8
ft_515_11, -, PTHR19842.orig.30.pi, -,1.3e-37,129.4,2.1,1e-13,50.9,0.0,Alaesc1_LST8
0072_20, -, PTHR19842.orig.30.pi, -,6.2e-37,127.2,4.5,2.3e-13,49.7,0.1,Alaesc1_LST8
076_2, -, PTHR19842.orig.30.pi, -,1.2e-36,126.2,2.2,3.3e-12,45.9,0.3,Alaesc1_LST8
0010_11, -, PTHR19842.orig.30.pi, -,3e-36,124.9,0.5,4.1e-14,52.2,0.1,Alaesc1_LST8
ft_1123, -, PTHR19842.orig.30.pi, -,4.1e-36,124.4,1.5,4.3e-22,78.4,0.9,Alaesc1_LST8
0015_23_iso1, -, PTHR19842.orig.30.pi, -,3.9e-35,121.3,1.2,8e-12,44.7,0.0,Alaesc1_LST8
ft_466_3, -, PTHR19842.orig.30.pi, -,2.3e-34,118.7,1.7,1.4e-17,63.5,0.1,Alaesc1_LST8
0069, -, PTHR19842.orig.30.pi, -,2.4e-34,118.7,0.0,1.1e-12,47.5,0.0,Alaesc1_LST8
t_903_2, -, PTHR19842.orig.30.pi, -,3.6e-33,114.8,0.0,8.3e-17,61.0,0.0,Alaesc1_LST8
0000_75, -, PTHR19842.orig.30.pi, -,6e-33,114.1,0.0,1.7e-23,83.0,0.1,Alaesc1_LST8
_713, -, PTHR19842.orig.30.pi, -,1.2e-32,113.1,0.1,5.6e-23,81.3,0.5,Alaesc1_LST8
_iso1, -, PTHR19842.orig.30.pi, -,1.5e-32,112.8,0.0,4.8e-08,32.2,0.1,Alaesc1_LST8
ft_85_10, -, PTHR19842.orig.30.pi, -,2.2e-32,112.2,0.0,6e-12,45.1,0.0,Alaesc1_LST8
0015_4, -, PTHR19842.orig.30.pi, -,4.4e-32,111.2,0.2,6.4e-11,41.7,0.0,Alaesc1_LST8
ft_674_5, -, PTHR19842.orig.30.pi, -,6.6e-32,110.6,5.4,1.1e-11,44.2,0.2,Alaesc1_LST8
3, -, PTHR19842.orig.30.pi, -,3.8e-31,108.1,2.4,2.2e-11,43.2,0.1,Alaesc1_LST8
0010_23, -, PTHR19842.orig.30.pi, -,2.8e-30,105.3,0.0,8.4e-08,31.4,0.0,Alaesc1_LST8
0032_33, -, PTHR19842.orig.30.pi, -,2.9e-30,105.2,0.3,9e-12,44.5,0.0,Alaesc1_LST8
0031_40, -, PTHR19842.orig.30.pi, -,3.7e-30,104.9,6.4,1.7e-15,56.7,0.6,Alaesc1_LST8
0013_88, -, PTHR19842.orig.30.pi, -,1.1e-29,103.4,0.0,8e-12,44.6,0.0,Alaesc1_LST8
0331_3, -, PTHR19842.orig.30.pi, -,7.8e-29,100.5,0.1,3.2e-18,65.7,0.1,Alaesc1_LST8
399_2, -, PTHR19842.orig.30.pi, -,3.2e-27,95.3,1.6,1.1e-14,54.1,0.3,Alaesc1_LST8
t_98_2, -, PTHR19842.orig.30.pi, -,4.8e-27,94.7,0.0,3.5e-10,39.2,0.0,Alaesc1_LST8
0038_23, -, PTHR19842.orig.30.pi, -,6.5e-27,94.2,0.0,5.2e-13,48.5,0.0,Alaesc1_LST8
0031_50, -, PTHR19842.orig.30.pi, -,8.5e-27,93.8,16.6,8e-16,57.8,3.8,Alaesc1_LST8
089_9, -, PTHR19842.orig.30.pi, -,1.7e-26,92.9,0.5,5.2e-11,42.0,0.0,Alaesc1_LST8
ft_609_3, -, PTHR19842.orig.30.pi, -,1.7e-26,92.8,0.0,2.5e-23,82.5,0.0,Alaesc1_LST8
0324_2_iso1, -, PTHR19842.orig.30.pi, -,4e-26,91.6,0.0,7.6e-11,41.4,0.0,Alaesc1_LST8
0233_3_iso2, -, PTHR19842.orig.30.pi, -,4.2e-26,91.6,0.0,2.2e-11,43.2,0.0,Alaesc1_LST8
0002_43, -, PTHR19842.orig.30.pi, -,6.2e-26,91.0,0.5,2e-14,53.2,0.2,Alaesc1_LST8
0330_5, -, PTHR19842.orig.30.pi, -,1.2e-25,90.1,7.3,1.1e-14,54.0,1.5,Alaesc1_LST8
, -, PTHR19842.orig.30.pi, -,1.4e-25,89.8,0.0,3.6e-15,55.7,0.1,Alaesc1_LST8
t_1109_3, -, PTHR19842.orig.30.pi, -,2.3e-25,89.1,3.1,8.8e-20,70.8,1.3,Alaesc1_LST8
0625, -, PTHR19842.orig.30.pi, -,1.1e-24,86.9,0.0,1.7e-22,79.7,0.0,Alaesc1_LST8
ft_314_2, -, PTHR19842.orig.30.pi, -,3.3e-24,85.3,0.1,2.1e-08,33.4,0.0,Alaesc1_LST8
0047_14, -, PTHR19842.orig.30.pi, -,8.9e-24,83.9,1.0,4.2e-15,55.4,0.0,Alaesc1_LST8
ft_88_7, -, PTHR19842.orig.30.pi, -,2.4e-23,82.5,0.3,4.3e-12,45.5,0.2,Alaesc1_LST8
199_10, -, PTHR19842.orig.30.pi, -,3.4e-23,82.0,0.6,1.9e-12,46.7,0.3,Alaesc1_LST8
0020_23, -, PTHR19842.orig.30.pi, -,1.4e-22,80.0,0.0,2.7e-14,52.8,0.0,Alaesc1_LST8
422_8, -, PTHR19842.orig.30.pi, -,1.8e-22,79.6,1.7,2.2e-19,69.5,0.2,Alaesc1_LST8
ft_88_14, -, PTHR19842.orig.30.pi, -,1.3e-21,76.8,0.0,9.9e-11,41.1,0.1,Alaesc1_LST8
ft_68_5, -, PTHR19842.orig.30.pi, -,1.4e-21,76.7,0.1,7e-17,61.3,0.0,Alaesc1_LST8
0031_6, -, PTHR19842.orig.30.pi, -,1.6e-21,76.5,0.1,5e-11,42.0,0.0,Alaesc1_LST8
ft_470_11, -, PTHR19842.orig.30.pi, -,1.6e-21,76.5,0.0,6.5e-09,35.1,0.0,Alaesc1_LST8
ft_187_5, -, PTHR19842.orig.30.pi, -,1.9e-21,76.2,0.0,1.3e-06,27.5,0.0,Alaesc1_LST8
ft_34_2, -, PTHR19842.orig.30.pi, -,2.7e-21,75.8,0.0,5.1e-21,74.9,0.0,Alaesc1_LST8
076_21, -, PTHR19842.orig.30.pi, -,3.6e-21,75.4,0.0,3.1e-12,46.0,0.0,Alaesc1_LST8
0041_40, -, PTHR19842.orig.30.pi, -,4.5e-21,75.0,0.0,1.3e-09,37.4,0.0,Alaesc1_LST8
ft_575_2, -, PTHR19842.orig.30.pi, -,5.4e-21,74.8,1.7,1.9e-12,46.7,2.0,Alaesc1_LST8
ft_32_2, -, PTHR19842.orig.30.pi, -,1.1e-20,73.8,0.0,5.4e-14,51.8,0.1,Alaesc1_LST8
49_11, -, PTHR19842.orig.30.pi, -,1.5e-20,73.4,0.0,2.1e-15,56.4,0.0,Alaesc1_LST8
, -, PTHR19842.orig.30.pi, -,2.2e-20,72.8,0.0,1.2e-08,34.3,0.0,Alaesc1_LST8
0173_2, -, PTHR19842.orig.30.pi, -,2.2e-20,72.7,0.0,3.8e-10,39.1,0.0,Alaesc1_LST8
