"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_933822405.4","CAJ1942992.1"," -"," PTHR11139.orig.30.pi"," -",0,1274.8,25.1,0,1274.5,25.1,"NCBI",2856,"Cylindrotheca closterium"
"2","GCA_000310025.1","CBJ33367.1"," -"," PTHR11139.orig.30.pi"," -",2.7e-293,977.3,0,8e-279,926.7,0,"NCBI",2880,"Ectocarpus siliculosus"
"3","GCA_004359215.2","TDH74109.1"," -"," PTHR11139.orig.30.pi"," -",0,1996.2,21.8,0,1995.3,21.8,"NCBI",4779,"Bremia lactucae"
"4","GCA_900000015.1","CEG47092.1"," -"," PTHR11139.orig.30.pi"," -",0,1939.9,48.3,0,1939.3,48.3,"NCBI",4781,"Plasmopara halstedii"
"5","GCA_016618375.1","KAG1705718.1"," -"," PTHR11139.orig.30.pi"," -",0,2078.2,15,0,2077,15,"NCBI",4784,"Phytophthora capsici"
"6","GCA_018691715.1","KAG6609026.1"," -"," PTHR11139.orig.30.pi"," -",0,1994,28.7,0,1989,28.7,"NCBI",4785,"Phytophthora cinnamomi"
"7","GCA_026225685.1","KAI9994499.1"," -"," PTHR11139.orig.30.pi"," -",0,2090.1,18.5,0,2088.5,18.5,"NCBI",4787,"Phytophthora infestans"
"8","GCA_001483015.1","KUG00731.1"," -"," PTHR11139.orig.30.pi"," -",0,2086.4,19.3,0,2084.7,19.3,"NCBI",4792,"Phytophthora nicotianae"
"9","GCA_031305395.1","KAK1938868.1"," -"," PTHR11139.orig.30.pi"," -",0,2068.5,13.7,0,2067.3,13.7,"NCBI",4793,"Phytophthora citrophthora"
"10","GCA_002215365.1","OWZ18321.1"," -"," PTHR11139.orig.30.pi"," -",0,1494.5,27.1,0,1494.3,27.1,"NCBI",4795,"Phytophthora megakarya"
"11","GCA_002911725.1","POM80357.1"," -"," PTHR11139.orig.30.pi"," -",0,1105.4,15.7,8e-201,668.8,0.3,"NCBI",4796,"Phytophthora palmivora"
"12","GCA_027925865.1","DAZ93803.1"," -"," PTHR11139.orig.30.pi"," -",0,1475,20.3,0,1474.7,20.3,"NCBI",4803,"Lagenidium giganteum"
"13","GCA_000151665.1","CBK24359.2"," -"," PTHR11139.orig.30.pi"," -",0,1026.4,27.3,0,1026.1,27.3,"NCBI",12968,"Blastocystis hominis"
"14","GCA_016864655.1","KAG2770483.1"," -"," PTHR11139.orig.30.pi"," -",0,2097,13.1,0,2095.1,13.1,"NCBI",29920,"Phytophthora cactorum"
"15","GCA_008330635.1","KAA0162218.1"," -"," PTHR11139.orig.30.pi"," -",2e-254,847.3,0,1e-185,614.9,0,"NCBI",33653,"Cafeteria roenbergensis"
"16","GCA_918797485.1","CAH0369392.1"," -"," PTHR11139.orig.30.pi"," -",0,1156.5,50.4,0,1156.2,50.4,"NCBI",35677,"Pelagomonas calceolata"
"17","GCA_005966545.1","TMW61633.1"," -"," PTHR11139.orig.30.pi"," -",0,1809.5,22.5,0,1807.9,22.5,"NCBI",41045,"Pythium oligandrum"
"18","GCA_000186865.1","EGB11613.1"," -"," PTHR11139.orig.30.pi"," -",0,1217.5,42.5,0,1217.1,42.5,"NCBI",44056,"Aureococcus anophagefferens"
"19","GCA_009729455.1","KAE8909769.1"," -"," PTHR11139.orig.30.pi"," -",0,2111.1,16.1,0,2109.6,16.1,"NCBI",53985,"Phytophthora fragariae"
"20","GCA_016865095.1","KAG3077997.1"," -"," PTHR11139.orig.30.pi"," -",0,2078,9.2,0,2076.2,9.2,"NCBI",53986,"Phytophthora idaei"
"21","GCA_040437565.1","KAL0589762.1"," -"," PTHR11139.orig.30.pi"," -",0,1672.3,52.8,0,1672,52.8,"NCBI",65357,"Albugo candida"
"22","GCA_000149755.2","EGZ23092.1"," -"," PTHR11139.orig.30.pi"," -",0,2128.7,13.5,0,2127.1,13.5,"NCBI",67593,"Phytophthora sojae"
"23","GCA_000569095.1","EWM24051.1"," -"," PTHR11139.orig.30.pi"," -",0,1405.7,0,0,1405,0,"NCBI",72520,"Nannochloropsis gaditana"
