tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
43|tor1, -, PTHR11139.orig.30.pi, -,0.0,1293.0,5.0,0.0,1291.5,5.0,Alaesc1_TOR
69|tor2, -, PTHR11139.orig.30.pi, -,0.0,1041.9,0.0,9e-249,827.2,0.0,Alaesc1_TOR
70|esubft_309_3_iso, -, PTHR11139.orig.30.pi, -,3.3e-246,821.2,0.0,5e-246,819.0,0.0,Alaesc1_TOR
15|esi_0244_8, -, PTHR11139.orig.30.pi, -,1.1e-200,670.1,0.0,4e-201,668.2,0.0,Alaesc1_TOR
02|esi_0044_18, -, PTHR11139.orig.30.pi, -,5.8e-186,621.3,0.0,8e-187,620.6,0.0,Alaesc1_TOR
8|esi_0044_3, -, PTHR11139.orig.30.pi, -,1.4e-23,82.6,0.5,2.2e-23,81.9,0.5,Alaesc1_TOR
00|esi_0115_2, -, PTHR11139.orig.30.pi, -,2.5e-23,81.7,0.8,1.2e-22,79.6,0.8,Alaesc1_TOR
7|esubft_1066, -, PTHR11139.orig.30.pi, -,3.9e-21,74.5,0.1,7.9e-21,73.5,0.1,Alaesc1_TOR
3|esubft_1328_2, -, PTHR11139.orig.30.pi, -,8.4e-16,56.8,0.2,1.7e-15,55.7,0.2,Alaesc1_TOR
09|esubft_263, -, PTHR11139.orig.30.pi, -,1.1e-14,53.1,0.2,1.2e-13,49.6,0.2,Alaesc1_TOR
5|esubft_64_3, -, PTHR11139.orig.30.pi, -,4.2e-11,41.2,0.1,9.2e-11,40.1,0.1,Alaesc1_TOR
12|esi_0086_5, -, PTHR11139.orig.30.pi, -,5.7e-09,34.1,0.4,9.1e-09,33.4,0.4,Alaesc1_TOR
64|esi_0045_7, -, PTHR11139.orig.30.pi, -,8e-09,33.6,0.1,1.5e-08,32.7,0.1,Alaesc1_TOR
5|esi_0372_5, -, PTHR11139.orig.30.pi, -,3.5e-08,31.5,13.7,4.5e-08,31.2,13.7,Alaesc1_TOR
6|esubft_668_14, -, PTHR11139.orig.30.pi, -,0.00039,18.1,3.2,0.0013,16.3,3.2,Alaesc1_TOR
55|esubft_733, -, PTHR11139.orig.30.pi, -,0.00041,18.0,7.9,0.00041,18.0,7.9,Alaesc1_TOR
7|esubft_298_6, -, PTHR11139.orig.30.pi, -,0.01,13.4,0.6,0.014,12.9,0.6,Alaesc1_TOR
9|esi_0025_11_iso2, -, PTHR11139.orig.30.pi, -,0.015,12.9,6.2,0.19,9.2,5.2,Alaesc1_TOR
78|esi_0254_12, -, PTHR11139.orig.30.pi, -,0.027,12.0,0.0,0.029,11.9,0.0,Alaesc1_TOR
03|cpc13, -, PTHR11139.orig.30.pi, -,0.032,11.7,0.3,0.042,11.3,0.3,Alaesc1_TOR
50|esubft_126_7, -, PTHR11139.orig.30.pi, -,0.22,8.9,2.9,0.29,8.6,2.9,Alaesc1_TOR
h1_pg.C_180012, -, PTHR11139.orig.30.pi, -,0.0,1376.5,28.1,0.0,1376.1,28.1,Aplke1_TOR
sh1_pm.C_150003, -, PTHR11139.orig.30.pi, -,1.9e-236,788.2,4.2,2e-237,788.0,4.2,Aplke1_TOR
7_#_24, -, PTHR11139.orig.30.pi, -,1.2e-128,430.5,0.0,5e-129,430.2,0.0,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,6.6e-128,428.1,0.4,8e-128,427.8,0.4,Aplke1_TOR
1_#_85_#_isotig0412, -, PTHR11139.orig.30.pi, -,4.9e-95,319.0,8.0,6.2e-95,318.7,8.0,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,7.8e-81,271.9,1.0,8.7e-81,271.8,1.0,Aplke1_TOR
9_#_45_#_isotig0995, -, PTHR11139.orig.30.pi, -,1.1e-46,158.6,0.0,1.2e-46,158.5,0.0,Aplke1_TOR
2_#_177, -, PTHR11139.orig.30.pi, -,1.9e-18,65.0,0.2,5.5e-18,63.4,0.0,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,5e-17,60.3,0.0,6.7e-17,59.8,0.0,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,1.1e-14,52.5,0.5,1.7e-13,48.6,0.5,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,9.9e-11,39.4,0.0,8.7e-10,36.2,0.0,Aplke1_TOR
7_#_84, -, PTHR11139.orig.30.pi, -,2.6e-09,34.7,0.1,5e-09,33.7,0.0,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,3.8e-06,24.2,5.6,1.5e-05,22.1,1.5,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,4e-06,24.1,7.3,7e-05,20.0,7.5,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,2.1e-05,21.7,0.7,4.2e-05,20.7,0.7,Aplke1_TOR
_#_149_#_isotig0569, -, PTHR11139.orig.30.pi, -,0.00021,18.3,0.1,0.055,10.3,1.5,Aplke1_TOR
_#_65, -, PTHR11139.orig.30.pi, -,0.0027,14.7,0.0,0.003,14.5,0.0,Aplke1_TOR
3_#_61, -, PTHR11139.orig.30.pi, -,0.017,12.1,7.1,0.032,11.1,7.1,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,0.025,11.5,0.3,0.034,11.0,0.3,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,0.036,11.0,1.9,0.042,10.7,1.9,Aplke1_TOR
1, -, PTHR11139.orig.30.pi, -,0.039,10.9,0.1,0.048,10.6,0.1,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,0.045,10.7,0.0,0.052,10.4,0.0,Aplke1_TOR
0_#_77, -, PTHR11139.orig.30.pi, -,0.13,9.2,3.7,0.16,8.8,3.7,Aplke1_TOR
, -, PTHR11139.orig.30.pi, -,0.19,8.6,3.3,3.3,4.4,1.8,Aplke1_TOR
jgi|Auran1|52494, -, PTHR11139.orig.30.pi, -,0.0,1217.5,42.5,0.0,1217.1,42.5,Auran1_TOR
jgi|Auran1|54760, -, PTHR11139.orig.30.pi, -,9.7e-179,596.7,7.0,1e-179,596.5,7.0,Auran1_TOR
jgi|Auran1|30397, -, PTHR11139.orig.30.pi, -,6e-150,501.2,5.9,4e-151,500.9,5.9,Auran1_TOR
jgi|Auran1|36497, -, PTHR11139.orig.30.pi, -,5e-122,408.6,0.0,9e-122,406.0,0.0,Auran1_TOR
jgi|Auran1|29654, -, PTHR11139.orig.30.pi, -,2.4e-120,403.0,0.0,8e-121,402.7,0.0,Auran1_TOR
jgi|Auran1|72240, -, PTHR11139.orig.30.pi, -,2.1e-95,320.2,29.7,5.3e-95,318.9,22.0,Auran1_TOR
jgi|Auran1|1930, -, PTHR11139.orig.30.pi, -,2.8e-60,203.7,0.0,3.6e-60,203.3,0.0,Auran1_TOR
jgi|Auran1|21311, -, PTHR11139.orig.30.pi, -,1.6e-16,58.6,0.0,3e-15,54.3,0.0,Auran1_TOR
jgi|Auran1|39233, -, PTHR11139.orig.30.pi, -,3.8e-16,57.3,0.2,3.8e-16,57.3,0.2,Auran1_TOR
jgi|Auran1|9879, -, PTHR11139.orig.30.pi, -,8.5e-16,56.1,0.1,1.4e-12,45.4,0.1,Auran1_TOR
jgi|Auran1|19517, -, PTHR11139.orig.30.pi, -,5.8e-14,50.0,0.1,1.6e-12,45.2,0.1,Auran1_TOR
jgi|Auran1|25906, -, PTHR11139.orig.30.pi, -,4.8e-13,47.0,0.2,3.6e-12,44.1,0.2,Auran1_TOR
jgi|Auran1|22047, -, PTHR11139.orig.30.pi, -,5.2e-11,40.2,2.8,7.4e-11,39.7,2.8,Auran1_TOR
jgi|Auran1|5081, -, PTHR11139.orig.30.pi, -,2.1e-08,31.6,7.1,1.1e-07,29.1,7.1,Auran1_TOR
jgi|Auran1|8400, -, PTHR11139.orig.30.pi, -,2.1e-08,31.6,7.1,1.1e-07,29.1,7.1,Auran1_TOR
jgi|Auran1|61515, -, PTHR11139.orig.30.pi, -,1.5e-07,28.7,10.7,0.00056,16.9,4.9,Auran1_TOR
jgi|Auran1|52278, -, PTHR11139.orig.30.pi, -,9.7e-05,19.4,22.0,0.0055,13.6,6.3,Auran1_TOR
jgi|Auran1|19213, -, PTHR11139.orig.30.pi, -,0.00013,19.1,7.8,0.00015,18.8,7.8,Auran1_TOR
jgi|Auran1|11487, -, PTHR11139.orig.30.pi, -,0.0091,12.9,0.1,0.0086,13.0,0.1,Auran1_TOR
jgi|Auran1|62435, -, PTHR11139.orig.30.pi, -,0.03,11.2,0.0,0.14,8.9,0.0,Auran1_TOR
jgi|Auran1|60888, -, PTHR11139.orig.30.pi, -,0.05,10.4,0.2,0.059,10.2,0.2,Auran1_TOR
jgi|Auran1|20037, -, PTHR11139.orig.30.pi, -,0.35,7.6,11.6,0.19,8.5,5.8,Auran1_TOR
jgi|Auran1|359, -, PTHR11139.orig.30.pi, -,2.9,4.6,9.7,25.0,1.5,9.7,Auran1_TOR
1, -, PTHR11139.orig.30.pi, -,0.0,1400.5,37.4,0.0,1400.3,37.4,Aurli1_TOR
5_#_168, -, PTHR11139.orig.30.pi, -,0.0,1146.2,37.0,8e-257,856.1,12.8,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,1e-128,431.1,0.8,3e-129,430.8,0.8,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,3.3e-83,280.1,76.8,1.6e-50,171.7,16.9,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,7.7e-69,232.5,0.0,8.7e-69,232.3,0.0,Aurli1_TOR
7_#_104, -, PTHR11139.orig.30.pi, -,1.5e-59,201.7,0.3,1.6e-59,201.6,0.3,Aurli1_TOR
1_#_66_#_isotig0696, -, PTHR11139.orig.30.pi, -,1.2e-54,185.3,0.4,1.4e-54,185.1,0.4,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,1.3e-31,108.9,0.6,4.8e-31,107.1,0.8,Aurli1_TOR
_#_23_#_isotig02811, -, PTHR11139.orig.30.pi, -,2.4e-21,74.9,0.1,3.8e-21,74.2,0.1,Aurli1_TOR
_#_145, -, PTHR11139.orig.30.pi, -,3.3e-17,61.2,0.0,6.7e-17,60.1,0.0,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,2e-14,51.9,0.0,4e-14,51.0,0.0,Aurli1_TOR
sh1_kg.C_20038, -, PTHR11139.orig.30.pi, -,6.4e-14,50.3,1.3,1.3e-13,49.2,1.3,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,1.1e-13,49.4,0.5,1.1e-13,49.4,0.5,Aurli1_TOR
sh1_kg.C_110136, -, PTHR11139.orig.30.pi, -,4.4e-08,30.9,3.6,1.5e-07,29.1,0.2,Aurli1_TOR
sh1_kg.C_130198, -, PTHR11139.orig.30.pi, -,1.2e-07,29.4,6.6,0.00055,17.3,3.8,Aurli1_TOR
sh1_kg.C_20179, -, PTHR11139.orig.30.pi, -,5.2e-07,27.4,30.5,0.014,12.6,0.1,Aurli1_TOR
_#_221, -, PTHR11139.orig.30.pi, -,0.0011,16.3,1.4,0.0013,16.0,1.4,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,0.0026,15.1,2.9,0.008,13.5,2.9,Aurli1_TOR
5_#_124, -, PTHR11139.orig.30.pi, -,0.0067,13.7,0.5,0.53,7.4,0.5,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,0.0075,13.5,0.8,0.011,13.0,0.8,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,0.0083,13.4,2.9,0.0095,13.2,2.9,Aurli1_TOR
ise1Plus.C_20_t1015, -, PTHR11139.orig.30.pi, -,0.011,12.9,8.3,0.016,12.4,8.3,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,0.11,9.7,0.5,0.21,8.8,0.5,Aurli1_TOR
, -, PTHR11139.orig.30.pi, -,0.12,9.6,3.1,0.12,9.5,3.1,Aurli1_TOR
ise1Plus.C_9_t10147, -, PTHR11139.orig.30.pi, -,0.36,8.0,5.5,1.2,6.2,5.6,Aurli1_TOR
ise1Plus.C_10_t2028, -, PTHR11139.orig.30.pi, -,0.62,7.2,4.0,0.82,6.8,4.0,Aurli1_TOR
Blahom1|5055|rna482, -, PTHR11139.orig.30.pi, -,0.0,1026.4,27.3,0.0,1026.1,27.3,Blahom1_TOR
Blahom1|1655|rna211, -, PTHR11139.orig.30.pi, -,4.7e-103,344.7,0.5,3e-104,344.5,0.5,Blahom1_TOR
Blahom1|3879|rna311, -, PTHR11139.orig.30.pi, -,1.9e-93,312.8,0.8,2.3e-93,312.5,0.8,Blahom1_TOR
Blahom1|3292|rna351, -, PTHR11139.orig.30.pi, -,9.5e-21,71.6,5.2,2.4e-19,67.0,5.2,Blahom1_TOR
Blahom1|2856|rna137, -, PTHR11139.orig.30.pi, -,1.7e-16,57.5,0.4,4.1e-16,56.2,0.4,Blahom1_TOR
Blahom1|4669|rna443, -, PTHR11139.orig.30.pi, -,6.5e-12,42.3,0.2,1.1e-11,41.6,0.2,Blahom1_TOR
Blahom1|4893|rna466, -, PTHR11139.orig.30.pi, -,1.3e-06,24.7,0.2,1.8e-06,24.3,0.2,Blahom1_TOR
Blahom1|1654|rna211, -, PTHR11139.orig.30.pi, -,1e-05,21.7,1.5,1.2e-05,21.5,1.5,Blahom1_TOR
Blahom1|2243|rna763, -, PTHR11139.orig.30.pi, -,0.0006,15.9,3.1,0.00092,15.3,3.1,Blahom1_TOR
Blahom1|4954|rna472, -, PTHR11139.orig.30.pi, -,0.00085,15.4,38.1,6.3e-05,19.1,19.8,Blahom1_TOR
Blahom1|1838|rna229, -, PTHR11139.orig.30.pi, -,0.0019,14.2,0.0,0.0037,13.3,0.0,Blahom1_TOR
Blahom1|3013|rna278, -, PTHR11139.orig.30.pi, -,0.0019,14.2,0.1,0.004,13.1,0.1,Blahom1_TOR
Blahom1|636|rna635, -, PTHR11139.orig.30.pi, -,0.0086,12.0,4.5,0.0098,11.8,4.5,Blahom1_TOR
Blahom1|5716|rna548, -, PTHR11139.orig.30.pi, -,0.017,11.1,0.5,0.019,10.9,0.5,Blahom1_TOR
|6975|CCR75_007408., -, PTHR11139.orig.30.pi, -,0.0,1996.2,21.8,0.0,1995.3,21.8,Brelac1_TOR
|52|CCR75_008691.1, -, PTHR11139.orig.30.pi, -,0.0,1499.7,39.4,0.0,1499.5,39.4,Brelac1_TOR
|4170|CCR75_000959., -, PTHR11139.orig.30.pi, -,9.8e-229,762.1,19.7,8e-230,762.1,19.7,Brelac1_TOR
|8778|CCR75_008854., -, PTHR11139.orig.30.pi, -,1.5e-227,758.1,70.4,1e-228,757.6,70.4,Brelac1_TOR
|5958|CCR75_007878., -, PTHR11139.orig.30.pi, -,2.5e-192,641.3,23.3,5e-193,641.3,23.3,Brelac1_TOR
|1174|CCR75_003605., -, PTHR11139.orig.30.pi, -,4.2e-114,381.8,65.8,6e-112,371.0,65.8,Brelac1_TOR
|2420|CCR75_005417., -, PTHR11139.orig.30.pi, -,4.7e-21,73.1,0.1,1.2e-20,71.7,0.1,Brelac1_TOR
|11|CCR75_008459.1, -, PTHR11139.orig.30.pi, -,1.5e-19,68.1,4.4,1.3e-18,65.0,2.3,Brelac1_TOR
|1237|CCR75_002044., -, PTHR11139.orig.30.pi, -,1.1e-15,55.3,0.1,3.7e-15,53.5,0.0,Brelac1_TOR
|9646|CCR75_005139., -, PTHR11139.orig.30.pi, -,2.2e-15,54.3,0.4,2.2e-15,54.3,0.4,Brelac1_TOR
|3213|CCR75_003133., -, PTHR11139.orig.30.pi, -,3.6e-15,53.6,0.2,3.6e-15,53.6,0.2,Brelac1_TOR
|5154|CCR75_003170., -, PTHR11139.orig.30.pi, -,4.8e-14,49.8,0.1,4.8e-14,49.8,0.1,Brelac1_TOR
|164|CCR75_000021.1, -, PTHR11139.orig.30.pi, -,3.2e-10,37.1,0.7,9.2e-10,35.6,0.7,Brelac1_TOR
|8850|CCR75_000595., -, PTHR11139.orig.30.pi, -,1.9e-09,34.6,0.0,3e-09,34.0,0.0,Brelac1_TOR
|9428|CCR75_003151., -, PTHR11139.orig.30.pi, -,4.2e-09,33.5,15.6,8.8e-07,25.7,11.9,Brelac1_TOR
|3113|CCR75_001903., -, PTHR11139.orig.30.pi, -,2.3e-06,24.4,2.8,2.3e-06,24.4,2.8,Brelac1_TOR
|2567|CCR75_002995., -, PTHR11139.orig.30.pi, -,3.8e-05,20.3,0.0,0.0095,12.4,0.0,Brelac1_TOR
|8741|CCR75_000451., -, PTHR11139.orig.30.pi, -,4.1e-05,20.2,8.4,8.6e-05,19.1,8.4,Brelac1_TOR
|8938|CCR75_001522., -, PTHR11139.orig.30.pi, -,0.002,14.6,0.0,0.41,6.9,0.0,Brelac1_TOR
|8952|CCR75_001536., -, PTHR11139.orig.30.pi, -,0.13,8.6,16.6,1.2,5.4,16.6,Brelac1_TOR
, -, PTHR11139.orig.30.pi, -,5.1e-282,938.9,0.0,4e-158,524.1,0.0,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,1.7e-159,532.5,0.1,3e-160,532.0,0.1,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,2.8e-81,272.9,0.1,3.3e-81,272.7,0.1,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,3.3e-70,236.2,13.6,3.3e-70,236.2,13.6,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,6.3e-69,232.0,46.4,7.8e-60,201.8,20.6,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,4.1e-17,60.1,0.1,4.5e-11,40.0,0.0,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,8.5e-14,49.1,1.3,1e-13,48.8,0.0,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,6.1e-12,42.9,3.9,3.5e-09,33.7,0.6,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,1.6e-10,38.2,0.2,2.3e-10,37.7,0.2,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,5.4e-08,29.8,0.4,5.4e-08,29.8,0.4,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,1.7e-05,21.6,0.0,3.1e-05,20.6,0.0,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,4e-05,20.3,6.1,0.00017,18.2,6.0,Cafroe1_TOR
, -, PTHR11139.orig.30.pi, -,8.7e-05,19.2,12.4,0.00011,18.8,12.4,Cafroe1_TOR
|13903|CTEN210_1391, -, PTHR11139.orig.30.pi, -,0.0,1206.3,39.1,0.0,1206.0,39.1,Chaten1_TOR
|2255|CTEN210_02282, -, PTHR11139.orig.30.pi, -,3.8e-172,575.4,63.0,5e-172,575.0,63.0,Chaten1_TOR
|3731|CTEN210_03759, -, PTHR11139.orig.30.pi, -,3.1e-171,572.4,43.9,7e-172,572.1,43.9,Chaten1_TOR
|15720|CTEN210_1573, -, PTHR11139.orig.30.pi, -,7e-135,451.8,16.2,7e-135,451.8,16.2,Chaten1_TOR
|15003|CTEN210_1501, -, PTHR11139.orig.30.pi, -,7.6e-22,76.8,0.3,1.9e-21,75.4,0.3,Chaten1_TOR
|5944|CTEN210_05967, -, PTHR11139.orig.30.pi, -,4e-16,57.8,0.0,7.3e-16,56.9,0.0,Chaten1_TOR
|14783|CTEN210_1479, -, PTHR11139.orig.30.pi, -,3.8e-10,38.0,0.0,6.6e-10,37.2,0.0,Chaten1_TOR
|14206|CTEN210_1421, -, PTHR11139.orig.30.pi, -,3.5e-08,31.4,0.1,4.8e-08,31.0,0.1,Chaten1_TOR
|12711|CTEN210_1272, -, PTHR11139.orig.30.pi, -,0.00031,18.3,0.4,0.00043,17.9,0.4,Chaten1_TOR
|4737|CTEN210_04766, -, PTHR11139.orig.30.pi, -,0.0095,13.4,0.3,0.01,13.3,0.3,Chaten1_TOR
aok1|6342|g16759.t1, -, PTHR11139.orig.30.pi, -,0.0,1225.4,0.0,0.0,1224.9,0.0,Claok1_TOR
aok1|13537|g5795.t2, -, PTHR11139.orig.30.pi, -,0.0,1042.6,0.0,4e-255,848.7,0.0,Claok1_TOR
aok1|13538|g5795.t1, -, PTHR11139.orig.30.pi, -,0.0,1042.5,0.0,5e-255,848.6,0.0,Claok1_TOR
aok1|13241|g11322.t, -, PTHR11139.orig.30.pi, -,1.2e-232,775.9,23.4,8e-233,775.3,23.4,Claok1_TOR
aok1|1566|g13334.t1, -, PTHR11139.orig.30.pi, -,1.4e-196,656.2,0.0,9e-197,655.2,0.0,Claok1_TOR
aok1|1565|g13334.t2, -, PTHR11139.orig.30.pi, -,1.5e-196,656.2,0.0,9e-197,655.2,0.0,Claok1_TOR
aok1|3899|g14899.t1, -, PTHR11139.orig.30.pi, -,1.4e-192,643.0,0.0,1e-193,641.8,0.0,Claok1_TOR
aok1|12135|g10683.t, -, PTHR11139.orig.30.pi, -,2.2e-146,489.7,0.2,1e-146,486.5,0.0,Claok1_TOR
aok1|12136|g10683.t, -, PTHR11139.orig.30.pi, -,2.5e-146,489.5,0.2,4e-146,486.3,0.0,Claok1_TOR
aok1|5230|g7505.t1, -, PTHR11139.orig.30.pi, -,2.8e-25,87.9,0.2,6.9e-25,86.6,0.2,Claok1_TOR
aok1|2888|g6664.t1, -, PTHR11139.orig.30.pi, -,4.1e-23,80.7,0.6,6.8e-23,80.0,0.6,Claok1_TOR
aok1|9991|g9243.t1, -, PTHR11139.orig.30.pi, -,9.6e-20,69.6,0.2,1.9e-19,68.6,0.2,Claok1_TOR
aok1|9992|g9243.t2, -, PTHR11139.orig.30.pi, -,1e-19,69.4,0.2,2e-19,68.5,0.2,Claok1_TOR
aok1|1228|g6219.t1, -, PTHR11139.orig.30.pi, -,6e-15,53.7,0.3,3.1e-14,51.3,0.3,Claok1_TOR
aok1|4525|g15528.t1, -, PTHR11139.orig.30.pi, -,1.1e-12,46.1,0.5,3.3e-12,44.6,0.5,Claok1_TOR
aok1|4418|g15341.t1, -, PTHR11139.orig.30.pi, -,9.3e-11,39.8,14.9,0.00017,19.0,14.2,Claok1_TOR
aok1|1229|g6220.t1, -, PTHR11139.orig.30.pi, -,1.1e-10,39.6,0.0,1.1e-10,39.6,0.0,Claok1_TOR
aok1|3674|g6823.t1, -, PTHR11139.orig.30.pi, -,1.7e-10,38.9,30.9,0.00027,18.3,1.7,Claok1_TOR
aok1|11351|g10055.t, -, PTHR11139.orig.30.pi, -,2.2e-08,31.9,4.7,0.00052,17.4,1.1,Claok1_TOR
aok1|13406|g5683.t1, -, PTHR11139.orig.30.pi, -,5.4e-08,30.6,0.2,7.9e-08,30.0,0.2,Claok1_TOR
aok1|2647|g14031.t1, -, PTHR11139.orig.30.pi, -,8.8e-08,29.9,0.1,1.9e-07,28.8,0.1,Claok1_TOR
aok1|14733|g12337.t, -, PTHR11139.orig.30.pi, -,5.6e-06,23.9,2.3,6.9e-06,23.6,2.3,Claok1_TOR
aok1|14734|g12337.t, -, PTHR11139.orig.30.pi, -,1.6e-05,22.4,1.9,2.1e-05,22.0,1.9,Claok1_TOR
aok1|8499|g8549.t1, -, PTHR11139.orig.30.pi, -,0.00036,17.9,5.9,0.033,11.4,2.9,Claok1_TOR
aok1|4885|g7402.t1, -, PTHR11139.orig.30.pi, -,0.00037,17.9,1.9,0.00064,17.1,1.1,Claok1_TOR
aok1|8500|g8549.t2, -, PTHR11139.orig.30.pi, -,0.00062,17.1,8.6,0.027,11.7,2.5,Claok1_TOR
aok1|9090|g8790.t1, -, PTHR11139.orig.30.pi, -,0.023,11.9,0.2,0.027,11.7,0.2,Claok1_TOR
aok1|6747|g7961.t1, -, PTHR11139.orig.30.pi, -,0.026,11.7,1.4,0.032,11.5,1.4,Claok1_TOR
aok1|6495|g7857.t1, -, PTHR11139.orig.30.pi, -,0.055,10.7,5.3,0.62,7.2,1.4,Claok1_TOR
aok1|11361|g20530.t, -, PTHR11139.orig.30.pi, -,0.088,10.0,0.2,0.12,9.5,0.2,Claok1_TOR
aok1|86|g6007.t1, -, PTHR11139.orig.30.pi, -,0.67,7.1,7.3,0.87,6.7,7.3,Claok1_TOR
