Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000151665.1	ASM15166v1	Blastocystis hominis	12968	18817245	Scaffold
GCA_008330645.1	CrBVI	Cafeteria roenbergensis	33653	36283887	Contig
GCA_000743755.1	ASM74375v1	Blastocystis sp. subtype 4	944170	12919355	Scaffold
GCA_039096225.1	ASM3909622v1	Blastocystis sp. Blastoise	3128533	33340088	Contig
GCA_039096195.1	ASM3909619v1	Blastocystis sp. BT1	3128534	15276989	Scaffold
GCA_039096215.1	ASM3909621v1	Blastocystis sp. NMH	3128537	14631750	Contig
GCA_039096365.1	ASM3909636v1	Blastocystis sp. JDR	3128536	17519069	Contig
GCA_039096925.1	ASM3909692v1	Blastocystis sp. DL	3128535	13959358	Contig
GCA_039096935.1	ASM3909693v1	Blastocystis sp. ATCC 50177/Nand II	478820	15943788	Contig
GCA_001651215.1	ASM165121v1	Blastocystis sp. ATCC 50177/Nand II	478820	16468307	Scaffold
GCA_008330665.1	CrE410P	Cafeteria roenbergensis	33653	35292647	Contig
GCA_008330625.1	CrCflag	Cafeteria roenbergensis	33653	34478070	Contig
GCA_008330635.1	CrRCC970	Cafeteria roenbergensis	33653	33945106	Contig
GCA_002897355.1	Aurantiochytrium_FCC1311_v1	Hondaea fermentalgiana	2315210	38943350	Scaffold
