tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
PNW79917.1, -, PTHR12848.orig.30.pi, -,0.0,1126.6,0.0,0.0,1078.2,0.0,GCA_000002595.3
PNW77392.1, -, PTHR12848.orig.30.pi, -,5.3e-28,97.7,1.1,4.1e-13,48.4,0.1,GCA_000002595.3
PNW87181.1, -, PTHR12848.orig.30.pi, -,1.4e-22,79.8,0.0,4.9e-13,48.2,0.0,GCA_000002595.3
PNW79711.1, -, PTHR12848.orig.30.pi, -,2.2e-22,79.2,23.4,6.7e-13,47.7,6.1,GCA_000002595.3
PNW83594.1, -, PTHR12848.orig.30.pi, -,2.7e-21,75.5,7.9,8.4e-09,34.1,0.3,GCA_000002595.3
PNW74724.1, -, PTHR12848.orig.30.pi, -,5.8e-20,71.1,1.1,1.2e-11,43.5,1.1,GCA_000002595.3
PNW74725.1, -, PTHR12848.orig.30.pi, -,5.9e-20,71.1,1.1,1.2e-11,43.5,1.1,GCA_000002595.3
PNW77485.1, -, PTHR12848.orig.30.pi, -,5.4e-19,67.9,0.0,5.9e-13,47.9,0.0,GCA_000002595.3
PNW80216.1, -, PTHR12848.orig.30.pi, -,1.4e-18,66.6,0.0,2.2e-06,26.1,0.0,GCA_000002595.3
PNW77678.1, -, PTHR12848.orig.30.pi, -,6.8e-18,64.3,0.1,5.9e-15,54.5,0.6,GCA_000002595.3
PNW73531.1, -, PTHR12848.orig.30.pi, -,1.6e-17,63.0,0.0,2.3e-11,42.6,0.0,GCA_000002595.3
PNW80352.1, -, PTHR12848.orig.30.pi, -,3.1e-17,62.1,0.0,1.6e-09,36.6,0.1,GCA_000002595.3
PNW82284.1, -, PTHR12848.orig.30.pi, -,9e-17,60.5,0.0,1.7e-09,36.5,0.0,GCA_000002595.3
PNW88666.1, -, PTHR12848.orig.30.pi, -,1.4e-16,59.9,0.7,1e-07,30.5,0.2,GCA_000002595.3
PNW79810.1, -, PTHR12848.orig.30.pi, -,4.7e-16,58.1,0.0,1.5e-13,49.9,0.0,GCA_000002595.3
PNW87336.1, -, PTHR12848.orig.30.pi, -,9.7e-16,57.1,0.0,1.3e-15,56.7,0.0,GCA_000002595.3
PNW73616.1, -, PTHR12848.orig.30.pi, -,3e-15,55.5,0.0,2.6e-08,32.5,0.0,GCA_000002595.3
PNW88232.1, -, PTHR12848.orig.30.pi, -,4e-15,55.1,0.0,5.5e-15,54.6,0.0,GCA_000002595.3
PNW70682.1, -, PTHR12848.orig.30.pi, -,9.6e-15,53.8,0.2,3.1e-06,25.6,0.1,GCA_000002595.3
PNW70296.1, -, PTHR12848.orig.30.pi, -,1.1e-14,53.6,0.9,7.6e-07,27.7,0.0,GCA_000002595.3
PNW82472.1, -, PTHR12848.orig.30.pi, -,1.5e-14,53.1,0.0,6e-09,34.6,0.0,GCA_000002595.3
PNW83470.1, -, PTHR12848.orig.30.pi, -,2.2e-14,52.6,0.0,3.1e-14,52.1,0.0,GCA_000002595.3
PNW87255.1, -, PTHR12848.orig.30.pi, -,4e-14,51.8,0.6,8.9e-14,50.6,0.6,GCA_000002595.3
