"Accn","Group","Organism.Taxonomic.ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"GCA_000002415.2","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000002765.3","Alveolata",36329,"Plasmodium falciparum 3D7",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000003085.2","Alveolata",73239,"Plasmodium yoelii yoelii",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000003225.1","Alveolata",5874,"Theileria annulata",NA,NA,NA,"M",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria","NCBI"
"GCA_000006355.3","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000006405.1","Alveolata",423536,"Perkinsus marinus ATCC 50983",NA,"L","M","H","M",NA,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus","NCBI"
"GCA_000006515.1","Alveolata",441375,"Cryptosporidium muris RN66",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_000006565.2","Alveolata",508771,"Toxoplasma gondii ME49",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000149665.2","Alveolata",137071,"Plasmodium falciparum HB3",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000149715.2","Alveolata",507601,"Toxoplasma gondii GT1",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000149795.1","Alveolata",57267,"Plasmodium falciparum Dd2",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000150015.2","Alveolata",432359,"Toxoplasma gondii VEG",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000150435.3","Alveolata",57266,"Plasmodium falciparum 7G8",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000165345.1","Alveolata",353152,"Cryptosporidium parvum Iowa II",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_000165365.1","Alveolata",333668,"Theileria parva strain Muguga",NA,NA,NA,"M",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria","NCBI"
"GCA_000165395.2","Alveolata",484906,"Babesia bovis T2Bo",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_000165425.1","Alveolata",5888,"Paramecium tetraurelia","M","H",NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","NCBI"
"GCA_000186025.2","Alveolata",580058,"Plasmodium falciparum RAJ116",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000186055.2","Alveolata",580059,"Plasmodium falciparum IGH-CR14",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000189635.1","Alveolata",312017,"Tetrahymena thermophila SB210",NA,"H",NA,"H","M",NA,"Oligohymenophorea","Ciliophora","Hymenostomatida","Tetrahymenidae","Tetrahymena","NCBI"
"GCA_000208865.2","Alveolata",572307,"Neospora caninum Liverpool",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Neospora","NCBI"
"GCA_000209695.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_000220395.1","Alveolata",5932,"Ichthyophthirius multifiliis",NA,"M",NA,"H","M",NA,"Oligohymenophorea","Ciliophora","Hymenostomatida",NA,"Ichthyophthirius","NCBI"
"GCA_000223845.4","Alveolata",110365,"Gregarina niphandrodes",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eugregarinorida","Gregarinidae","Gregarina","NCBI"
"GCA_000224805.2","Alveolata",935652,"Toxoplasma gondii RUB",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000224845.2","Alveolata",933077,"Toxoplasma gondii VAND",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000224865.2","Alveolata",943118,"Toxoplasma gondii MAS",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000224885.2","Alveolata",943119,"Toxoplasma gondii p89",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000224905.2","Alveolata",943167,"Toxoplasma gondii FOU",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000250965.2","Alveolata",1074872,"Toxoplasma gondii ARI",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000256705.2","Alveolata",943122,"Toxoplasma gondii CAST",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000256725.2","Alveolata",1130821,"Toxoplasma gondii TgCatPRC2",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000258005.2","Alveolata",99158,"Hammondia hammondi",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Hammondia","NCBI"
"GCA_000320625.2","Alveolata",1077284,"Plasmodium vivax India VII",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000320645.2","Alveolata",1033975,"Plasmodium vivax Brazil I",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000320665.2","Alveolata",1035515,"Plasmodium vivax Mauritania I",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000320685.2","Alveolata",1035514,"Plasmodium vivax North Korean",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000321355.1","Alveolata",1120755,"Plasmodium cynomolgi strain B",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000325525.2","Alveolata",1130820,"Toxoplasma gondii GAB2-2007-GAL-DOM2",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_000342415.1","Alveolata",1537102,"Theileria equi strain WA",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria","NCBI"
"GCA_000401695.2","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000401715.2","Alveolata",1237627,"Plasmodium falciparum UGT5.1",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000499385.1","Alveolata",51315,"Eimeria necatrix",NA,NA,NA,NA,NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499425.1","Alveolata",5801,"Eimeria acervulina",NA,NA,NA,"M",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499445.1","Alveolata",51316,"Eimeria praecox",NA,NA,NA,NA,NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499545.1","Alveolata",5802,"Eimeria tenella",NA,NA,NA,"M","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499605.1","Alveolata",5804,"Eimeria maxima",NA,NA,NA,"L",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499725.1","Alveolata",51314,"Eimeria brunetti",NA,NA,NA,"M","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000499745.2","Alveolata",44415,"Eimeria mitis",NA,NA,NA,NA,NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria","NCBI"
"GCA_000505035.1","Alveolata",1323249,"Plasmodium yoelii 17X",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521015.1","Alveolata",1036723,"Plasmodium falciparum Vietnam Oak-Knoll (FVO)",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521035.1","Alveolata",1036727,"Plasmodium falciparum MaliPS096_E11",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521055.1","Alveolata",1036725,"Plasmodium falciparum Tanzania (2000708)",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521075.1","Alveolata",1036726,"Plasmodium falciparum NF135/5.C10",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521095.1","Alveolata",57270,"Plasmodium falciparum Palo Alto/Uganda",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521115.1","Alveolata",5835,"Plasmodium falciparum CAMP/Malaysia",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000521155.1","Alveolata",1036724,"Plasmodium falciparum FCH/4",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000524495.1","Alveolata",1237626,"Plasmodium inui San Antonio 1",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000524515.1","Alveolata",138298,"Plasmodium vinckei petteri",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000691945.2","Alveolata",1133968,"Babesia microti strain RI",NA,NA,NA,"M",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_000709005.1","Alveolata",54757,"Plasmodium vinckei vinckei",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000711775.1","Alveolata",1172189,"Oxytricha trifallax",NA,NA,NA,NA,NA,NA,"Spirotrichea","Ciliophora","Sporadotrichida","Oxytrichidae","Oxytricha","NCBI"
"GCA_000723685.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000740895.1","Alveolata",869250,"Theileria orientalis strain Shintoku",NA,NA,NA,"M",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria","NCBI"
"GCA_000751175.1","Alveolata",5949,"Stylonychia lemnae",NA,"H",NA,"H","M",NA,"Spirotrichea","Ciliophora","Sporadotrichida","Oxytrichidae","Stylonychia","NCBI"
"GCA_000769155.2","Alveolata",88456,"Cyclospora cayetanensis",NA,NA,NA,"M",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Cyclospora","NCBI"
"GCA_000956335.1","Alveolata",5857,"Plasmodium fragile",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_000981445.1","Alveolata",5866,"Babesia bigemina",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_001179505.1","Alveolata",1169540,"Vitrella brassicaformis CCMP3155",NA,"M","H","H","H",NA,NA,NA,NA,"Vitrellaceae","Vitrella","NCBI"
"GCA_001447515.1","Alveolata",266149,"Pseudocohnilembus persalinus",NA,"H",NA,"H","M",NA,"Oligohymenophorea","Ciliophora","Philasterida","Pseudocohnilembidae","Pseudocohnilembus","NCBI"
"GCA_001483515.1","Alveolata",237895,"Cryptosporidium hominis",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_001593445.1","Alveolata",93969,"Cryptosporidium meleagridis",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_001602025.1","Alveolata",647221,"Plasmodium gaboni",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_001865345.1","Alveolata",857276,"Cryptosporidium ubiquitum",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_001865355.1","Alveolata",117008,"Cryptosporidium andersoni",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_001939145.1","Alveolata",2951,"Symbiodinium microadriaticum",NA,NA,NA,"H","L","H","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_002095265.1","Alveolata",462227,"Babesia sp. Xinjiang",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_002140095.1","Alveolata",5850,"Plasmodium knowlesi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
