"Accn"	"Super.Group"	"Organism_Taxonomic_ID"	"Organism.Name"	"SIN1"	"RICTOR"	"RAPTOR"	"TOR"	"LST8"	"C.score"	"Frag.score"	"Class.name"	"Phylum.name"	"Order.name"	"Family.name"	"Genus.name"	"Source"
"GCA_000002415.2"	"Alveolata"	5855	"Plasmodium vivax"	NA	NA	NA	NA	NA	95.25	1.1	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000002765.3"	"Alveolata"	36329	"Plasmodium falciparum 3D7"	NA	NA	NA	NA	NA	99.12	0	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000003085.2"	"Alveolata"	73239	"Plasmodium yoelii yoelii"	NA	NA	NA	NA	NA	64.91	10.38	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000003225.1"	"Alveolata"	5874	"Theileria annulata"	NA	NA	NA	"M"	NA	93.74	2.47	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Theileriidae"	"Theileria"	"NCBI"
"GCA_000006355.3"	"Alveolata"	5851	"Plasmodium knowlesi strain H"	NA	NA	NA	NA	NA	99.18	0.05	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000006405.1"	"Alveolata"	423536	"Perkinsus marinus ATCC 50983"	NA	"L"	"M"	"H"	"M"	97.08	1.17	NA	"Perkinsozoa"	"Perkinsida"	"Perkinsidae"	"Perkinsus"	"NCBI"
"GCA_000006515.1"	"Alveolata"	441375	"Cryptosporidium muris RN66"	NA	NA	NA	"H"	NA	99.2	0.4	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_000006565.2"	"Alveolata"	508771	"Toxoplasma gondii ME49"	NA	NA	NA	"H"	"L"	100	0	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000149665.2"	"Alveolata"	137071	"Plasmodium falciparum HB3"	NA	NA	NA	NA	NA	85.78	4.06	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000149715.2"	"Alveolata"	507601	"Toxoplasma gondii GT1"	NA	NA	NA	"H"	"L"	100	0	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
