"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_000350225.2","CDF40049.1"," -"," PTHR19842.orig.30.pi"," -",6e-43,146.1,4.7,6.4e-37,126.2,3.4,"NCBI","Rhodophyta",2769,"Chondrus crispus"
"2","GCA_026184775.1","KAK4535579.1"," -"," PTHR19842.orig.30.pi"," -",9.3e-90,298.9,0,1e-89,298.7,0,"NCBI","Rhodophyta",2771,"Cyanidium caldarium"
"3","GCA_002049455.2","OSX78135.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-39,133.9,0,2.8e-29,101.6,0.1,"NCBI","Rhodophyta",2786,"Porphyra umbilicalis"
"4","GCA_009829735.1","KAK1863838.1"," -"," PTHR19842.orig.30.pi"," -",3.7e-50,170.2,0,3.8e-46,157,0,"NCBI","Rhodophyta",2788,"Neopyropia yezoensis"
"5","GCA_008690995.1","KAA8490768.1"," -"," PTHR19842.orig.30.pi"," -",4.7e-68,228.6,0,5.5e-68,228.3,0,"NCBI","Rhodophyta",35688,"Porphyridium purpureum"
"6","GCA_025991245.1","GJQ11248.1"," -"," PTHR19842.orig.30.pi"," -",2.1e-55,186.7,2.5,2.5e-55,186.5,2.5,"NCBI","Rhodophyta",83374,"Galdieria partita"
"7","GCA_029953675.1","KAJ8905350.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-81,272.1,0.1,2.4e-81,272,0.1,"NCBI","Rhodophyta",101924,"Rhodosorus marinus"
"8","GCA_000341285.1","EME27328.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-57,194,0.9,1.4e-57,193.7,0.9,"NCBI","Rhodophyta",130081,"Galdieria sulphuraria"
"9","GCA_000341285.1","EME27329.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-57,194,0.9,1.4e-57,193.7,0.9,"NCBI","Rhodophyta",130081,"Galdieria sulphuraria"
"10","GCA_024341865.1","GJD09481.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-57,194,0.9,1.4e-57,193.7,0.9,"NCBI","Rhodophyta",130081,"Galdieria sulphuraria"
"11","GCA_022539475.1","KAI0559332.1"," -"," PTHR19842.orig.30.pi"," -",1e-34,119.2,0,1.8e-34,118.4,0,"NCBI","Rhodophyta",172961,"Gracilaria domingensis"
"12","GCA_000091205.1","BAM79904.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-84,281.1,0.1,2.6e-84,281,0.1,"NCBI","Rhodophyta",280699,"Cyanidioschyzon merolae strain 10D"
"13","GCA_003194525.1","PXF45022.1"," -"," PTHR19842.orig.30.pi"," -",4.4e-41,140.1,12,2.5e-33,114.6,5.4,"NCBI","Rhodophyta",448386,"Gracilariopsis chorda"
"14","GCA_042855435.1","GAB0492307.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-41,142,0,1.3e-41,141.6,0,"NCBI","Rhodophyta",683352,"Pyropia vietnamensis"
"15","GCA_013995675.1","KAF6001592.1"," -"," PTHR19842.orig.30.pi"," -",3.5e-86,287.2,0,3.9e-86,287.1,0,"NCBI","Rhodophyta",2690220,"Cyanidiococcus yangmingshanensis"
"16","GCA_026122205.1","KAK4527121.1"," -"," PTHR19842.orig.30.pi"," -",1e-54,184.2,0.7,1.3e-54,183.9,0.7,"NCBI","Rhodophyta",3028027,"Galdieria yellowstonensis"
