"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism.Name","Source"
"1","GCA_001939145.1","OLQ03942.1"," -"," PTHR11139.orig.30.pi"," -",8.5e-139,466.1,19.3,5e-140,466.1,19.3,2951,"Symbiodinium microadriaticum","NCBI"
"2","GCA_000499425.1","CDI78636.1"," -"," PTHR11139.orig.30.pi"," -",6.6e-84,281.3,1.9,6.6e-84,281.3,1.9,5801,"Eimeria acervulina","NCBI"
"3","GCA_000499545.1","CDJ44819.1"," -"," PTHR11139.orig.30.pi"," -",6.4e-64,215.4,0.8,7.2e-64,215.2,0.8,5802,"Eimeria tenella","NCBI"
"4","GCA_000499605.1","CDJ57430.1"," -"," PTHR11139.orig.30.pi"," -",2.3e-39,133.4,0,3.9e-39,132.6,0,5804,"Eimeria maxima","NCBI"
"5","GCA_015245375.1","QOY42173.1"," -"," PTHR11139.orig.30.pi"," -",5e-133,443.5,21.4,3e-133,442.1,21.4,5807,"Cryptosporidium parvum","NCBI"
"6","GCA_013099955.1","KAF4639745.1"," -"," PTHR11139.orig.30.pi"," -",5.4e-213,709.9,19.4,4e-214,709.9,19.4,5811,"Toxoplasma gondii","NCBI"
"7","GCA_000981445.1","CDR95978.1"," -"," PTHR11139.orig.30.pi"," -",8.5e-102,340.3,3.6,5e-103,340.3,3.6,5866,"Babesia bigemina","NCBI"
"8","GCA_023705535.2","GFE55202.1"," -"," PTHR11139.orig.30.pi"," -",1.7e-100,335.4,34.9,6e-101,334.8,34.9,5869,"Babesia ovis","NCBI"
"9","GCA_024862765.1","GIX63350.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-89,300,6.3,1.3e-89,300,6.3,5871,"Babesia caballi","NCBI"
"10","GCA_000003225.1","CAI76684.1"," -"," PTHR11139.orig.30.pi"," -",1.8e-49,166.3,5,1.8e-49,166.3,5,5874,"Theileria annulata","NCBI"
"11","GCA_905182975.1","CAD8100040.1"," -"," PTHR11139.orig.30.pi"," -",0,1178.3,57.6,0,1178,57.6,5886,"Paramecium primaurelia","NCBI"
