tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
O_transcript/546, -, PTHR13335.orig.30.pi, -,9e-08,31.4,3.5,1e-05,24.6,1.0,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,2.4e-07,30.0,1.2,2.4e-07,30.0,1.2,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,6.7e-07,28.6,7.7,0.0011,18.0,0.7,Acuobl2326_1_SIN1
SO_transcript/333, -, PTHR13335.orig.30.pi, -,8.4e-07,28.2,21.8,6.9e-05,21.9,3.8,Acuobl2326_1_SIN1
SO_transcript/7859, -, PTHR13335.orig.30.pi, -,5e-06,25.7,3.7,5.7e-06,25.5,3.7,Acuobl2326_1_SIN1
SO_transcript/5190, -, PTHR13335.orig.30.pi, -,5.2e-06,25.6,33.5,5.2e-06,25.6,33.5,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,9.9e-06,24.7,40.2,0.00057,18.9,0.0,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,1.4e-05,24.2,0.9,2.9e-05,23.1,0.9,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,2.1e-05,23.6,13.6,2.1e-05,23.6,13.6,Acuobl2326_1_SIN1
O_transcript/10123, -, PTHR13335.orig.30.pi, -,3.4e-05,22.9,2.3,3.4e-05,22.9,2.3,Acuobl2326_1_SIN1
SO_transcript/5109, -, PTHR13335.orig.30.pi, -,5.3e-05,22.3,17.9,0.00018,20.6,17.9,Acuobl2326_1_SIN1
SO_transcript/9309, -, PTHR13335.orig.30.pi, -,6.4e-05,22.0,6.1,7.9e-05,21.7,6.1,Acuobl2326_1_SIN1
O_transcript/18905, -, PTHR13335.orig.30.pi, -,9.1e-05,21.5,7.7,0.0001,21.3,7.7,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,9.4e-05,21.5,28.3,0.0012,17.8,1.6,Acuobl2326_1_SIN1
SO_transcript/4295, -, PTHR13335.orig.30.pi, -,0.00013,21.0,8.7,0.00016,20.7,8.7,Acuobl2326_1_SIN1
SO_transcript/10127, -, PTHR13335.orig.30.pi, -,0.00016,20.7,11.1,0.0002,20.4,11.1,Acuobl2326_1_SIN1
O_transcript/4910, -, PTHR13335.orig.30.pi, -,0.00035,19.6,14.0,0.00036,19.5,14.0,Acuobl2326_1_SIN1
SO_transcript/3252, -, PTHR13335.orig.30.pi, -,0.00036,19.5,1.0,0.0004,19.4,1.0,Acuobl2326_1_SIN1
SO_transcript/1481, -, PTHR13335.orig.30.pi, -,0.00036,19.5,9.4,0.00036,19.5,9.4,Acuobl2326_1_SIN1
O_transcript/21629, -, PTHR13335.orig.30.pi, -,0.00041,19.4,1.3,0.00041,19.4,1.3,Acuobl2326_1_SIN1
O_transcript/2347, -, PTHR13335.orig.30.pi, -,0.00046,19.2,8.7,0.00059,18.8,8.7,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00047,19.1,7.6,0.00051,19.0,7.6,Acuobl2326_1_SIN1
SO_transcript/845, -, PTHR13335.orig.30.pi, -,0.00047,19.1,22.4,0.00069,18.6,22.4,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00048,19.1,15.4,0.0013,17.7,4.9,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00048,19.1,0.5,0.00048,19.1,0.5,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00051,19.0,3.6,0.00098,18.1,3.6,Acuobl2326_1_SIN1
SO_transcript/22414, -, PTHR13335.orig.30.pi, -,0.00061,18.8,23.3,0.00074,18.5,23.3,Acuobl2326_1_SIN1
O_transcript/23600, -, PTHR13335.orig.30.pi, -,0.00067,18.6,1.5,0.00067,18.6,1.5,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00075,18.5,11.8,0.00079,18.4,11.8,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00083,18.3,8.2,0.001,18.1,8.2,Acuobl2326_1_SIN1
, -, PTHR13335.orig.30.pi, -,0.00088,18.3,2.4,0.00088,18.3,2.4,Acuobl2326_1_SIN1
O_transcript/15120, -, PTHR13335.orig.30.pi, -,0.00094,18.2,39.5,0.00094,18.2,39.5,Acuobl2326_1_SIN1
