"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Stramenopiles","Brelac1","|1307|CCR75_004045."," -"," PTHR13335.orig.30.pi"," -",4.3e-63,213.2,1.2,8.3e-63,212.3,1.2,4779,"Bremia lactucae SF5",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"2","Stramenopiles","Parimp1","ITY_DN14020_c0_g1_i"," -"," PTHR13335.orig.30.pi"," -",8.9e-38,130.6,0.3,1.3e-37,130,0.3,37642,"Paraphysomonas imperforata CCMP1604 v1.4","Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"3","Stramenopiles","Hypcat1","27-mRNA-1"," -"," PTHR13335.orig.30.pi"," -",2.8e-43,148.9,0.2,4.2e-43,148.3,0.2,42384,"Hyphochytrium catenoides ATCC 18719","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"4","Stramenopiles","VisC74","ontig_2_g13470.t1"," -"," PTHR13335.orig.30.pi"," -",9.9e-32,110.5,0,1.9e-31,109.5,0,44431,"Vischeria strain C74","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"5","Stramenopiles","Physo3","sh1_pg.C_2_t20433"," -"," PTHR13335.orig.30.pi"," -",1.9e-63,216.1,0,2.2e-63,215.8,0,67593,"Phytophthora sojae v3.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"6","Stramenopiles","Phyinf1","hyinf1|6448|rna9171"," -"," PTHR13335.orig.30.pi"," -",5.4e-69,233.8,0.4,6.5e-69,233.6,0.4,403677,"Phytophthora infestans T30-4",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"7","Stramenopiles","Ochro1393","TY_DN19566_c0_g1_i7"," -"," PTHR13335.orig.30.pi"," -",1.7e-34,119.9,0,2.7e-34,119.3,0,420556,"Ochromonas sp. CCMP1393 v1.4","Chrysophyceae",NA,"Chromulinales","Chromulinaceae","Ochromonas","JGI"
"8","Stramenopiles","Pereff1","|1078|KXD40_001079."," -"," PTHR13335.orig.30.pi"," -",8.6e-61,205.7,6.7,1.9e-60,204.5,6.7,542832,"Peronospora effusa UA202013",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","JGI"
"9","Stramenopiles","Hyaar1","ranscript:HpaT80440"," -"," PTHR13335.orig.30.pi"," -",4.4e-59,200.1,0.1,8.6e-59,199.1,0.1,559515,"Hyaloperonospora arabidopsidis Emoy2 v2.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora","JGI"
"10","Stramenopiles","Phyci1",""," -"," PTHR13335.orig.30.pi"," -",3.8e-67,228.3,0.1,4.5e-67,228,0.1,622258,"Phytophthora cinnamomi var cinnamomi v1.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"11","Stramenopiles","Sappar1","ppar1|25863|rna6326"," -"," PTHR13335.orig.30.pi"," -",9e-48,163.9,0,1.4e-47,163.2,0,695850,"Saprolegnia parasitica CBS 223.65",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia","JGI"
"12","Stramenopiles","MonC141","ontig_16_g95260.t1"," -"," PTHR13335.orig.30.pi"," -",2.7e-30,105.5,0,4.9e-30,104.6,0,1745946,"Monodopsis strain C141","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Monodopsis","JGI"
