tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EEY63188.1,-,PTHR11139.orig.30.pi,-,0.0,2086.7,7.4,0.0,2085.1,7.4
EEY59643.1,-,PTHR11139.orig.30.pi,-,0.0,1504.3,7.5,0.0,1504.1,7.5
EEY63983.1,-,PTHR11139.orig.30.pi,-,9e-235,782.2,9.6,4e-235,781.8,9.6
EEY66032.1,-,PTHR11139.orig.30.pi,-,2e-229,761.1,9.0,2e-229,760.5,9.0
EEY58194.1,-,PTHR11139.orig.30.pi,-,4e-176,588.6,4.9,4e-176,588.6,4.9
EEY59985.1,-,PTHR11139.orig.30.pi,-,7e-140,465.4,5.4,1e-138,464.5,0.8
EEY69219.1,-,PTHR11139.orig.30.pi,-,2e-122,405.3,3.2,8e-121,405.2,7.9
EEY59733.1,-,PTHR11139.orig.30.pi,-,3.2e-20,71.4,0.2,3.4e-12,44.8,0.0
EEY57970.1,-,PTHR11139.orig.30.pi,-,3.9e-20,71.1,0.8,5e-19,67.5,0.0
EEY58119.1,-,PTHR11139.orig.30.pi,-,1.3e-18,66.1,1.7,1.6e-18,65.8,0.2
EEY63442.1,-,PTHR11139.orig.30.pi,-,6.2e-18,63.9,0.1,6.2e-18,63.9,0.1
EEY66290.1,-,PTHR11139.orig.30.pi,-,3.6e-15,54.7,0.0,7.8e-15,53.6,0.0
EEY61830.1,-,PTHR11139.orig.30.pi,-,6.7e-15,53.8,2.1,1.8e-14,52.3,0.0
EEY54828.1,-,PTHR11139.orig.30.pi,-,2.8e-13,48.4,0.8,4.3e-13,47.8,0.0
EEY55051.1,-,PTHR11139.orig.30.pi,-,1.3e-11,42.9,0.1,1.3e-11,42.9,0.1
EEY53604.1,-,PTHR11139.orig.30.pi,-,2.2e-11,42.1,3.3,1.5e-10,39.3,0.6
EEY61245.1,-,PTHR11139.orig.30.pi,-,2.4e-11,42.0,7.1,4e-06,24.7,0.0
EEY66340.1,-,PTHR11139.orig.30.pi,-,1.6e-10,39.2,0.5,2.8e-10,38.4,0.0
EEY65922.1,-,PTHR11139.orig.30.pi,-,8e-10,36.9,0.0,1.2e-09,36.4,0.0
EEY67052.1,-,PTHR11139.orig.30.pi,-,9.9e-10,36.6,0.1,1.5e-09,36.0,0.1
EEY61947.1,-,PTHR11139.orig.30.pi,-,1.8e-09,35.8,5.5,7.7e-09,33.7,4.5
EEY57127.1,-,PTHR11139.orig.30.pi,-,2e-09,35.6,0.3,2e-09,35.6,0.3
EEY53601.1,-,PTHR11139.orig.30.pi,-,5.6e-09,34.1,1.3,1.8e-08,32.4,1.3
EEY66051.1,-,PTHR11139.orig.30.pi,-,5.4e-06,24.2,8.3,6.7e-06,23.9,8.3
EEY66111.1,-,PTHR11139.orig.30.pi,-,0.00021,19.0,5.7,0.00045,17.8,5.6
EEY63669.1,-,PTHR11139.orig.30.pi,-,0.00035,18.2,8.5,0.0024,15.4,8.5
EEY57492.1,-,PTHR11139.orig.30.pi,-,0.0014,16.3,0.3,0.0035,14.9,0.3
EED89568.1,-,PTHR11139.orig.30.pi,-,0.0,1287.0,2.9,0.0,1286.7,2.9
EED88074.1,-,PTHR11139.orig.30.pi,-,4e-221,733.6,2.3,9e-221,733.2,2.3
EED96534.1,-,PTHR11139.orig.30.pi,-,1e-174,580.0,7.6,3e-174,579.7,7.6
EED86856.1,-,PTHR11139.orig.30.pi,-,1.1e-99,334.5,0.0,1.2e-99,334.3,0.0
EED89707.1,-,PTHR11139.orig.30.pi,-,6.4e-23,79.8,0.7,6.4e-23,79.8,0.7
ACI65009.1,-,PTHR11139.orig.30.pi,-,1.1e-17,62.4,0.1,1.4e-17,62.0,0.1
EED95864.1,-,PTHR11139.orig.30.pi,-,2.1e-15,54.9,0.4,1.1e-14,52.5,0.4
EED86852.1,-,PTHR11139.orig.30.pi,-,6.2e-13,46.6,1.2,3e-12,44.4,1.2
EED92027.1,-,PTHR11139.orig.30.pi,-,3.5e-12,44.2,0.0,5.6e-12,43.5,0.0
EED95769.1,-,PTHR11139.orig.30.pi,-,5.3e-11,40.2,0.0,1.3e-10,38.9,0.0
EED89814.1,-,PTHR11139.orig.30.pi,-,3.4e-07,27.6,0.2,0.0051,13.8,0.1
EED93516.1,-,PTHR11139.orig.30.pi,-,0.0029,14.6,9.3,0.02,11.8,9.3
EED89221.1,-,PTHR11139.orig.30.pi,-,0.015,12.2,3.3,0.032,11.1,3.3
ACI64446.1,-,PTHR11139.orig.30.pi,-,0.025,11.5,2.2,0.026,11.4,2.2
EED94250.1,-,PTHR11139.orig.30.pi,-,0.053,10.4,1.0,0.077,9.8,1.0
EGZ23092.1,-,PTHR11139.orig.30.pi,-,0.0,2128.7,3.5,0.0,2127.1,3.5
EGZ26341.1,-,PTHR11139.orig.30.pi,-,0.0,1510.5,6.6,0.0,1510.3,6.6
EGZ28418.1,-,PTHR11139.orig.30.pi,-,3e-236,783.9,7.1,4e-235,783.2,7.1
EGZ30561.1,-,PTHR11139.orig.30.pi,-,2e-231,772.7,9.4,9e-232,772.1,9.4
EGZ26673.1,-,PTHR11139.orig.30.pi,-,4e-199,662.4,0.6,4e-199,662.4,0.6
EGZ11590.1,-,PTHR11139.orig.30.pi,-,3e-138,461.4,1.9,3e-138,461.4,1.9
EGZ23811.1,-,PTHR11139.orig.30.pi,-,4e-119,396.1,7.2,1e-117,395.4,1.7
EGZ26255.1,-,PTHR11139.orig.30.pi,-,6.4e-20,71.0,0.5,9.3e-12,43.9,0.0
EGZ15497.1,-,PTHR11139.orig.30.pi,-,3.1e-19,68.7,0.1,7.8e-19,67.4,0.1
EGZ15715.1,-,PTHR11139.orig.30.pi,-,1.1e-17,63.6,0.2,1.1e-17,63.6,0.2
EGZ17788.1,-,PTHR11139.orig.30.pi,-,3.7e-16,58.5,1.0,7.1e-15,54.3,0.5
EGZ11591.1,-,PTHR11139.orig.30.pi,-,5.3e-15,54.7,0.1,5.6e-15,54.6,0.1
EGZ05690.1,-,PTHR11139.orig.30.pi,-,1.8e-13,49.6,1.0,3.2e-13,48.8,0.0
EGZ24574.1,-,PTHR11139.orig.30.pi,-,4e-13,48.5,0.3,1.4e-12,46.6,0.0
EGZ05670.1,-,PTHR11139.orig.30.pi,-,5.3e-13,48.1,1.1,2.3e-12,45.9,0.1
EGZ21959.1,-,PTHR11139.orig.30.pi,-,2.3e-12,45.9,2.6,2.8e-12,45.6,0.0
EGZ26154.1,-,PTHR11139.orig.30.pi,-,5.9e-12,44.6,1.6,1e-11,43.8,0.2
EGZ23980.1,-,PTHR11139.orig.30.pi,-,5.5e-10,38.0,1.0,1e-09,37.2,0.0
EGZ20585.1,-,PTHR11139.orig.30.pi,-,1.4e-09,36.7,7.6,1.7e-05,23.2,0.1
EGZ28297.1,-,PTHR11139.orig.30.pi,-,4.7e-09,34.9,0.0,7.2e-09,34.3,0.0
EGZ17629.1,-,PTHR11139.orig.30.pi,-,7.8e-09,34.2,3.4,7.8e-09,34.2,3.4
EGZ26150.1,-,PTHR11139.orig.30.pi,-,1.1e-07,30.4,0.5,2.9e-07,29.0,0.5
EGZ27416.1,-,PTHR11139.orig.30.pi,-,9.3e-05,20.7,1.7,0.0014,16.8,1.7
EGZ28498.1,-,PTHR11139.orig.30.pi,-,0.0001,20.5,3.5,0.00017,19.8,3.5
EGZ24751.1,-,PTHR11139.orig.30.pi,-,0.00015,20.0,7.0,0.0033,15.5,7.0
EGZ28438.1,-,PTHR11139.orig.30.pi,-,0.0042,15.2,1.4,0.0049,15.0,9.8
EGZ15385.1,-,PTHR11139.orig.30.pi,-,0.31,9.0,3.7,0.39,8.7,3.7
EGZ13193.1,-,PTHR11139.orig.30.pi,-,0.69,7.9,6.2,0.91,7.5,6.2
EEC46831.1,-,PTHR11139.orig.30.pi,-,0.0,1275.6,0.1,0.0,1275.3,0.1
EEC51756.1,-,PTHR11139.orig.30.pi,-,8e-163,542.5,7.3,4e-163,542.1,7.3
EEC50074.1,-,PTHR11139.orig.30.pi,-,4e-134,446.7,2.5,7e-134,446.5,2.5
EEC47187.1,-,PTHR11139.orig.30.pi,-,6e-130,433.3,0.0,8e-130,433.1,0.0
EEC44349.1,-,PTHR11139.orig.30.pi,-,3.4e-29,100.4,1.9,7.2e-29,99.4,1.7
EEC43870.1,-,PTHR11139.orig.30.pi,-,6.4e-16,56.4,0.9,4.1e-15,53.7,0.9
EEC45537.1,-,PTHR11139.orig.30.pi,-,6.9e-12,43.0,0.0,7.1e-11,39.6,0.0
EEC42914.1,-,PTHR11139.orig.30.pi,-,2.9e-09,34.3,0.7,3.7e-09,33.9,0.7
EEC46898.1,-,PTHR11139.orig.30.pi,-,3.2e-09,34.1,0.3,1.4e-08,32.0,0.3
EEC44665.1,-,PTHR11139.orig.30.pi,-,9e-08,29.4,1.4,1.1e-07,29.1,1.4
EEC48576.1,-,PTHR11139.orig.30.pi,-,8.1e-06,22.9,2.8,0.00055,16.8,2.7
EEC51853.1,-,PTHR11139.orig.30.pi,-,2e-05,21.5,1.2,0.03,11.0,0.0
EEC51003.1,-,PTHR11139.orig.30.pi,-,0.031,11.0,1.8,0.034,10.9,1.8
KDO22806.1,-,PTHR11139.orig.30.pi,-,0.0,1738.2,4.4,0.0,1737.8,4.4
KDO21536.1,-,PTHR11139.orig.30.pi,-,0.0,1477.8,8.0,0.0,1477.5,8.0
KDO16585.1,-,PTHR11139.orig.30.pi,-,6e-250,832.3,0.0,2e-249,832.0,0.0
KDO30102.1,-,PTHR11139.orig.30.pi,-,7e-220,731.2,6.6,5e-220,730.8,6.6
KDO32636.1,-,PTHR11139.orig.30.pi,-,4e-213,707.2,2.6,1e-212,706.7,2.6
KDO21628.1,-,PTHR11139.orig.30.pi,-,1e-165,549.0,1.2,5e-164,547.1,1.1
KDO22731.1,-,PTHR11139.orig.30.pi,-,1e-146,487.9,9.5,1e-146,487.9,9.5
KDO22586.1,-,PTHR11139.orig.30.pi,-,2e-114,380.7,0.9,2e-114,380.7,0.9
KDO20224.1,-,PTHR11139.orig.30.pi,-,3.8e-57,194.1,0.2,2.4e-56,191.5,0.0
KDO18180.1,-,PTHR11139.orig.30.pi,-,1.2e-53,182.5,1.7,3.4e-53,181.0,1.8
KDO17697.1,-,PTHR11139.orig.30.pi,-,1.7e-50,172.0,0.0,2e-50,171.8,0.0
KDO35761.1,-,PTHR11139.orig.30.pi,-,3.1e-20,71.7,1.4,1.5e-19,69.4,0.0
KDO35605.1,-,PTHR11139.orig.30.pi,-,2e-16,59.0,1.0,2e-16,59.0,1.0
KDO32738.1,-,PTHR11139.orig.30.pi,-,2.9e-14,51.9,3.1,3.8e-14,51.4,0.1
KDO30692.1,-,PTHR11139.orig.30.pi,-,1.5e-13,49.5,0.8,1.5e-13,49.5,0.8
KDO32560.1,-,PTHR11139.orig.30.pi,-,1.2e-12,46.4,4.0,3.4e-12,45.0,2.5
KDO34064.1,-,PTHR11139.orig.30.pi,-,3.9e-11,41.5,1.4,3.9e-11,41.5,1.4
KDO24599.1,-,PTHR11139.orig.30.pi,-,4.3e-11,41.3,0.4,1.1e-10,40.0,0.4
KDO34151.1,-,PTHR11139.orig.30.pi,-,7.5e-10,37.2,5.9,5.7e-09,34.3,5.9
KDO23932.1,-,PTHR11139.orig.30.pi,-,9.2e-09,33.6,1.9,9.2e-09,33.6,1.9
KDO24207.1,-,PTHR11139.orig.30.pi,-,1e-08,33.5,1.4,2.6e-08,32.1,0.0
KDO29492.1,-,PTHR11139.orig.30.pi,-,4.6e-08,31.3,8.3,6.8e-08,30.7,8.3
KDO31800.1,-,PTHR11139.orig.30.pi,-,4.7e-08,31.3,1.0,7.4e-06,23.9,0.3
KDO29424.1,-,PTHR11139.orig.30.pi,-,9.4e-08,30.2,0.0,9.4e-08,30.2,0.0
KDO31791.1,-,PTHR11139.orig.30.pi,-,6.8e-07,27.4,0.8,6.8e-07,27.4,0.8
KDO31794.1,-,PTHR11139.orig.30.pi,-,8.7e-07,27.0,6.1,6.9e-06,24.0,5.8
KDO18917.1,-,PTHR11139.orig.30.pi,-,1.2e-06,26.5,1.5,4e-06,24.8,1.5
KDO26842.1,-,PTHR11139.orig.30.pi,-,6.8e-06,24.1,0.1,0.024,12.3,0.0
KDO29225.1,-,PTHR11139.orig.30.pi,-,3.6e-05,21.7,7.4,0.0025,15.6,7.7
KDO27197.1,-,PTHR11139.orig.30.pi,-,6.1e-05,20.9,7.0,0.034,11.8,5.4
