tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAM79870.1, -, PTHR13298.orig.30.pi, -,6.9e-05,18.4,0.5,6.9e-05,18.4,0.5,GCA_000091205.1
BAM79012.1, -, PTHR13298.orig.30.pi, -,0.00014,17.4,0.5,0.00014,17.4,0.5,GCA_000091205.1
BAM82258.1, -, PTHR13298.orig.30.pi, -,0.00019,17.0,0.8,0.00027,16.5,0.8,GCA_000091205.1
BAM80978.1, -, PTHR13298.orig.30.pi, -,0.0003,16.3,0.8,0.0003,16.3,0.8,GCA_000091205.1
BAM82623.1, -, PTHR13298.orig.30.pi, -,0.029,9.7,1.6,0.029,9.7,0.1,GCA_000091205.1
CDF39856.1, -, PTHR13298.orig.30.pi, -,0.082,9.3,0.1,4.2,3.6,0.1,GCA_000350225.2
OSX78968.1, -, PTHR13298.orig.30.pi, -,0.059,10.2,0.6,0.07,10.0,0.0,GCA_002049455.2
OSX72471.1, -, PTHR13298.orig.30.pi, -,0.081,9.8,0.1,3.2,4.5,0.0,GCA_002049455.2
OSX70253.1, -, PTHR13298.orig.30.pi, -,0.14,9.0,0.0,1.3,5.8,0.0,GCA_002049455.2
PXF41553.1, -, PTHR13298.orig.30.pi, -,0.016,11.8,0.7,1.9,4.9,0.1,GCA_003194525.1
KAA8492800.1, -, PTHR13298.orig.30.pi, -,0.0035,13.8,0.2,0.0063,13.0,0.2,GCA_008690995.1
KAA8498017.1, -, PTHR13298.orig.30.pi, -,0.047,10.1,0.2,0.048,10.1,0.2,GCA_008690995.1
KAA8499306.1, -, PTHR13298.orig.30.pi, -,0.072,9.5,0.0,0.097,9.1,0.0,GCA_008690995.1
KAA8493562.1, -, PTHR13298.orig.30.pi, -,5.0,3.4,6.0,2.2,4.6,0.0,GCA_008690995.1
KAK1869548.1, -, PTHR13298.orig.30.pi, -,0.069,9.9,0.1,2.7,4.7,0.0,GCA_009829735.1
KAK1869547.1, -, PTHR13298.orig.30.pi, -,0.081,9.7,0.0,2.7,4.7,0.0,GCA_009829735.1
KAK1858973.1, -, PTHR13298.orig.30.pi, -,2.4,4.9,5.1,3.1,4.5,0.3,GCA_009829735.1
KAF6001943.1, -, PTHR13298.orig.30.pi, -,0.00028,16.5,2.6,0.0025,13.4,0.1,GCA_013995675.1
KAF6003472.1, -, PTHR13298.orig.30.pi, -,0.0069,11.9,0.5,0.011,11.3,0.5,GCA_013995675.1
KAF6004711.1, -, PTHR13298.orig.30.pi, -,0.011,11.2,0.8,0.047,9.2,0.2,GCA_013995675.1
KAF6005284.1, -, PTHR13298.orig.30.pi, -,0.062,8.8,4.2,0.42,6.0,0.2,GCA_013995675.1
KAF6003761.1, -, PTHR13298.orig.30.pi, -,0.98,4.8,8.9,0.47,5.8,6.3,GCA_013995675.1
KAI0562109.1, -, PTHR13298.orig.30.pi, -,0.15,8.7,1.0,3.1,4.3,0.1,GCA_022539475.1
GJQ12836.1, -, PTHR13298.orig.30.pi, -,0.0013,14.9,3.4,0.0018,14.5,2.6,GCA_025991245.1
GJQ11471.1, -, PTHR13298.orig.30.pi, -,0.0028,13.8,2.6,0.19,7.8,0.2,GCA_025991245.1
KAK4532485.1, -, PTHR13298.orig.30.pi, -,6.6e-05,18.5,2.4,0.00083,14.9,0.1,GCA_026122185.1
KAK4530268.1, -, PTHR13298.orig.30.pi, -,0.011,11.2,1.3,0.026,9.9,0.3,GCA_026122185.1
KAK4530804.1, -, PTHR13298.orig.30.pi, -,0.061,8.7,7.3,0.58,5.4,6.4,GCA_026122185.1
KAK4529383.1, -, PTHR13298.orig.30.pi, -,0.52,5.6,6.8,0.98,4.7,0.1,GCA_026122185.1
KAK4535105.1, -, PTHR13298.orig.30.pi, -,0.0071,11.8,8.7,0.2,7.0,0.6,GCA_026184775.1
KAK4534551.1, -, PTHR13298.orig.30.pi, -,0.13,7.6,1.5,0.55,5.5,0.0,GCA_026184775.1
GAB0496186.1, -, PTHR13298.orig.30.pi, -,0.033,10.6,3.9,0.58,6.5,0.6,GCA_042855435.1
GAB0498439.1, -, PTHR13298.orig.30.pi, -,0.13,8.7,0.0,3.1,4.1,0.0,GCA_042855435.1
GAB0498438.1, -, PTHR13298.orig.30.pi, -,0.15,8.4,0.0,3.3,4.0,0.0,GCA_042855435.1
