"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_000310025.1","CBN77350.1"," -"," PTHR13298.orig.30.pi"," -",1.2e-155,519.5,0,1.8e-89,300.4,0,"NCBI",2880,"Ectocarpus siliculosus"
"2","GCA_004359215.2","TDH70536.1"," -"," PTHR13298.orig.30.pi"," -",0,1077,3.3,0,1076.6,3.3,"NCBI",4779,"Bremia lactucae"
"3","GCA_900000015.1","CEG38557.1"," -"," PTHR13298.orig.30.pi"," -",0,1082.5,0.7,0,1082.2,0.7,"NCBI",4781,"Plasmopara halstedii"
"4","GCA_016618375.1","KAG1700301.1"," -"," PTHR13298.orig.30.pi"," -",0,1113.6,0,0,1113.3,0,"NCBI",4784,"Phytophthora capsici"
"5","GCA_018691715.1","KAG6610313.1"," -"," PTHR13298.orig.30.pi"," -",0,1123,0,0,1122.7,0,"NCBI",4785,"Phytophthora cinnamomi"
"6","GCA_012295175.1","KAF4040553.1"," -"," PTHR13298.orig.30.pi"," -",0,1114.3,0,0,1114,0,"NCBI",4787,"Phytophthora infestans"
"7","GCA_000509505.1","ETL90123.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.5,0,0,1116.2,0,"NCBI",4792,"Phytophthora nicotianae"
"8","GCA_031305395.1","KAK1947908.1"," -"," PTHR13298.orig.30.pi"," -",0,1118,0,0,1117.6,0,"NCBI",4793,"Phytophthora citrophthora"
"9","GCA_002911725.1","POM80870.1"," -"," PTHR13298.orig.30.pi"," -",0,1115.8,0,0,1115.5,0,"NCBI",4796,"Phytophthora palmivora"
"10","GCA_027925865.1","DBA03145.1"," -"," PTHR13298.orig.30.pi"," -",0,1014.4,0.1,0,1014,0.1,"NCBI",4803,"Lagenidium giganteum"
"11","GCA_000151665.1","CBK24979.2"," -"," PTHR13298.orig.30.pi"," -",1.4e-102,342.3,12.3,1e-103,341.7,12.3,"NCBI",12968,"Blastocystis hominis"
"12","GCA_003287315.1","RAW43666.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,"NCBI",29920,"Phytophthora cactorum"
"13","GCA_005966545.1","TMW68659.1"," -"," PTHR13298.orig.30.pi"," -",0,1019,0.9,0,1018.6,0.9,"NCBI",41045,"Pythium oligandrum"
