tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
97|esubft_925_4, -, PTHR13298.orig.30.pi, -,1.3e-191,638.7,0.0,8e-192,638.3,0.0,Alaesc1_RICTOR
11|cpc12, -, PTHR13298.orig.30.pi, -,0.0055,14.0,0.2,0.0076,13.6,0.2,Alaesc1_RICTOR
960|esi_0201_6, -, PTHR13298.orig.30.pi, -,0.11,9.7,0.0,0.29,8.3,0.0,Alaesc1_RICTOR
848|esi_0246_6, -, PTHR13298.orig.30.pi, -,0.15,9.3,0.0,0.15,9.3,0.0,Alaesc1_RICTOR
75|esubft_141_4_iso, -, PTHR13298.orig.30.pi, -,7.9,3.6,4.6,11.0,3.2,4.6,Alaesc1_RICTOR
e1Plus.C_40113, -, PTHR13298.orig.30.pi, -,2.1e-170,567.9,0.0,3e-170,567.4,0.0,Aplke1_RICTOR
_#_100_#_isotig0496, -, PTHR13298.orig.30.pi, -,2.9e-05,21.0,4.8,0.00094,16.0,0.2,Aplke1_RICTOR
#_65, -, PTHR13298.orig.30.pi, -,0.00054,16.8,0.2,0.01,12.6,0.0,Aplke1_RICTOR
_#_27_#_isotig02339, -, PTHR13298.orig.30.pi, -,0.016,11.9,0.3,0.13,8.9,0.0,Aplke1_RICTOR
jgi|Auran1|9586, -, PTHR13298.orig.30.pi, -,0.001,15.8,0.3,0.031,10.9,0.0,Auran1_RICTOR
jgi|Auran1|35474, -, PTHR13298.orig.30.pi, -,0.001,15.8,1.6,0.092,9.3,0.1,Auran1_RICTOR
jgi|Auran1|6667, -, PTHR13298.orig.30.pi, -,0.002,14.9,0.1,0.053,10.1,0.0,Auran1_RICTOR
jgi|Auran1|1761, -, PTHR13298.orig.30.pi, -,0.013,12.2,1.3,0.53,6.8,0.2,Auran1_RICTOR
jgi|Auran1|1526, -, PTHR13298.orig.30.pi, -,0.025,11.2,1.2,0.028,11.1,0.0,Auran1_RICTOR
jgi|Auran1|7130, -, PTHR13298.orig.30.pi, -,0.03,11.0,0.6,0.75,6.3,0.0,Auran1_RICTOR
jgi|Auran1|62371, -, PTHR13298.orig.30.pi, -,0.044,10.4,2.3,4.5,3.7,0.2,Auran1_RICTOR
jgi|Auran1|7149, -, PTHR13298.orig.30.pi, -,0.063,9.9,0.0,0.068,9.8,0.0,Auran1_RICTOR
jgi|Auran1|4155, -, PTHR13298.orig.30.pi, -,0.08,9.5,0.0,3.9,4.0,0.0,Auran1_RICTOR
sh1_kg.C_140160, -, PTHR13298.orig.30.pi, -,1.5e-33,115.0,0.0,1.7e-33,114.8,0.0,Aurli1_RICTOR
ark1.C_4_t10456, -, PTHR13298.orig.30.pi, -,0.01,12.9,0.0,0.024,11.6,0.0,Aurli1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.012,12.7,4.8,1.1,6.1,0.0,Aurli1_RICTOR
1, -, PTHR13298.orig.30.pi, -,0.016,12.2,1.4,0.024,11.6,0.2,Aurli1_RICTOR
ise1Plus.C_210246, -, PTHR13298.orig.30.pi, -,0.031,11.3,0.0,0.9,6.4,0.0,Aurli1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.054,10.5,3.7,0.62,7.0,0.2,Aurli1_RICTOR
ise1Plus.C_10_t2028, -, PTHR13298.orig.30.pi, -,0.081,9.9,0.1,0.61,7.0,0.0,Aurli1_RICTOR
Blahom1|5675|rna544, -, PTHR13298.orig.30.pi, -,1.4e-102,342.3,12.3,1e-103,341.7,12.3,Blahom1_RICTOR
Blahom1|5198|rna496, -, PTHR13298.orig.30.pi, -,2.6e-33,112.9,1.1,3.3e-33,112.6,1.1,Blahom1_RICTOR
Blahom1|5199|rna496, -, PTHR13298.orig.30.pi, -,1.2e-25,87.5,10.7,1.6e-25,87.1,10.7,Blahom1_RICTOR
Blahom1|2433|rna953, -, PTHR13298.orig.30.pi, -,0.21,7.2,4.0,0.18,7.5,2.8,Blahom1_RICTOR
|9641|CCR75_005144., -, PTHR13298.orig.30.pi, -,0.0,1077.0,3.3,0.0,1076.6,3.3,Brelac1_RICTOR
|1021|CCR75_001230., -, PTHR13298.orig.30.pi, -,0.038,10.1,0.1,0.061,9.5,0.1,Brelac1_RICTOR
|8952|CCR75_001536., -, PTHR13298.orig.30.pi, -,5.5,3.0,10.0,3.1,3.8,0.3,Brelac1_RICTOR
