Accn,one_line_summary,C.score,Complete.BUSCOs,Single.copy.percentage,Single.copy.BUSCOs,Multi.copy.percentage,Multi.copy.BUSCOs,Frag.score,Fragmented.BUSCOs,Missing.percentage,Missing.BUSCOs,n_markers,avg_identity,domain,internal_stop_codon_count,internal_stop_codon_percent
Acuobl2326_1,"C:97.1%[S:94.9%,D:2.2%],F:0.4%,M:2.5%,n:1519",97.1,1475,94.9,1442,2.2,33,0.4,6,2.5,38,1519,NULL,eukaryota,0,0
Apalob2145_1,"C:95.1%[S:93.9%,D:1.3%],F:0.5%,M:4.4%,n:1519",95.1,1445,93.9,1426,1.3,19,0.5,7,4.4,67,1519,NULL,eukaryota,0,0
Astgub1,"C:83.0%[S:81.4%,D:1.6%],F:3.4%,M:13.6%,n:1519",83,1261,81.4,1237,1.6,24,3.4,52,13.6,206,1519,NULL,eukaryota,0,0
Astpho2,"C:92.4%[S:86.9%,D:5.5%],F:2.0%,M:5.7%,n:1519",92.4,1403,86.9,1320,5.5,83,2,30,5.7,86,1519,NULL,eukaryota,0,0
Auxeprot1,"C:93.8%[S:93.3%,D:0.5%],F:2.4%,M:3.8%,n:1519",93.8,1425,93.3,1417,0.5,8,2.4,36,3.8,58,1519,NULL,eukaryota,0,0
Auxpr25_1_1,"C:88.4%[S:88.1%,D:0.3%],F:2.8%,M:8.8%,n:1519",88.4,1343,88.1,1338,0.3,5,2.8,42,8.8,134,1519,NULL,eukaryota,0,0
Batpra1,"C:96.5%[S:96.1%,D:0.5%],F:0.9%,M:2.6%,n:1519",96.5,1466,96.1,1459,0.5,7,0.9,14,2.6,39,1519,NULL,eukaryota,0,0
Botrbrau1_1,"C:81.7%[S:80.1%,D:1.6%],F:5.9%,M:12.4%,n:1519",81.7,1241,80.1,1216,1.6,25,5.9,90,12.4,188,1519,NULL,eukaryota,0,0
Caulen1,"C:75.0%[S:67.3%,D:7.7%],F:2.3%,M:22.6%,n:1519",75,1140,67.3,1023,7.7,117,2.3,35,22.6,344,1519,NULL,eukaryota,0,0
Chleu1_1,"C:97.0%[S:91.5%,D:5.5%],F:0.6%,M:2.4%,n:1519",97,1474,91.5,1390,5.5,84,0.6,9,2.4,36,1519,NULL,eukaryota,0,0
Chlin1,"C:95.9%[S:92.7%,D:3.2%],F:2.0%,M:2.1%,n:1519",95.9,1456,92.7,1408,3.2,48,2,31,2.1,32,1519,NULL,eukaryota,0,0
ChloA99_1,"C:90.1%[S:88.9%,D:1.2%],F:2.4%,M:7.5%,n:1519",90.1,1369,88.9,1351,1.2,18,2.4,36,7.5,114,1519,NULL,eukaryota,0,0
ChloDOE1412_1_1,"C:91.1%[S:90.2%,D:0.9%],F:0.7%,M:8.2%,n:1519",91.1,1384,90.2,1370,0.9,14,0.7,10,8.2,125,1519,NULL,eukaryota,0,0
Chloso1228_1_1,"C:94.8%[S:93.2%,D:1.6%],F:1.3%,M:3.9%,n:1519",94.8,1440,93.2,1416,1.6,24,1.3,19,3.9,60,1519,NULL,eukaryota,0,0
Chloso1230_1_1,"C:96.8%[S:95.9%,D:1.0%],F:0.7%,M:2.5%,n:1519",96.8,1471,95.9,1456,1,15,0.7,10,2.5,38,1519,NULL,eukaryota,0,0
Chloso1602_1_1,"C:97.3%[S:96.4%,D:0.9%],F:0.6%,M:2.1%,n:1519",97.3,1478,96.4,1464,0.9,14,0.6,9,2.1,32,1519,NULL,eukaryota,0,0
Chlpri1_1,"C:91.3%[S:89.3%,D:2.0%],F:0.5%,M:8.2%,n:1519",91.3,1387,89.3,1356,2,31,0.5,7,8.2,125,1519,NULL,eukaryota,0,0
Chlre5_6,"C:98.7%[S:98.0%,D:0.8%],F:0.3%,M:1.0%,n:1519",98.7,1500,98,1488,0.8,12,0.3,4,1,15,1519,NULL,eukaryota,0,0
ChlreiCC4532_1,"C:99.5%[S:98.4%,D:1.1%],F:0.1%,M:0.4%,n:1519",99.5,1512,98.4,1495,1.1,17,0.1,1,0.4,6,1519,NULL,eukaryota,0,0
Chlremi1,"C:92.8%[S:84.3%,D:8.5%],F:1.8%,M:5.4%,n:1519",92.8,1409,84.3,1280,8.5,129,1.8,28,5.4,82,1519,NULL,eukaryota,0,0
Chlsc1,"C:97.8%[S:94.3%,D:3.6%],F:0.8%,M:1.4%,n:1519",97.8,1486,94.3,1432,3.6,54,0.8,12,1.4,21,1519,NULL,eukaryota,0,0
ChlUWO241_1,"C:82.2%[S:75.2%,D:7.0%],F:2.5%,M:15.3%,n:1519",82.2,1248,75.2,1142,7,106,2.5,38,15.3,233,1519,NULL,eukaryota,0,0
Chrzof2,"C:98.9%[S:96.9%,D:2.0%],F:0.5%,M:0.6%,n:1519",98.9,1503,96.9,1472,2,31,0.5,7,0.6,9,1519,NULL,eukaryota,0,0
Coprin2167_1,"C:95.4%[S:94.8%,D:0.6%],F:1.0%,M:3.6%,n:1519",95.4,1449,94.8,1440,0.6,9,1,15,3.6,55,1519,NULL,eukaryota,0,0
Cosub3,"C:99.5%[S:98.4%,D:1.1%],F:0.1%,M:0.4%,n:1519",99.5,1511,98.4,1495,1.1,16,0.1,2,0.4,6,1519,NULL,eukaryota,0,0
DesarB2533_2,"C:88.4%[S:86.2%,D:2.2%],F:2.8%,M:8.8%,n:1519",88.4,1343,86.2,1309,2.2,34,2.8,42,8.8,134,1519,NULL,eukaryota,0,0
DesarSE107_1,"C:93.1%[S:91.0%,D:2.0%],F:1.7%,M:5.2%,n:1519",93.1,1414,91,1383,2,31,1.7,26,5.2,79,1519,NULL,eukaryota,0,0
Dicre1,"C:93.6%[S:92.1%,D:1.5%],F:2.1%,M:4.3%,n:1519",93.6,1422,92.1,1399,1.5,23,2.1,32,4.3,65,1519,NULL,eukaryota,0,0
Dunsal1_1,"C:81.8%[S:75.6%,D:6.2%],F:7.0%,M:11.1%,n:1519",81.8,1243,75.6,1149,6.2,94,7,107,11.1,169,1519,NULL,eukaryota,0,0
Edade1,"C:96.8%[S:90.8%,D:6.0%],F:1.4%,M:1.8%,n:1519",96.8,1471,90.8,1380,6,91,1.4,21,1.8,27,1519,NULL,eukaryota,0,0
Ellbil24580_1,"C:93.5%[S:92.2%,D:1.3%],F:1.1%,M:5.3%,n:1519",93.5,1421,92.2,1401,1.3,20,1.1,17,5.3,81,1519,NULL,eukaryota,0,0
Enacos1_1,"C:98.4%[S:94.5%,D:3.8%],F:0.5%,M:1.1%,n:1519",98.4,1494,94.5,1436,3.8,58,0.5,8,1.1,17,1519,NULL,eukaryota,0,0
Flerot1_1,"C:98.6%[S:90.7%,D:7.9%],F:0.3%,M:1.1%,n:1519",98.6,1497,90.7,1377,7.9,120,0.3,5,1.1,17,1519,NULL,eukaryota,0,0
