Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_034359265.1	ASM3435926v1	Canna indica	4628	752924351	Complete Genome
GCA_900231445.1	Svevo.v1	Triticum turgidum subsp. durum	4567	9964338633	Chromosome
GCA_023547065.1	ASM2354706v1	Musa troglodytarum	320322	603587930	Chromosome
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis	2320716	4186550321	Chromosome
GCA_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor	4558	708735318	Chromosome
GCA_000005505.4	Brachypodium_distachyon_v3.0	Brachypodium distachyon	15368	271163419	Chromosome
GCA_000263155.2	Setaria_italica_v2.0	Setaria italica	4555	405732883	Chromosome
GCA_016808335.1	P.virgatum_v5	Panicum virgatum	38727	1129857985	Chromosome
GCA_005286985.2	Setaria_viridis_v4.0	Setaria viridis	4556	397277387	Chromosome
GCA_018446385.1	Zo_v1.1	Zingiber officinale	94328	3090266393	Chromosome
GCA_032690845.1	Eleusine_coracana_v1.0	Eleusine coracana subsp. coracana	191504	1111714373	Chromosome
GCA_001876935.1	Aspof.V1	Asparagus officinalis	4686	1187538024	Chromosome
GCA_022539455.1	Dnobile	Dendrobium nobile	94219	1199116975	Chromosome
GCA_020875875.1	Dalata_v2	Dioscorea alata	55571	480026477	Chromosome
GCA_030979885.1	Rabiosa unphased assembly	Lolium multiflorum	4521	2462086667	Chromosome
GCA_004837865.1	BananaB_V1	Musa balbisiana	52838	492775286	Chromosome
GCA_019925795.1	ASM1992579v1	Dendrobium chrysotoxum	161865	1368173789	Chromosome
GCA_002211085.2	PHallii_v3.1	Panicum hallii	206008	535889049	Chromosome
GCA_027726005.1	MPIPZ_junEff1m_1	Juncus effusus	13579	258276744	Chromosome
GCA_026586065.1	Dzin_1.0	Dioscorea zingiberensis	325984	629184705	Chromosome
GCA_030737845.1	ASM3073784v1	Acorus calamus	4465	721748827	Chromosome
GCA_964340505.1	Alaeq_EIv0.2	Alopecurus aequalis	114194	2849141745	Chromosome
GCA_040670175.1	ASM4067017v1	Dendrobium thyrsiflorum	117978	1443559833	Chromosome
GCA_011114355.1	ASM1111435v1	Carex littledalei	544730	373852675	Chromosome
GCA_030737835.1	ASM3073783v1	Acorus gramineus	55184	398581865	Chromosome
GCA_007726485.1	CERZOS_EC1.0	Eragrostis curvula	38414	603072269	Chromosome
GCA_027562975.1	MPIPZ_rhyBre1m_1.0	Rhynchospora breviuscula	2022672	420702111	Chromosome
GCA_964270295.1	MTEXT_v1	Musa textilis	228183	538432191	Chromosome
GCA_964030465.3	lpUroDecu1.2	Urochloa decumbens	240449	2879772915	Chromosome
GCA_027725995.1	MPIPZ_rhyTen1m_1	Rhynchospora tenuis	198213	397748660	Chromosome
GCA_028095005.1	MPIPZ_rhyPub2m_2.0	Rhynchospora pubera	906938	1694853883	Chromosome
GCA_902729315.2	Spirodela_intermedia_8410_2	Spirodela intermedia	51605	136679681	Chromosome
GCA_964270275.1	MABAN_v1	Musa banksii	213591	472526050	Chromosome
GCA_039583875.1	PGUA_v1.0	Platanthera guangdongensis	2320717	4245568817	Chromosome
GCA_001185155.1	Zosma_marina.v.2.1	Zostera marina	29655	203913826	Scaffold
GCA_001605985.2	ASM160598v2	Dendrobium catenatum	906689	1104107363	Scaffold
GCA_029747655.1	EnVent_Maze_1.0	Ensete ventricosum	4639	534048781	Scaffold
GCA_904845875.1	Mlu_assembly	Miscanthus lutarioriparius	422564	2074797027	Scaffold
GCA_015342445.1	DiExil	Digitaria exilis	1010633	760650579	Contig
GCA_001633215.2	ASM163321v2	Dichanthelium oligosanthes	888268	589166415	Scaffold
GCA_019279435.1	ASM1927943v1	Zizania palustris	103762	1288765485	Scaffold
GCA_002786265.1	ASM278626v1	Apostasia shenzhenica	1088818	348733136	Scaffold
