"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_905182975.1","CAD8098488.1"," -"," PTHR19842.orig.30.pi"," -",9.2e-95,318.3,2,1.1e-94,318.1,2,FALSE,TRUE,5886,"Paramecium primaurelia",97.08,1.17
"2","GCA_000165425.1","CAK94192.1"," -"," PTHR19842.orig.30.pi"," -",5.2e-95,319.1,1.6,6e-95,318.9,1.6,FALSE,TRUE,5888,"Paramecium tetraurelia",98.83,0.58
"3","GCA_000220395.1","EGR31442.1"," -"," PTHR19842.orig.30.pi"," -",3.2e-72,242,5.1,3.7e-72,241.8,5.1,FALSE,TRUE,5932,"Ichthyophthirius multifiliis",82.46,5.26
"4","GCA_946863485.1","CAI2376891.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-73,247.6,0.1,2.5e-73,247.4,0.1,FALSE,TRUE,5936,"Moneuplotes crassus",91.81,21.64
"5","GCA_000751175.1","CDW72185.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-89,299.1,5.9,4.1e-89,298.8,5.9,FALSE,TRUE,5949,"Stylonychia lemnae",97.66,1.17
"6","GCA_013115115.1","KAF4669024.1"," -"," PTHR19842.orig.30.pi"," -",2.6e-68,229.5,0,3.5e-68,229.1,0,FALSE,FALSE,32597,"Perkinsus olseni",89.47,2.34
"7","GCA_905182995.1","CAD8184129.1"," -"," PTHR19842.orig.30.pi"," -",4.5e-95,319.4,3.1,5.3e-95,319.2,3.1,FALSE,TRUE,43137,"Paramecium octaurelia",96.49,1.75
"8","GCA_905183005.1","CAD8199230.1"," -"," PTHR19842.orig.30.pi"," -",7.9e-95,318.6,2.2,9.2e-95,318.4,2.2,FALSE,TRUE,43138,"Paramecium pentaurelia",98.25,1.17
"9","GCA_905182985.1","CAD8105304.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-95,321.1,3.3,1.9e-95,320.9,3.3,FALSE,TRUE,65129,"Paramecium sonneborni",98.83,0.58
"10","GCA_905237085.1","CAE8640601.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-88,298.4,0,3.2e-88,297.4,0,FALSE,FALSE,89957,"Polarella glacialis",69.59,16.37
"11","GCA_905221625.1","CAE7640474.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-111,373,1,8e-112,372.7,1,TRUE,FALSE,230985,"Symbiodinium sp. KB8",91.23,4.09
"12","GCA_001447515.1","KRX06075.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-88,296,0.2,2.3e-88,295.7,0.2,FALSE,TRUE,266149,"Pseudocohnilembus persalinus",99.42,0
"13","GCA_000189635.1","EAS01237.2"," -"," PTHR19842.orig.30.pi"," -",1.2e-80,271.4,5.6,1.5e-80,271.1,5.6,FALSE,TRUE,312017,"Tetrahymena thermophila SB210",98.83,0
"14","GCA_013115145.1","KAF4677089.1"," -"," PTHR19842.orig.30.pi"," -",6.7e-67,224.9,0,1e-66,224.3,0,FALSE,FALSE,330153,"Perkinsus chesapeaki",91.23,3.51
"15","GCA_000006405.1","EER15977.1"," -"," PTHR19842.orig.30.pi"," -",9.8e-88,294.5,0,5.5e-66,223,0,FALSE,FALSE,423536,"Perkinsus marinus ATCC 50983",97.08,1.17
"16","GCA_015476325.1","KAF8822788.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-80,268.7,2.9,1.7e-80,268.4,2.9,FALSE,FALSE,476202,"Cardiosporidium cionae",59.21,3.7
"17","GCA_001179505.1","CEM04162.1"," -"," PTHR19842.orig.30.pi"," -",5e-90,302,0.3,6.6e-90,301.6,0.3,FALSE,FALSE,1169540,"Vitrella brassicaformis CCMP3155",99.42,0
"18","GCA_914767885.1","CAG9314612.1"," -"," PTHR19842.orig.30.pi"," -",5e-83,279.2,0.6,5.5e-83,279,0.6,FALSE,TRUE,1481888,"Blepharisma stoltei",95.91,2.92
