tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
.t1_protein_coding., -, PTHR12848.orig.30.pi, -,1e-277,926.0,0.0,1e-163,544.0,0.5,Euggra1_RAPTOR
t2_protein_coding.1, -, PTHR12848.orig.30.pi, -,5.6e-232,774.5,0.0,3e-156,521.5,0.7,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,1.2e-187,627.6,3.7,9e-163,541.9,1.2,Euggra1_RAPTOR
.t1_protein_coding., -, PTHR12848.orig.30.pi, -,6.1e-152,509.3,12.1,2.1e-75,255.8,0.0,Euggra1_RAPTOR
1_protein_coding.1, -, PTHR12848.orig.30.pi, -,3.6e-111,374.2,0.3,4e-112,373.2,0.3,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,2.3e-106,358.3,0.0,4e-107,357.4,0.0,Euggra1_RAPTOR
1_protein_coding.1, -, PTHR12848.orig.30.pi, -,2.9e-86,291.7,1.3,7.5e-76,257.2,0.0,Euggra1_RAPTOR
t1_protein_coding.2, -, PTHR12848.orig.30.pi, -,4.3e-79,268.0,0.0,5.3e-79,267.7,0.0,Euggra1_RAPTOR
1_protein_coding.1, -, PTHR12848.orig.30.pi, -,5.2e-76,257.8,0.1,1e-64,220.4,0.0,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,1e-66,227.0,0.1,1.3e-66,226.6,0.1,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,1.2e-29,104.1,5.9,4.5e-11,42.7,0.1,Euggra1_RAPTOR
t2_protein_coding.2, -, PTHR12848.orig.30.pi, -,3.9e-28,99.2,0.1,4.8e-28,98.9,0.1,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,4.5e-28,99.0,0.0,9.1e-28,98.0,0.0,Euggra1_RAPTOR
1_protein_coding.1, -, PTHR12848.orig.30.pi, -,8.1e-28,98.1,0.4,1e-27,97.8,0.4,Euggra1_RAPTOR
t1_protein_coding.2, -, PTHR12848.orig.30.pi, -,2.7e-24,86.4,5.6,1e-10,41.5,0.0,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,6.8e-24,85.1,1.1,8.5e-17,61.6,0.0,Euggra1_RAPTOR
t2_protein_coding.2, -, PTHR12848.orig.30.pi, -,4.6e-21,75.8,3.4,5.5e-11,42.4,0.0,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,8.8e-20,71.5,0.9,7e-11,42.0,0.0,Euggra1_RAPTOR
t2_protein_coding.1, -, PTHR12848.orig.30.pi, -,2.3e-18,66.8,6.1,3.8e-08,33.0,0.1,Euggra1_RAPTOR
.t1_protein_coding., -, PTHR12848.orig.30.pi, -,5.5e-17,62.2,1.0,8.7e-11,41.7,0.1,Euggra1_RAPTOR
.t2_protein_coding., -, PTHR12848.orig.30.pi, -,5.6e-17,62.2,0.9,8.4e-11,41.8,0.1,Euggra1_RAPTOR
.t2_protein_coding., -, PTHR12848.orig.30.pi, -,9.1e-17,61.5,0.7,3.7e-10,39.6,0.1,Euggra1_RAPTOR
.t1_protein_coding., -, PTHR12848.orig.30.pi, -,9.7e-17,61.4,0.7,4.2e-10,39.4,0.1,Euggra1_RAPTOR
.t1_protein_coding., -, PTHR12848.orig.30.pi, -,3.1e-16,59.8,0.7,5.2e-10,39.1,0.2,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,1.2e-15,57.8,0.0,1.2e-08,34.7,0.1,Euggra1_RAPTOR
t2_protein_coding.2, -, PTHR12848.orig.30.pi, -,3.3e-14,53.0,0.1,4.6e-14,52.6,0.1,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,3.7e-14,52.9,0.6,2.8e-13,50.0,0.3,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,3.7e-14,52.9,0.0,5.2e-14,52.4,0.0,Euggra1_RAPTOR
t1_protein_coding.1, -, PTHR12848.orig.30.pi, -,1.3e-13,51.0,0.0,1.7e-08,34.1,0.0,Euggra1_RAPTOR
t2_protein_coding.2, -, PTHR12848.orig.30.pi, -,2.8e-13,50.0,0.3,3.3e-13,49.7,0.3,Euggra1_RAPTOR
1_protein_coding.1, -, PTHR12848.orig.30.pi, -,4.1e-13,49.4,0.2,6e-13,48.9,0.2,Euggra1_RAPTOR
