tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
_g10718, -, PTHR13335.orig.30.pi, -,4.5e-06,26.2,12.2,5.9e-06,25.8,12.2,Bigna1_SIN1
genesh1_pg.C_113002, -, PTHR13335.orig.30.pi, -,0.0003,20.1,34.4,0.0059,15.9,22.2,Bigna1_SIN1
_pg.132_#_11, -, PTHR13335.orig.30.pi, -,0.00055,19.3,21.6,0.00055,19.3,21.6,Bigna1_SIN1
_pg.88_#_57, -, PTHR13335.orig.30.pi, -,0.0018,17.6,0.0,0.0018,17.6,0.0,Bigna1_SIN1
_pg.30_#_50, -, PTHR13335.orig.30.pi, -,0.0029,16.9,0.4,0.0049,16.1,0.1,Bigna1_SIN1
genesh1_pg.C_109005, -, PTHR13335.orig.30.pi, -,0.0034,16.7,0.0,0.0048,16.2,0.0,Bigna1_SIN1
_pg.14_#_141, -, PTHR13335.orig.30.pi, -,0.0097,15.2,0.0,0.013,14.7,0.0,Bigna1_SIN1
_pg.12_#_157, -, PTHR13335.orig.30.pi, -,0.19,10.9,9.5,0.26,10.4,9.5,Bigna1_SIN1
_g19458, -, PTHR13335.orig.30.pi, -,0.36,10.0,10.5,0.58,9.3,10.5,Bigna1_SIN1
_pg.29_#_27, -, PTHR13335.orig.30.pi, -,0.95,8.6,10.2,0.42,9.7,3.1,Bigna1_SIN1
_g11975, -, PTHR13335.orig.30.pi, -,2.9,7.0,35.8,3.7,6.6,35.8,Bigna1_SIN1
_pg.38_#_150, -, PTHR13335.orig.30.pi, -,7.1,5.7,29.1,11.0,5.0,29.1,Bigna1_SIN1
mic1|70862|g65338.t, -, PTHR13335.orig.30.pi, -,2.9e-31,110.0,0.2,3.6e-31,109.7,0.2,Paumic1_SIN1
mic1|90512|g82305.t, -, PTHR13335.orig.30.pi, -,6.3e-14,52.7,6.9,1.1e-13,51.9,6.9,Paumic1_SIN1
mic1|73067|g59422.t, -, PTHR13335.orig.30.pi, -,7.7e-13,49.1,10.4,1e-05,25.6,8.9,Paumic1_SIN1
mic1|91167|g50433.t, -, PTHR13335.orig.30.pi, -,2e-11,44.5,0.1,0.00062,19.7,0.0,Paumic1_SIN1
mic1|85394|g53572.t, -, PTHR13335.orig.30.pi, -,2.3e-11,44.3,0.0,2.3e-11,44.3,0.0,Paumic1_SIN1
mic1|64885|g30243.t, -, PTHR13335.orig.30.pi, -,2.3e-11,44.2,0.0,4.7e-11,43.2,0.0,Paumic1_SIN1
mic1|88106|g6089.t1, -, PTHR13335.orig.30.pi, -,7.8e-11,42.5,13.6,1.1e-10,42.0,13.6,Paumic1_SIN1
