tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
e1_1|45660|g18931.t, -, PTHR13335.orig.30.pi, -,0.012,14.6,7.7,0.013,14.5,7.7,Amoce1_1
e1_1|54603|g11359.t, -, PTHR13335.orig.30.pi, -,0.083,11.8,4.2,0.14,11.1,4.2,Amoce1_1
e1_1|48698|g6711.t1, -, PTHR13335.orig.30.pi, -,0.19,10.6,15.7,0.21,10.5,15.7,Amoce1_1
e1_1|42131|g16794.t, -, PTHR13335.orig.30.pi, -,0.58,9.0,10.4,0.97,8.3,10.4,Amoce1_1
symbB.v1.2.040789.t, -, PTHR13335.orig.30.pi, -,0.0025,18.2,26.8,0.015,15.7,19.8,Bremi1
symbB.v1.2.022139.t, -, PTHR13335.orig.30.pi, -,0.0046,17.3,4.7,0.0062,16.9,4.7,Bremi1
symbB.v1.2.030497.t, -, PTHR13335.orig.30.pi, -,0.0087,16.4,10.3,0.0098,16.3,10.3,Bremi1
symbB.v1.2.009399.t, -, PTHR13335.orig.30.pi, -,0.017,15.4,18.3,0.018,15.4,18.3,Bremi1
symbB.v1.2.007470.t, -, PTHR13335.orig.30.pi, -,0.021,15.2,0.1,0.025,14.9,0.1,Bremi1
ymbB.v1.2.019823.t2, -, PTHR13335.orig.30.pi, -,0.041,14.2,16.0,0.051,13.9,16.0,Bremi1
symbB.v1.2.028647.t, -, PTHR13335.orig.30.pi, -,0.053,13.8,42.8,0.0065,16.8,31.1,Bremi1
symbB.v1.2.034173.t, -, PTHR13335.orig.30.pi, -,0.056,13.7,1.3,0.086,13.1,1.3,Bremi1
symbB.v1.2.034537.t, -, PTHR13335.orig.30.pi, -,0.12,12.6,0.0,0.13,12.5,0.0,Bremi1
symbB.v1.2.021508.t, -, PTHR13335.orig.30.pi, -,0.13,12.5,9.4,0.14,12.4,9.4,Bremi1
symbB.v1.2.037017.t, -, PTHR13335.orig.30.pi, -,0.21,11.8,20.2,0.39,11.0,7.1,Bremi1
symbB.v1.2.027159.t, -, PTHR13335.orig.30.pi, -,0.25,11.6,0.0,4.8,7.4,0.0,Bremi1
symbB.v1.2.012152.t, -, PTHR13335.orig.30.pi, -,0.41,10.9,17.7,0.79,10.0,17.7,Bremi1
symbB.v1.2.027081.t, -, PTHR13335.orig.30.pi, -,0.73,10.1,4.0,1.1,9.5,4.0,Bremi1
symbB.v1.2.023026.t, -, PTHR13335.orig.30.pi, -,0.79,9.9,7.4,1.2,9.4,7.4,Bremi1
symbB.v1.2.000172.t, -, PTHR13335.orig.30.pi, -,1.3,9.3,14.6,1.5,9.0,14.6,Bremi1
symbB.v1.2.001531.t, -, PTHR13335.orig.30.pi, -,1.5,9.0,23.3,2.5,8.3,23.3,Bremi1
symbB.v1.2.027132.t, -, PTHR13335.orig.30.pi, -,1.6,9.0,21.4,0.019,15.3,12.9,Bremi1
symbB.v1.2.039678.t, -, PTHR13335.orig.30.pi, -,1.8,8.8,20.0,2.1,8.6,20.0,Bremi1
symbB.v1.2.000172.t, -, PTHR13335.orig.30.pi, -,2.1,8.6,14.3,2.7,8.2,14.3,Bremi1
symbB.v1.2.027081.t, -, PTHR13335.orig.30.pi, -,2.2,8.5,5.3,3.4,7.9,5.3,Bremi1
|26043|Cvel_10120.t, -, PTHR13335.orig.30.pi, -,4.8e-05,23.3,0.1,7e-05,22.8,0.1,Chrveli1
|11862|Cvel_737.t1, -, PTHR13335.orig.30.pi, -,0.00018,21.4,7.7,0.00021,21.2,7.7,Chrveli1
|17136|Cvel_26527.t, -, PTHR13335.orig.30.pi, -,0.00089,19.1,3.3,0.0011,18.9,3.3,Chrveli1
|17180|Cvel_6485.t1, -, PTHR13335.orig.30.pi, -,0.0014,18.5,0.2,0.0014,18.5,0.2,Chrveli1
|31463|Cvel_13928.t, -, PTHR13335.orig.30.pi, -,0.0036,17.1,16.8,0.0045,16.8,16.8,Chrveli1
|23707|Cvel_8869.t1, -, PTHR13335.orig.30.pi, -,0.0049,16.7,6.5,0.0075,16.1,6.5,Chrveli1
|6382|Cvel_18975.t1, -, PTHR13335.orig.30.pi, -,0.0049,16.7,7.4,0.0055,16.5,7.4,Chrveli1
|20582|Cvel_29254.t, -, PTHR13335.orig.30.pi, -,0.0075,16.1,1.7,0.0075,16.1,1.7,Chrveli1
|14989|Cvel_25061.t, -, PTHR13335.orig.30.pi, -,0.0094,15.7,5.3,0.012,15.4,5.3,Chrveli1
|4420|Cvel_450.t1, -, PTHR13335.orig.30.pi, -,0.012,15.5,4.6,0.0086,15.9,4.6,Chrveli1
|31601|Cvel_14037.t, -, PTHR13335.orig.30.pi, -,0.027,14.2,17.8,0.022,14.5,14.9,Chrveli1
|31600|Cvel_14037.t, -, PTHR13335.orig.30.pi, -,0.034,13.9,18.3,0.013,15.3,14.6,Chrveli1
|13665|Cvel_5487.t1, -, PTHR13335.orig.30.pi, -,0.039,13.7,6.6,0.036,13.8,6.6,Chrveli1
|6649|Cvel_19184.t1, -, PTHR13335.orig.30.pi, -,0.052,13.3,1.4,0.11,12.2,1.3,Chrveli1
|6156|Cvel_18820.t1, -, PTHR13335.orig.30.pi, -,0.14,11.9,5.3,0.14,11.9,5.3,Chrveli1
|1453|Cvel_15267.t1, -, PTHR13335.orig.30.pi, -,0.19,11.5,6.1,0.21,11.3,6.1,Chrveli1
