tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
|3737|XM_011402968., -, PTHR33149.orig.30.pi, -,0.075,10.6,1.3,0.086,10.4,1.3,Auxeprot1_D1
|APUTEX2500000113-R, -, PTHR33149.orig.30.pi, -,0.053,10.7,1.5,0.064,10.5,1.5,Auxpr25_1_1_D1
Batpra1|4247|rna791, -, PTHR33149.orig.30.pi, -,1.1e-158,525.9,14.1,3e-159,525.7,14.1,Batpra1_D1
Batpra1|4249|rna791, -, PTHR33149.orig.30.pi, -,1.2e-149,496.1,2.2,3e-150,495.3,2.2,Batpra1_D1
ulen1|92944|g7578.t, -, PTHR33149.orig.30.pi, -,0.046,11.6,1.6,0.07,11.0,0.9,Caulen1_D1
hlin1|12382|g7995.t, -, PTHR33149.orig.30.pi, -,2.2,7.0,4.2,0.72,8.6,0.6,Chlin1_D1
NITY_DN9608_c1_g9_i, -, PTHR33149.orig.30.pi, -,1.2e-162,541.2,12.3,4e-163,540.9,12.3,Chlremi1_D1
NITY_DN6425_c2_g1_i, -, PTHR33149.orig.30.pi, -,2.3e-138,461.4,11.4,9e-139,461.1,11.4,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,2e-58,198.8,0.2,2.2e-58,198.7,0.2,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,1.5e-43,150.0,2.2,2.1e-43,149.5,2.2,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,3.2e-24,86.5,0.4,3.5e-24,86.3,0.4,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,5.5e-16,59.4,0.1,8.3e-16,58.8,0.1,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,0.00061,19.9,0.1,0.00076,19.5,0.1,Chlremi1_D1
, -, PTHR33149.orig.30.pi, -,0.073,13.0,0.0,0.076,13.0,0.0,Chlremi1_D1
lsc1|10566|g13891.t, -, PTHR33149.orig.30.pi, -,0.074,11.8,0.0,0.082,11.6,0.0,Chlsc1_D1
NITY_DN9887_c0_g1_i, -, PTHR33149.orig.30.pi, -,0.089,10.9,0.0,0.13,10.4,0.0,Cosub3_D1
2|204625|gm1.16618_, -, PTHR33149.orig.30.pi, -,0.47,9.1,5.7,0.95,8.1,5.7,DesarB2533_2_D1
, -, PTHR33149.orig.30.pi, -,0.11,11.4,0.1,0.12,11.2,0.1,DesarSE107_1_D1
ITY_DN71248_c0_g1_i, -, PTHR33149.orig.30.pi, -,0.33,9.7,3.4,0.33,9.8,3.4,DesarSE107_1_D1
6|Dusal.0583s00008., -, PTHR33149.orig.30.pi, -,8.6e-23,80.7,0.0,7.6e-17,61.2,0.0,Dunsal1_1_D1
4|Dusal.0076s00009., -, PTHR33149.orig.30.pi, -,4e-13,49.0,0.0,4.1e-13,48.9,0.0,Dunsal1_1_D1
dade1|18737|g5556.t, -, PTHR33149.orig.30.pi, -,0.05,12.7,0.0,0.058,12.4,0.0,Edade1_D1
_1|6323|KAK9843770., -, PTHR33149.orig.30.pi, -,0.0061,14.4,0.2,0.0094,13.8,0.2,Ellbil24580_1_D1
NU_transcript/16798, -, PTHR33149.orig.30.pi, -,1.2,7.9,3.4,1.8,7.3,3.4,Flerot1_1_D1
Gonpec1|6109|rna754, -, PTHR33149.orig.30.pi, -,0.11,11.2,0.0,0.13,11.0,0.0,Gonpec1_D1
i1|931|dmel_g6298.t, -, PTHR33149.orig.30.pi, -,1.0,7.9,4.0,1.5,7.4,4.0,Limspi1_D1
117|mRNA.MigICE1565, -, PTHR33149.orig.30.pi, -,1.7e-67,227.7,2.0,2e-67,227.4,2.0,MicrYARC1_D1
231|mRNA.MigICE1602, -, PTHR33149.orig.30.pi, -,1.7e-67,227.7,2.0,2e-67,227.4,2.0,MicrYARC1_D1
232|mRNA.MigICE1602, -, PTHR33149.orig.30.pi, -,1.7e-67,227.7,2.0,2e-67,227.4,2.0,MicrYARC1_D1
002|mRNA.MigICE1745, -, PTHR33149.orig.30.pi, -,1.7e-67,227.7,2.0,2e-67,227.4,2.0,MicrYARC1_D1
024|mRNA.MigICE1748, -, PTHR33149.orig.30.pi, -,1.7e-67,227.7,2.0,2e-67,227.4,2.0,MicrYARC1_D1
, -, PTHR33149.orig.30.pi, -,8.8e-145,480.3,11.0,2e-144,479.1,11.0,Ostta1115_2_D1
, -, PTHR33149.orig.30.pi, -,8.8e-145,480.3,11.0,2e-144,479.1,11.0,Ostta1115_2_D1
NITY_DN4871_c0_g1_i, -, PTHR33149.orig.30.pi, -,0.043,11.6,0.0,0.056,11.2,0.0,Ostta1115_2_D1
8|OT_ostta03g05900T, -, PTHR33149.orig.30.pi, -,0.04,11.6,0.0,0.053,11.2,0.0,Ostta4221_3_D1
_1|7891|CAG9462901., -, PTHR33149.orig.30.pi, -,0.092,10.4,0.0,0.12,10.0,0.0,PedYPF701_1_D1
|27188|NNA_000157.t, -, PTHR33149.orig.30.pi, -,0.088,10.7,1.0,0.15,10.0,1.0,Picre1_D1
06631-R1_photosyste, -, PTHR33149.orig.30.pi, -,2.2e-162,537.9,11.7,6e-163,537.6,11.7,Picsp_1_D1
06627-R1_cp43, -, PTHR33149.orig.30.pi, -,3.8e-142,471.4,9.6,7e-143,470.5,9.6,Picsp_1_D1
14867|Sobl_g06279.t, -, PTHR33149.orig.30.pi, -,0.08,11.4,0.0,0.25,9.8,0.0,Sceob152z_1_D1
592|Sobl_g00543.t1, -, PTHR33149.orig.30.pi, -,0.083,11.3,0.0,0.17,10.3,0.0,Sceob152z_1_D1
959589|e_gw1.8.624., -, PTHR33149.orig.30.pi, -,0.077,11.7,0.0,0.16,10.7,0.0,Sceobl1450_1_D1
_HQ_transcript/1647, -, PTHR33149.orig.30.pi, -,1.1e-27,96.7,0.6,1.2e-27,96.6,0.6,Sceobl2630_1_D1
, -, PTHR33149.orig.30.pi, -,0.072,11.8,0.0,0.15,10.8,0.0,Sceobl2630_1_D1
ITY_DN47089_c0_g1_i, -, PTHR33149.orig.30.pi, -,2.7e-144,479.9,13.0,3e-145,479.6,13.0,Sceobl393_2_D1
, -, PTHR33149.orig.30.pi, -,0.1,11.5,0.1,0.21,10.5,0.1,Sceobl393_2_D1
TY_DN611_c0_g2_i1, -, PTHR33149.orig.30.pi, -,0.13,11.2,2.2,0.57,9.1,0.4,Sceobl393_2_D1
ITY_DN611_c0_g2_i1, -, PTHR33149.orig.30.pi, -,0.13,11.2,2.2,0.57,9.1,0.4,Sceobl393_2_D1
374811|CE374810_590, -, PTHR33149.orig.30.pi, -,2.3e-44,151.4,1.9,2.4e-44,151.3,1.9,SceoblDOE13_1_D1
428715|e_gw1.9.344., -, PTHR33149.orig.30.pi, -,0.074,11.7,0.0,0.15,10.7,0.0,SceoblDOE13_1_D1
9.1, -, PTHR33149.orig.30.pi, -,1.6e-05,23.9,0.1,2.1e-05,23.5,0.1,Scesp_1_D1
ewise1Plus.C_147000, -, PTHR33149.orig.30.pi, -,1.5,7.6,8.9,0.3,9.9,1.4,Scesp_1_D1
ewise1Plus.C_124004, -, PTHR33149.orig.30.pi, -,8.2,5.1,11.4,1.0,8.1,3.1,Scesp_1_D1
