tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
PNW79096.1, -, PTHR11139.orig.30.pi, -,0.0,1697.3,0.0,0.0,1697.0,0.0,GCA_000002595.3
PNW79097.1, -, PTHR11139.orig.30.pi, -,0.0,1696.9,0.1,0.0,1696.6,0.1,GCA_000002595.3
PNW86493.1, -, PTHR11139.orig.30.pi, -,0.0,1622.4,3.2,0.0,1620.0,3.2,GCA_000002595.3
PNW78179.1, -, PTHR11139.orig.30.pi, -,5.6e-259,863.6,45.6,1e-260,863.1,45.6,GCA_000002595.3
PNW79003.1, -, PTHR11139.orig.30.pi, -,2.5e-158,529.7,0.0,5e-156,518.9,0.0,GCA_000002595.3
PNW73567.1, -, PTHR11139.orig.30.pi, -,4.6e-133,445.9,7.0,2e-118,397.3,0.0,GCA_000002595.3
PNW73566.1, -, PTHR11139.orig.30.pi, -,3.3e-132,443.1,9.9,2e-118,397.3,0.0,GCA_000002595.3
PNW73772.1, -, PTHR11139.orig.30.pi, -,2e-126,423.9,42.5,2e-126,423.9,42.5,GCA_000002595.3
PNW88579.1, -, PTHR11139.orig.30.pi, -,4.6e-14,51.1,6.9,6.6e-14,50.6,3.4,GCA_000002595.3
PNW83047.1, -, PTHR11139.orig.30.pi, -,1.2e-10,39.9,0.2,3.2e-10,38.4,0.2,GCA_000002595.3
PNW73489.1, -, PTHR11139.orig.30.pi, -,8.3e-06,23.7,9.4,0.00059,17.6,9.2,GCA_000002595.3
PNW75284.1, -, PTHR11139.orig.30.pi, -,1.2e-05,23.3,6.2,0.0011,16.8,0.2,GCA_000002595.3
PNW73788.1, -, PTHR11139.orig.30.pi, -,2.7e-05,22.0,1.0,2.7e-05,22.0,1.0,GCA_000002595.3
PNW69850.1, -, PTHR11139.orig.30.pi, -,0.00019,19.2,0.0,0.00061,17.6,0.0,GCA_000002595.3
PNW73028.1, -, PTHR11139.orig.30.pi, -,0.011,13.4,0.0,0.013,13.2,0.0,GCA_000002595.3
PNW84885.1, -, PTHR11139.orig.30.pi, -,0.059,11.0,9.8,0.12,10.0,9.9,GCA_000002595.3
PNW88131.1, -, PTHR11139.orig.30.pi, -,0.068,10.8,53.8,0.011,13.4,4.8,GCA_000002595.3
PNW83911.1, -, PTHR11139.orig.30.pi, -,0.12,10.0,0.0,0.13,9.9,0.0,GCA_000002595.3
ACO68161.1, -, PTHR11139.orig.30.pi, -,0.0,1600.2,0.1,0.0,1600.0,0.1,GCA_000090985.2
ACO64257.1, -, PTHR11139.orig.30.pi, -,1.9e-301,1003.6,55.6,4e-302,1003.3,55.6,GCA_000090985.2
ACO64075.1, -, PTHR11139.orig.30.pi, -,3e-146,488.7,0.1,2e-147,488.6,0.1,GCA_000090985.2
ACO65055.1, -, PTHR11139.orig.30.pi, -,1.5e-133,446.6,0.0,5e-134,444.5,0.0,GCA_000090985.2
ACO65280.1, -, PTHR11139.orig.30.pi, -,1.2e-93,314.2,0.0,4.7e-93,312.3,0.0,GCA_000090985.2
ACO67367.1, -, PTHR11139.orig.30.pi, -,7.1e-16,56.2,2.5,7.1e-16,56.2,2.5,GCA_000090985.2
ACO60868.1, -, PTHR11139.orig.30.pi, -,4.6e-08,30.3,8.7,1.3e-05,22.2,5.8,GCA_000090985.2
ACO67616.1, -, PTHR11139.orig.30.pi, -,8.3e-08,29.4,0.1,1.2e-07,28.9,0.1,GCA_000090985.2
ACO65176.1, -, PTHR11139.orig.30.pi, -,0.00067,16.5,2.0,0.015,12.0,1.3,GCA_000090985.2
ACO69455.1, -, PTHR11139.orig.30.pi, -,0.0012,15.6,7.1,0.023,11.4,0.9,GCA_000090985.2
ACO70667.1, -, PTHR11139.orig.30.pi, -,0.0015,15.4,0.0,0.0042,13.8,0.0,GCA_000090985.2
ACO67705.1, -, PTHR11139.orig.30.pi, -,0.0049,13.6,4.9,0.19,8.4,1.2,GCA_000090985.2
ACO69778.1, -, PTHR11139.orig.30.pi, -,0.023,11.4,0.1,0.027,11.1,0.1,GCA_000090985.2
ACO68758.1, -, PTHR11139.orig.30.pi, -,0.024,11.3,7.5,0.0085,12.8,1.4,GCA_000090985.2
ACO65556.1, -, PTHR11139.orig.30.pi, -,0.054,10.1,4.3,0.048,10.3,0.9,GCA_000090985.2
ACO67597.1, -, PTHR11139.orig.30.pi, -,0.086,9.5,1.0,0.096,9.3,1.0,GCA_000090985.2
ABO93925.1, -, PTHR11139.orig.30.pi, -,0.0,1441.1,43.1,0.0,1440.8,43.1,GCA_000092065.1
ABO97601.1, -, PTHR11139.orig.30.pi, -,6.9e-277,921.7,59.2,6e-278,921.4,59.2,GCA_000092065.1
ABO97047.1, -, PTHR11139.orig.30.pi, -,1.4e-241,804.5,44.2,2e-241,800.6,44.5,GCA_000092065.1
ABO98947.1, -, PTHR11139.orig.30.pi, -,4e-132,441.5,0.0,6e-133,441.2,0.0,GCA_000092065.1
ABO98946.1, -, PTHR11139.orig.30.pi, -,9.9e-107,357.2,0.0,1e-107,357.0,0.0,GCA_000092065.1
ABO95200.1, -, PTHR11139.orig.30.pi, -,3.3e-15,53.6,4.4,5.3e-09,33.0,1.2,GCA_000092065.1
ABO96963.1, -, PTHR11139.orig.30.pi, -,1.1e-07,28.6,9.7,0.012,11.9,0.1,GCA_000092065.1
ABP00032.1, -, PTHR11139.orig.30.pi, -,2.2e-06,24.3,0.0,2.8e-06,24.0,0.0,GCA_000092065.1
ABP00711.1, -, PTHR11139.orig.30.pi, -,5.5e-05,19.7,6.4,0.0028,14.0,4.4,GCA_000092065.1
ABO95479.1, -, PTHR11139.orig.30.pi, -,0.005,13.2,15.7,0.051,9.8,15.7,GCA_000092065.1
ABO96104.1, -, PTHR11139.orig.30.pi, -,0.0074,12.6,4.3,0.0086,12.4,4.3,GCA_000092065.1
ABO98706.1, -, PTHR11139.orig.30.pi, -,0.023,11.0,3.0,0.16,8.1,3.6,GCA_000092065.1
ABO95986.1, -, PTHR11139.orig.30.pi, -,0.13,8.5,2.0,0.15,8.2,2.0,GCA_000092065.1
ABO98599.1, -, PTHR11139.orig.30.pi, -,0.29,7.3,4.6,2.3,4.3,0.4,GCA_000092065.1
ABO96206.1, -, PTHR11139.orig.30.pi, -,0.99,5.5,18.2,3.2,3.9,18.2,GCA_000092065.1
EFJ44271.1, -, PTHR11139.orig.30.pi, -,0.0,1671.0,34.6,0.0,1670.7,34.6,GCA_000143455.1
EFJ52478.1, -, PTHR11139.orig.30.pi, -,0.0,1275.9,60.9,0.0,1275.6,60.9,GCA_000143455.1
EFJ50478.1, -, PTHR11139.orig.30.pi, -,7.8e-160,534.3,6.8,6e-110,367.4,0.0,GCA_000143455.1
EFJ51181.1, -, PTHR11139.orig.30.pi, -,9.8e-101,338.2,0.0,2.4e-97,327.0,0.0,GCA_000143455.1
EFJ49675.1, -, PTHR11139.orig.30.pi, -,2.1e-89,300.6,0.2,2.4e-89,300.5,0.2,GCA_000143455.1
EFJ51615.1, -, PTHR11139.orig.30.pi, -,2.9e-72,243.8,0.0,8.9e-32,109.5,0.6,GCA_000143455.1
EFJ45030.1, -, PTHR11139.orig.30.pi, -,3.5e-14,51.1,5.1,3.5e-14,51.1,5.1,GCA_000143455.1
EFJ51516.1, -, PTHR11139.orig.30.pi, -,2.9e-12,44.7,0.1,1.3e-11,42.5,0.1,GCA_000143455.1
EFJ42243.1, -, PTHR11139.orig.30.pi, -,5.7e-10,37.1,1.9,3.9e-06,24.4,0.0,GCA_000143455.1
EFJ46462.1, -, PTHR11139.orig.30.pi, -,5e-07,27.3,12.6,5.1e-05,20.7,2.8,GCA_000143455.1
EFJ45451.1, -, PTHR11139.orig.30.pi, -,8.2e-05,20.0,10.3,0.00011,19.6,10.3,GCA_000143455.1
EFJ44948.1, -, PTHR11139.orig.30.pi, -,0.00028,18.2,2.9,0.00038,17.8,2.9,GCA_000143455.1
EFJ50926.1, -, PTHR11139.orig.30.pi, -,0.00052,17.4,2.7,0.0017,15.6,2.8,GCA_000143455.1
EFJ40829.1, -, PTHR11139.orig.30.pi, -,0.00058,17.2,9.3,0.013,12.7,8.6,GCA_000143455.1
EFJ41344.1, -, PTHR11139.orig.30.pi, -,0.0059,13.8,0.0,0.0067,13.7,0.0,GCA_000143455.1
EFJ43190.1, -, PTHR11139.orig.30.pi, -,0.0069,13.6,0.7,0.0068,13.6,0.7,GCA_000143455.1
EFJ47872.1, -, PTHR11139.orig.30.pi, -,0.045,10.9,3.2,0.049,10.8,3.2,GCA_000143455.1
EFJ49536.1, -, PTHR11139.orig.30.pi, -,0.19,8.9,0.6,0.25,8.5,0.6,GCA_000143455.1
EFJ42677.1, -, PTHR11139.orig.30.pi, -,1.5,5.9,12.8,4.1,4.4,5.2,GCA_000143455.1
EFN54447.1, -, PTHR11139.orig.30.pi, -,3.8e-199,664.2,21.9,5e-144,479.7,32.3,GCA_000147415.1
EFN55063.1, -, PTHR11139.orig.30.pi, -,7.7e-120,401.1,0.5,7e-121,400.9,0.5,GCA_000147415.1
EFN51787.1, -, PTHR11139.orig.30.pi, -,3.9e-98,329.1,36.4,4.7e-59,199.4,1.3,GCA_000147415.1
EFN56410.1, -, PTHR11139.orig.30.pi, -,1.8e-83,280.4,0.1,2e-83,280.2,0.1,GCA_000147415.1
EFN58631.1, -, PTHR11139.orig.30.pi, -,1.4e-12,45.2,0.0,1.7e-11,41.6,0.0,GCA_000147415.1
EFN57684.1, -, PTHR11139.orig.30.pi, -,1.9e-12,44.8,0.2,2e-12,44.7,0.2,GCA_000147415.1
EFN57685.1, -, PTHR11139.orig.30.pi, -,1.5e-10,38.5,0.1,1.5e-10,38.5,0.1,GCA_000147415.1
EFN59346.1, -, PTHR11139.orig.30.pi, -,1.3e-08,32.1,1.1,1.3e-08,32.1,1.1,GCA_000147415.1
EFN56582.1, -, PTHR11139.orig.30.pi, -,4.8e-05,20.2,29.8,0.0009,16.0,0.4,GCA_000147415.1
EFN51859.1, -, PTHR11139.orig.30.pi, -,0.00098,15.9,7.6,0.019,11.6,2.0,GCA_000147415.1
EFN50423.1, -, PTHR11139.orig.30.pi, -,0.0016,15.2,0.2,0.0021,14.8,0.2,GCA_000147415.1
EFN59084.1, -, PTHR11139.orig.30.pi, -,0.26,7.8,9.8,0.45,7.0,9.8,GCA_000147415.1
EFN55347.1, -, PTHR11139.orig.30.pi, -,0.71,6.4,6.7,0.77,6.3,6.7,GCA_000147415.1
EFN56519.1, -, PTHR11139.orig.30.pi, -,9.6,2.6,9.2,10.0,2.6,9.2,GCA_000147415.1
EEH53026.1, -, PTHR11139.orig.30.pi, -,0.0,1612.6,21.7,0.0,1612.3,21.7,GCA_000151265.1
EEH57202.1, -, PTHR11139.orig.30.pi, -,0.0,1040.7,48.9,0.0,1037.7,48.9,GCA_000151265.1
EEH54586.1, -, PTHR11139.orig.30.pi, -,2e-206,688.4,6.2,2e-207,688.2,6.2,GCA_000151265.1
EEH60088.1, -, PTHR11139.orig.30.pi, -,3.8e-140,468.5,0.0,6e-141,468.2,0.0,GCA_000151265.1
EEH60402.1, -, PTHR11139.orig.30.pi, -,5.7e-104,348.5,0.0,8e-105,348.2,0.0,GCA_000151265.1
EEH60179.1, -, PTHR11139.orig.30.pi, -,1.3e-101,340.7,0.0,5e-102,340.4,0.0,GCA_000151265.1
EEH53269.1, -, PTHR11139.orig.30.pi, -,2.1e-18,64.6,5.9,1.4e-10,38.6,0.1,GCA_000151265.1
EEH58165.1, -, PTHR11139.orig.30.pi, -,8.2e-13,46.1,2.3,2.5e-07,27.8,0.6,GCA_000151265.1
EEH52608.1, -, PTHR11139.orig.30.pi, -,1.1e-06,25.8,0.1,1.5e-06,25.3,0.1,GCA_000151265.1
EEH60565.1, -, PTHR11139.orig.30.pi, -,0.002,14.9,1.6,0.0024,14.7,1.6,GCA_000151265.1
EEH54822.1, -, PTHR11139.orig.30.pi, -,0.0021,14.9,2.0,0.37,7.4,0.0,GCA_000151265.1
EEH52155.1, -, PTHR11139.orig.30.pi, -,0.0026,14.6,2.1,0.0033,14.2,2.1,GCA_000151265.1
EEH56675.1, -, PTHR11139.orig.30.pi, -,0.0059,13.4,0.2,0.0081,12.9,0.2,GCA_000151265.1
EEH59845.1, -, PTHR11139.orig.30.pi, -,0.071,9.8,10.5,1.8,5.2,10.0,GCA_000151265.1
EEH58925.1, -, PTHR11139.orig.30.pi, -,0.083,9.5,0.0,0.084,9.5,0.0,GCA_000151265.1
EEH60883.1, -, PTHR11139.orig.30.pi, -,8.9,2.8,12.9,10.0,2.6,12.9,GCA_000151265.1
CEF96840.1, -, PTHR11139.orig.30.pi, -,0.0,1444.3,26.0,0.0,1444.0,26.0,GCA_000214015.2
CEG01408.1, -, PTHR11139.orig.30.pi, -,1.4e-263,877.6,57.7,7e-264,877.3,57.7,GCA_000214015.2
