"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Brelac1","Stramenopiles",4779,"Bremia lactucae SF5","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"2","Persor1","Stramenopiles",230839,"Peronosclerospora sorghi P6",NA,"H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronosclerospora","JGI"
"3","Pereff1","Stramenopiles",542832,"Peronospora effusa UA202013","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","JGI"
"4","ScaPar1","Stramenopiles",2962637,"Parmales sp. scaly parma v1.0",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales",NA,NA,"JGI"
"5","Trilae1","Stramenopiles",1714386,"Triparma laevis f. inornata v1.0",NA,"H","H","H","L",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","JGI"
"6","Cylclo1","Stramenopiles",2856,"Cylindrotheca closterium",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Cylindrotheca","JGI"
"7","Nansal1776","Stramenopiles",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Microchloropsis","JGI"
"8","NanspC018","Stramenopiles",52230,"Nannochloropsis oceanica C018 v1.0",NA,"M","H","H","H",NA,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"9","Mosaich1","Stramenopiles",33852,"Bacillariophyceae sp. bin 90 v1.0",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae",NA,"JGI"
"10","Conwei1","Stramenopiles",1577725,"Conticribra weissflogii CCMP 1336",NA,NA,"H","H","H","H","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Conticribra","JGI"
