tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ETO17126.1, -, PTHR19842.orig.30.pi, -,7.4e-125,417.2,32.1,1e-38,134.1,2.9,GCA_000512085.1
ETO12074.1, -, PTHR19842.orig.30.pi, -,6.1e-115,384.6,41.0,2.4e-29,103.3,0.5,GCA_000512085.1
ETO10827.1, -, PTHR19842.orig.30.pi, -,2.6e-114,382.5,11.6,2e-26,93.8,0.1,GCA_000512085.1
ETO07071.1, -, PTHR19842.orig.30.pi, -,1.2e-111,373.8,31.5,5.6e-30,105.4,1.5,GCA_000512085.1
ETO22081.1, -, PTHR19842.orig.30.pi, -,9.7e-111,370.8,8.8,3.3e-33,116.1,4.3,GCA_000512085.1
ETO36890.1, -, PTHR19842.orig.30.pi, -,5.5e-110,368.4,35.6,3.5e-32,112.7,1.1,GCA_000512085.1
ETO09924.1, -, PTHR19842.orig.30.pi, -,7.8e-110,367.8,20.4,8e-37,127.9,3.8,GCA_000512085.1
ETO24763.1, -, PTHR19842.orig.30.pi, -,2e-108,363.3,28.7,6.4e-29,102.0,0.4,GCA_000512085.1
ETO29106.1, -, PTHR19842.orig.30.pi, -,1.6e-107,360.2,36.0,1e-32,114.4,4.1,GCA_000512085.1
ETO07442.1, -, PTHR19842.orig.30.pi, -,3.8e-107,359.0,28.5,4.8e-35,122.1,5.3,GCA_000512085.1
ETO15653.1, -, PTHR19842.orig.30.pi, -,3.5e-105,352.6,0.4,7.5e-30,105.0,0.0,GCA_000512085.1
ETO09075.1, -, PTHR19842.orig.30.pi, -,7.2e-104,348.2,43.7,9.8e-37,127.6,1.9,GCA_000512085.1
ETN99131.1, -, PTHR19842.orig.30.pi, -,4.8e-103,345.5,14.3,5.4e-21,75.9,0.0,GCA_000512085.1
ETO33794.1, -, PTHR19842.orig.30.pi, -,8.4e-101,338.2,12.4,3.7e-31,109.3,0.2,GCA_000512085.1
ETO21378.1, -, PTHR19842.orig.30.pi, -,1.9e-100,337.0,13.6,4.6e-28,99.1,0.2,GCA_000512085.1
ETO06038.1, -, PTHR19842.orig.30.pi, -,2.8e-98,329.9,23.3,5.5e-26,92.3,2.5,GCA_000512085.1
ETO36585.1, -, PTHR19842.orig.30.pi, -,3.2e-98,329.7,24.1,4.2e-28,99.3,0.1,GCA_000512085.1
ETO30585.1, -, PTHR19842.orig.30.pi, -,5.9e-98,328.8,29.4,1.6e-29,103.9,3.5,GCA_000512085.1
ETO33232.1, -, PTHR19842.orig.30.pi, -,1.8e-96,323.9,25.9,1e-30,107.9,1.8,GCA_000512085.1
ETO32083.1, -, PTHR19842.orig.30.pi, -,2.4e-96,323.5,23.5,1.1e-39,137.3,4.3,GCA_000512085.1
ETO14549.1, -, PTHR19842.orig.30.pi, -,4.4e-96,322.7,45.7,2.8e-24,86.7,2.9,GCA_000512085.1
ETO04528.1, -, PTHR19842.orig.30.pi, -,1e-95,321.4,25.0,1.2e-30,107.6,0.4,GCA_000512085.1
ETO05198.1, -, PTHR19842.orig.30.pi, -,1.4e-95,321.0,26.0,2.5e-26,93.4,9.3,GCA_000512085.1
ETO15589.1, -, PTHR19842.orig.30.pi, -,1.7e-95,320.7,29.2,5e-16,59.6,0.2,GCA_000512085.1
ETO24636.1, -, PTHR19842.orig.30.pi, -,3.6e-95,319.7,38.6,1.5e-33,117.2,4.4,GCA_000512085.1
ETO01393.1, -, PTHR19842.orig.30.pi, -,3.7e-95,319.6,14.0,1.9e-38,133.2,0.9,GCA_000512085.1
ETO36556.1, -, PTHR19842.orig.30.pi, -,4.5e-95,319.4,6.9,4.3e-32,112.4,0.1,GCA_000512085.1
