Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D	280699	16546747	Complete Genome
GCA_009829735.1	ASM982973v1	Neopyropia yezoensis	2788	107590730	Chromosome
GCA_000341285.1	ASM34128v1	Galdieria sulphuraria	130081	13712004	Scaffold
GCA_008690995.1	P_purpureum_CCMP1328_Hybrid_assembly	Porphyridium purpureum	35688	22192338	Contig
GCA_003194525.1	GraCho1.0	Gracilariopsis chorda	448386	92180038	Contig
GCA_002049455.2	P_umbilicalis_v1	Porphyra umbilicalis	2786	87698808	Scaffold
GCA_000350225.2	ASM35022v2	Chondrus crispus	2769	104800334	Scaffold
GCA_013995675.1	ASM1399567v1	Cyanidiococcus yangmingshanensis	2690220	12072675	Contig
GCA_025991245.1	GpartN1_1.0	Galdieria partita	83374	17779841	Contig
GCA_022539475.1	USP_GDom_1.0	Gracilaria domingensis	172961	77739776	Scaffold
GCA_029953675.1	rmar_v1	Rhodosorus marinus	101924	31189410	Contig
GCA_042855435.1	Myanmar_nori_1.0	Pyropia vietnamensis	683352	46733075	Contig
GCA_026184775.1	ASM2618477v1	Cyanidium caldarium	2771	8787356	Contig
GCA_026122205.1	ASM2612220v1	Galdieria yellowstonensis	3028027	14511588	Contig
GCA_024341865.1	Gasu_v2	Galdieria sulphuraria	130081	13914336	Contig
GCA_026122185.1	ASM2612218v1	Cyanidiococcus yangmingshanensis	2690220	12020148	Contig
