"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_933822405.4","CAJ1942992.1"," -"," PTHR11139.orig.30.pi"," -",0,1274.8,25.1,0,1274.5,25.1,FALSE,FALSE,2856,"Cylindrotheca closterium",97,1
"2","GCA_000310025.1","CBJ33367.1"," -"," PTHR11139.orig.30.pi"," -",2.7e-293,977.3,0,8e-279,926.7,0,FALSE,FALSE,2880,"Ectocarpus siliculosus",97,3
"3","GCA_004359215.2","TDH74109.1"," -"," PTHR11139.orig.30.pi"," -",0,1996.2,21.8,0,1995.3,21.8,FALSE,FALSE,4779,"Bremia lactucae",95,2
"4","GCA_004359215.2","TDH74109.1"," -"," PTHR11139.orig.30.pi"," -",0,1996.2,21.8,0,1995.3,21.8,FALSE,FALSE,4779,"Bremia lactucae",95,2
"5","GCA_900000015.1","CEG47092.1"," -"," PTHR11139.orig.30.pi"," -",0,1939.9,48.3,0,1939.3,48.3,FALSE,FALSE,4781,"Plasmopara halstedii",100,0
"6","GCA_016618375.1","KAG1705718.1"," -"," PTHR11139.orig.30.pi"," -",0,2078.2,15,0,2077,15,FALSE,FALSE,4784,"Phytophthora capsici",99,0
"7","GCA_018691715.1","KAG6609026.1"," -"," PTHR11139.orig.30.pi"," -",0,1994,28.7,0,1989,28.7,FALSE,FALSE,4785,"Phytophthora cinnamomi",100,0
"8","GCA_026225685.1","KAI9994499.1"," -"," PTHR11139.orig.30.pi"," -",0,2090.1,18.5,0,2088.5,18.5,FALSE,FALSE,4787,"Phytophthora infestans",97,1
"9","GCA_001483015.1","KUG00731.1"," -"," PTHR11139.orig.30.pi"," -",0,2086.4,19.3,0,2084.7,19.3,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"10","GCA_031305395.1","KAK1938868.1"," -"," PTHR11139.orig.30.pi"," -",0,2068.5,13.7,0,2067.3,13.7,FALSE,FALSE,4793,"Phytophthora citrophthora",91,1
"11","GCA_002215365.1","OWZ18321.1"," -"," PTHR11139.orig.30.pi"," -",0,1494.5,27.1,0,1494.3,27.1,FALSE,FALSE,4795,"Phytophthora megakarya",91,3
"12","GCA_002911725.1","POM80357.1"," -"," PTHR11139.orig.30.pi"," -",0,1105.4,15.7,8e-201,668.8,0.3,FALSE,FALSE,4796,"Phytophthora palmivora",81,12
"13","GCA_027925865.1","DAZ93803.1"," -"," PTHR11139.orig.30.pi"," -",0,1475,20.3,0,1474.7,20.3,FALSE,FALSE,4803,"Lagenidium giganteum",92,0
"14","GCA_000151665.1","CBK24359.2"," -"," PTHR11139.orig.30.pi"," -",0,1026.4,27.3,0,1026.1,27.3,FALSE,FALSE,12968,"Blastocystis hominis",87,13
"15","GCA_016864655.1","KAG2770483.1"," -"," PTHR11139.orig.30.pi"," -",0,2097,13.1,0,2095.1,13.1,FALSE,FALSE,29920,"Phytophthora cactorum",100,0
"16","GCA_016864715.1","KAG2900407.1"," -"," PTHR11139.orig.30.pi"," -",0,2097.1,13.1,0,2095.1,13.1,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"17","GCA_016865055.1","KAG3209893.1"," -"," PTHR11139.orig.30.pi"," -",0,2097,13.1,0,2095.1,13.1,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"18","GCA_016865075.1","KAG3133480.1"," -"," PTHR11139.orig.30.pi"," -",0,2097,13.1,0,2095.1,13.1,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"19","GCA_008330635.1","KAA0162218.1"," -"," PTHR11139.orig.30.pi"," -",2e-254,847.3,0,1e-185,614.9,0,FALSE,FALSE,33653,"Cafeteria roenbergensis",86,2
"20","GCA_918797485.1","CAH0369392.1"," -"," PTHR11139.orig.30.pi"," -",0,1156.5,50.4,0,1156.2,50.4,FALSE,FALSE,35677,"Pelagomonas calceolata",89,1
"21","GCA_005966545.1","TMW61633.1"," -"," PTHR11139.orig.30.pi"," -",0,1809.5,22.5,0,1807.9,22.5,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"22","GCA_005966545.1","TMW61633.1"," -"," PTHR11139.orig.30.pi"," -",0,1809.5,22.5,0,1807.9,22.5,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"23","GCA_000186865.1","EGB11613.1"," -"," PTHR11139.orig.30.pi"," -",0,1217.5,42.5,0,1217.1,42.5,TRUE,FALSE,44056,"Aureococcus anophagefferens",84,11
"24","GCA_009729455.1","KAE8909769.1"," -"," PTHR11139.orig.30.pi"," -",0,2111.1,16.1,0,2109.6,16.1,FALSE,FALSE,53985,"Phytophthora fragariae",94,0
