tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
TMW68659.1, -, PTHR13298.orig.30.pi, -,0.0,1019.0,0.9,0.0,1018.6,0.9,GCA_005966545.1_Pianissimo_FULL
TMW63599.1, -, PTHR13298.orig.30.pi, -,0.00014,19.1,2.1,0.014,12.4,0.1,GCA_005966545.1_Pianissimo_FULL
TMW55152.1, -, PTHR13298.orig.30.pi, -,0.00035,17.7,4.9,0.00035,17.7,4.9,GCA_005966545.1_Pianissimo_FULL
TMW66352.1, -, PTHR13298.orig.30.pi, -,0.0013,15.9,1.1,0.0013,15.9,1.1,GCA_005966545.1_Pianissimo_FULL
TMW59680.1, -, PTHR13298.orig.30.pi, -,0.0035,14.4,0.5,1.3,6.0,0.3,GCA_005966545.1_Pianissimo_FULL
TMW57554.1, -, PTHR13298.orig.30.pi, -,0.027,11.5,11.6,0.54,7.2,0.0,GCA_005966545.1_Pianissimo_FULL
TMW61221.1, -, PTHR13298.orig.30.pi, -,0.04,10.9,0.0,0.076,10.0,0.0,GCA_005966545.1_Pianissimo_FULL
TMW69309.1, -, PTHR13298.orig.30.pi, -,0.071,10.1,1.8,0.31,7.9,0.1,GCA_005966545.1_Pianissimo_FULL
TMW60681.1, -, PTHR13298.orig.30.pi, -,0.13,9.2,0.1,0.58,7.1,0.0,GCA_005966545.1_Pianissimo_FULL
TMW59690.1, -, PTHR13298.orig.30.pi, -,0.17,8.9,11.7,1.0,6.3,0.5,GCA_005966545.1_Pianissimo_FULL
