Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submitter	Assembly BioProject Accession	Annotation Count Gene Total
GCA_003013715.2	ASM301371v2	Candidozyma auris	498019		12249773	Complete Genome	Centers for Disease Control and Prevention	PRJNA328792	5494
GCA_003054445.1	ASM305444v1	Pichia kudriavzevii	4909		10812555	Complete Genome	University College Dublin	PRJNA434433	5367
GCA_030384665.1	ASM3038466v1	Lodderomyces elongisporus	36914		16086460	Complete Genome	University of Illinois Urbana-Champaign	PRJNA935742	5738
GCA_000026945.1	ASM2694v1	Candida dubliniensis CD36	573826		14618422	Complete Genome	Wellcome Trust Sanger Institute	PRJEA34697	6094
GCA_000090985.2	ASM9098v2	Micromonas commoda	296587		20989326	Complete Genome	Micromonas genome consortium	PRJNA15676	10125
GCA_029203305.1	ASM2920330v1	Yamadazyma tenuis	2315449		10831699	Complete Genome	University of Illinois Urbana-Champaign	PRJNA932435	5340
GCA_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802	226230		11913776	Complete Genome	UNIVERSITY COLLEGE DUBLIN	PRJEB57075	5888
GCA_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815	226126		12104871	Complete Genome	UNIVERSITY COLLEGE DUBLIN	PRJEB57075	5856
GCA_036426115.1	ASM3642611v1	Kwoniella botswanensis	1268659		23007246	Complete Genome	Broad Institute	PRJNA200568	8705
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans	796027		15938258	Complete Genome	University of Natural Resources and Life Sciences	PRJNA308900	5388
GCA_029542845.1	ASM2954284v1	Malassezia nana	180528		7702145	Complete Genome	Duke University	PRJNA832426	4031
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei	1514897		7331251	Complete Genome	Duke University	PRJNA752394	3858
GCA_029542785.1	ASM2954278v1	Malassezia japonica	223818		8433779	Complete Genome	Duke University	PRJNA832271	4373
GCA_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962		7595203	Complete Genome	Duke University	PRJNA833070	4022
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans	2070801		31798767	Complete Genome	University of Illinois Urbana-Champaign	PRJNA931726	7550
GCA_042764415.1	Remth1	Remersonia thermophila	72144		27414229	Complete Genome	DOE Joint Genome Institute	PRJNA1064947	7766
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100		24551665	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA191321	9214
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709		11416521	Complete Genome	National Institute of Biological Sciences, Beijing China	PRJNA870673	5574
GCA_001720195.2	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531		16179376	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA200572	6456
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121		23932770	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA191322	8719
GCA_035658355.1	ASM3565835v1	Kwoniella shivajii	564305		22171496	Complete Genome	Broad Institute	PRJNA667903	7976
GCA_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534		23026020	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA200570	8132
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737	1296096		20887338	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA191226	7877
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106		21305292	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA397435	7420
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286		8922523	Complete Genome	Duke University	PRJNA310026	5002
GCA_014133895.1	ASM1413389v1	Torulaspora globosa	48254		9281121	Complete Genome	University College Dublin	PRJNA625704	5130
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus	13502		10117252	Complete Genome	Australian Wine Research Institute	PRJNA554210	4823
GCA_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322		20237334	Complete Genome	Tokyo University of Agriculture	PRJDB15446	7795
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926		15114296	Complete Genome	Comenius University, Faculty of Mathematics, Physics and Informatics	PRJEB72723	6162
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis	1821822		8000312	Complete Genome	Duke University	PRJNA832768	3967
GCA_029542945.1	ASM2954294v1	Malassezia obtusa	76774		8169464	Complete Genome	Duke University	PRJNA831671	3400
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi	948313		7453460	Complete Genome	Duke University	PRJNA832318	3953
GCA_029542765.1	ASM2954276v1	Malassezia psittaci	1821823		8186253	Complete Genome	Duke University	PRJNA832769	4064
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis	253288		8264016	Complete Genome	Duke University	PRJNA831451	4103
GCA_029542885.1	ASM2954288v1	Malassezia caprae	1381934		7728824	Complete Genome	Duke University	PRJNA834018	3629
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C	559292		12071326	Complete Genome	Saccharomyces Genome Database	PRJNA43747	6431
GCA_000002985.3	WBcel235	Caenorhabditis elegans	6239		100272607	Complete Genome	C. elegans Sequencing Consortium	PRJNA13758	46890
GCA_030704535.1	ASM3070453v1	Vitis vinifera	29760		494873210	Complete Genome	Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	PRJNA882193	30799
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027		50358849	Complete Genome	Xi'an Jiaotong University	PRJNA624237	16502
