tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
AAZ11649.1, -, PTHR13335.orig.30.pi, -,0.011,13.7,25.5,0.015,13.2,25.5,GCA_000002445.1
CAJ07001.1, -, PTHR13335.orig.30.pi, -,4.5e-06,24.8,0.0,7.8e-05,20.7,0.0,GCA_000002725.2
CAJ03359.1, -, PTHR13335.orig.30.pi, -,0.0011,16.9,4.1,0.0015,16.4,4.1,GCA_000002725.2
CBZ11996.1, -, PTHR13335.orig.30.pi, -,1.7,6.4,6.8,2.0,6.2,6.8,GCA_000002725.2
CAJ04351.1, -, PTHR13335.orig.30.pi, -,5.1,4.8,16.1,7.2,4.3,16.1,GCA_000002725.2
CAM45621.2, -, PTHR13335.orig.30.pi, -,1.1e-05,23.5,10.3,1.1e-05,23.5,10.3,GCA_000002845.2
CAM41655.1, -, PTHR13335.orig.30.pi, -,1.8e-05,22.8,0.0,2.7e-05,22.2,0.0,GCA_000002845.2
CAM43405.1, -, PTHR13335.orig.30.pi, -,0.045,11.6,0.2,0.046,11.5,0.2,GCA_000002845.2
CAM43800.1, -, PTHR13335.orig.30.pi, -,0.67,7.7,15.0,0.88,7.3,15.0,GCA_000002845.2
CBZ08361.1, -, PTHR13335.orig.30.pi, -,4.3e-06,24.8,0.0,6.4e-05,21.0,0.0,GCA_000002875.2
CAM65868.1, -, PTHR13335.orig.30.pi, -,0.014,13.2,21.1,0.018,12.9,21.1,GCA_000002875.2
CAM68183.1, -, PTHR13335.orig.30.pi, -,1.6,6.4,15.4,2.7,5.7,15.4,GCA_000002875.2
CAM60007.1, -, PTHR13335.orig.30.pi, -,2.0,6.1,9.5,2.4,5.8,9.5,GCA_000002875.2
CAM72338.1, -, PTHR13335.orig.30.pi, -,2.5,5.8,14.8,3.2,5.4,14.8,GCA_000002875.2
EFC46133.1, -, PTHR13335.orig.30.pi, -,1.3e-21,77.1,12.6,2.7e-21,76.0,12.6,GCA_000004985.1
EFC49637.1, -, PTHR13335.orig.30.pi, -,0.051,12.3,11.2,0.054,12.2,11.2,GCA_000004985.1
EFC43724.1, -, PTHR13335.orig.30.pi, -,0.095,11.4,12.0,2.0,7.0,0.1,GCA_000004985.1
EFC46539.1, -, PTHR13335.orig.30.pi, -,0.47,9.1,51.9,0.76,8.4,51.9,GCA_000004985.1
EKG01032.1, -, PTHR13335.orig.30.pi, -,2.8e-12,45.7,19.3,2e-06,26.3,2.7,GCA_000188675.2
EKG00757.1, -, PTHR13335.orig.30.pi, -,0.013,13.8,6.5,0.018,13.2,6.5,GCA_000188675.2
EKG01925.1, -, PTHR13335.orig.30.pi, -,0.2,9.8,7.0,0.24,9.6,7.0,GCA_000188675.2
EAN88126.1, -, PTHR13335.orig.30.pi, -,5.1e-07,29.2,26.9,0.00014,21.1,1.6,GCA_000209065.1
EAN97582.1, -, PTHR13335.orig.30.pi, -,0.00034,19.8,3.0,0.00034,19.8,3.0,GCA_000209065.1
EAN92727.1, -, PTHR13335.orig.30.pi, -,0.00044,19.4,0.2,0.00044,19.4,0.2,GCA_000209065.1
EAN92101.1, -, PTHR13335.orig.30.pi, -,0.0013,17.9,2.3,0.0018,17.4,2.3,GCA_000209065.1
EAN97734.1, -, PTHR13335.orig.30.pi, -,0.016,14.3,11.7,0.018,14.1,11.7,GCA_000209065.1
EAN93556.1, -, PTHR13335.orig.30.pi, -,0.024,13.7,11.3,0.027,13.6,11.3,GCA_000209065.1
EAN82721.1, -, PTHR13335.orig.30.pi, -,0.12,11.5,7.1,0.16,11.0,7.1,GCA_000209065.1
EAN89301.1, -, PTHR13335.orig.30.pi, -,0.42,9.6,7.1,0.57,9.2,7.1,GCA_000209065.1
EAN83985.1, -, PTHR13335.orig.30.pi, -,0.47,9.5,20.3,0.6,9.1,20.3,GCA_000209065.1
EAN91726.1, -, PTHR13335.orig.30.pi, -,0.5,9.4,7.7,0.086,11.9,4.1,GCA_000209065.1
EAN88529.1, -, PTHR13335.orig.30.pi, -,1.3,8.0,25.3,1.5,7.8,25.3,GCA_000209065.1
EAN81458.1, -, PTHR13335.orig.30.pi, -,1.6,7.7,17.3,1.9,7.4,17.3,GCA_000209065.1
EAN95379.1, -, PTHR13335.orig.30.pi, -,2.5,7.1,9.5,3.9,6.4,9.5,GCA_000209065.1
EAN92248.1, -, PTHR13335.orig.30.pi, -,3.6,6.5,21.3,4.6,6.2,21.3,GCA_000209065.1
EAN92245.1, -, PTHR13335.orig.30.pi, -,6.7,5.6,24.3,8.3,5.3,24.3,GCA_000209065.1
EAN97289.1, -, PTHR13335.orig.30.pi, -,8.0,5.4,23.1,10.0,5.0,23.1,GCA_000209065.1
CBH18065.1, -, PTHR13335.orig.30.pi, -,0.0011,17.1,14.4,0.0015,16.7,14.4,GCA_000210295.1
CBH15180.1, -, PTHR13335.orig.30.pi, -,0.0017,16.5,7.7,0.0016,16.6,7.7,GCA_000210295.1
CBZ31739.1, -, PTHR13335.orig.30.pi, -,5e-06,24.6,0.0,7.4e-05,20.7,0.0,GCA_000227135.2
CBZ32013.1, -, PTHR13335.orig.30.pi, -,0.011,13.5,20.8,0.014,13.2,20.8,GCA_000227135.2
CBZ34276.1, -, PTHR13335.orig.30.pi, -,0.44,8.3,10.7,0.55,7.9,10.7,GCA_000227135.2
CBZ37281.1, -, PTHR13335.orig.30.pi, -,0.44,8.3,13.9,0.52,8.0,13.9,GCA_000227135.2
CBZ31273.1, -, PTHR13335.orig.30.pi, -,0.54,8.0,8.0,0.62,7.8,8.0,GCA_000227135.2
CBZ38332.1, -, PTHR13335.orig.30.pi, -,2.4,5.8,14.8,3.2,5.4,14.8,GCA_000227135.2
CBZ24755.1, -, PTHR13335.orig.30.pi, -,6.3e-06,24.3,17.0,6.5e-06,24.2,17.0,GCA_000234665.4
CBZ23655.1, -, PTHR13335.orig.30.pi, -,1.2e-05,23.3,0.0,2.3e-05,22.4,0.0,GCA_000234665.4
CBZ25142.1, -, PTHR13335.orig.30.pi, -,0.00067,17.6,4.6,0.00091,17.1,4.6,GCA_000234665.4
CBZ28799.1, -, PTHR13335.orig.30.pi, -,0.0086,13.9,4.2,0.018,12.9,4.2,GCA_000234665.4
CBZ30039.1, -, PTHR13335.orig.30.pi, -,0.0089,13.9,0.3,0.013,13.3,0.3,GCA_000234665.4
CBZ24776.1, -, PTHR13335.orig.30.pi, -,0.2,9.4,35.1,0.023,12.5,19.0,GCA_000234665.4
