tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EAN79042.1, -, PTHR12848.orig.30.pi, -,1.5e-214,714.6,0.0,8e-215,711.9,0.0,GCA_000002445.1
CAJ16323.1, -, PTHR12848.orig.30.pi, -,6.3e-204,679.4,0.0,5e-205,679.1,0.0,GCA_000002445.1
EAN76964.1, -, PTHR12848.orig.30.pi, -,4.7e-17,60.3,0.1,1.2e-16,58.9,0.1,GCA_000002445.1
AAZ10636.1, -, PTHR12848.orig.30.pi, -,1.3e-16,58.8,0.9,1.3e-07,29.0,0.0,GCA_000002445.1
EAN79731.1, -, PTHR12848.orig.30.pi, -,3.7e-14,50.7,6.5,7.7e-06,23.2,0.1,GCA_000002445.1
EAN79656.1, -, PTHR12848.orig.30.pi, -,5.8e-14,50.1,2.2,8.1e-14,49.6,2.2,GCA_000002445.1
AAZ13186.1, -, PTHR12848.orig.30.pi, -,6.3e-14,50.0,4.9,5e-06,23.8,0.1,GCA_000002445.1
EAN78410.1, -, PTHR12848.orig.30.pi, -,9.4e-14,49.4,0.0,3.2e-13,47.6,0.0,GCA_000002445.1
AAZ11904.1, -, PTHR12848.orig.30.pi, -,3.3e-13,47.6,1.2,1.6e-12,45.3,0.6,GCA_000002445.1
AAZ10499.1, -, PTHR12848.orig.30.pi, -,2.1e-12,44.9,0.3,0.0013,15.7,0.1,GCA_000002445.1
EAN77069.1, -, PTHR12848.orig.30.pi, -,2.5e-12,44.6,2.8,5.6e-10,36.9,1.4,GCA_000002445.1
AAZ11521.1, -, PTHR12848.orig.30.pi, -,3.7e-12,44.1,0.0,4e-06,24.1,0.0,GCA_000002445.1
EAN76463.1, -, PTHR12848.orig.30.pi, -,6.6e-12,43.3,0.0,1.5e-06,25.5,0.0,GCA_000002445.1
AAZ10228.1, -, PTHR12848.orig.30.pi, -,6.8e-12,43.2,0.0,4.2e-11,40.6,0.0,GCA_000002445.1
EAN80374.1, -, PTHR12848.orig.30.pi, -,1.3e-11,42.2,0.1,6.6e-11,40.0,0.0,GCA_000002445.1
EAN80000.1, -, PTHR12848.orig.30.pi, -,1.6e-11,42.0,0.1,8.9e-08,29.6,0.1,GCA_000002445.1
AAZ11745.1, -, PTHR12848.orig.30.pi, -,2.4e-11,41.4,0.2,2.9e-11,41.1,0.2,GCA_000002445.1
AAZ13441.1, -, PTHR12848.orig.30.pi, -,3.4e-11,40.9,0.1,4.5e-11,40.5,0.1,GCA_000002445.1
AAQ16062.1, -, PTHR12848.orig.30.pi, -,1.1e-10,39.2,0.0,7.7e-10,36.4,0.0,GCA_000002445.1
EAN78767.1, -, PTHR12848.orig.30.pi, -,1.1e-10,39.2,7.3,2.1e-10,38.3,7.3,GCA_000002445.1
EAN78791.1, -, PTHR12848.orig.30.pi, -,1.3e-10,39.0,0.0,0.00067,16.7,0.0,GCA_000002445.1
EAN78700.1, -, PTHR12848.orig.30.pi, -,1.3e-10,38.9,0.1,1.5e-09,35.5,0.0,GCA_000002445.1
EAN79277.1, -, PTHR12848.orig.30.pi, -,2.7e-10,37.9,2.7,3.3e-10,37.6,2.7,GCA_000002445.1
AAZ13363.1, -, PTHR12848.orig.30.pi, -,2.7e-10,37.9,6.1,3.4e-05,21.0,0.2,GCA_000002445.1
AAZ10394.1, -, PTHR12848.orig.30.pi, -,3.6e-10,37.5,0.4,1.1e-05,22.7,0.0,GCA_000002445.1
AAZ12120.1, -, PTHR12848.orig.30.pi, -,5.7e-10,36.9,3.9,2e-09,35.1,3.8,GCA_000002445.1
EAN79026.1, -, PTHR12848.orig.30.pi, -,6e-10,36.8,2.7,1.5e-06,25.6,0.2,GCA_000002445.1
EAN80089.1, -, PTHR12848.orig.30.pi, -,6.1e-10,36.7,0.3,1.3e-09,35.6,0.1,GCA_000002445.1
EAN80090.1, -, PTHR12848.orig.30.pi, -,6.1e-10,36.7,0.3,1.3e-09,35.6,0.1,GCA_000002445.1
AAZ12368.1, -, PTHR12848.orig.30.pi, -,7.6e-10,36.4,0.0,9.5e-10,36.1,0.0,GCA_000002445.1
EAN78968.1, -, PTHR12848.orig.30.pi, -,2e-09,35.1,0.0,9.7e-07,26.1,0.0,GCA_000002445.1
EAN80068.1, -, PTHR12848.orig.30.pi, -,2.1e-09,35.0,0.1,2.1e-09,34.9,0.1,GCA_000002445.1
EAN77711.1, -, PTHR12848.orig.30.pi, -,2.3e-09,34.8,0.0,2.3e-09,34.8,0.0,GCA_000002445.1
AAZ13414.1, -, PTHR12848.orig.30.pi, -,2.7e-09,34.6,3.7,5.1e-08,30.4,3.4,GCA_000002445.1
