tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
80|esubft_485_5, -, PTHR13335.orig.30.pi, -,3.8e-09,36.1,0.0,4.6e-09,35.8,0.0,Alaesc1_SIN1
33|esi_0181_11_iso3, -, PTHR13335.orig.30.pi, -,7.8e-09,35.0,26.2,7.8e-09,35.0,26.2,Alaesc1_SIN1
5|esi_0100_4, -, PTHR13335.orig.30.pi, -,8.9e-08,31.5,20.5,1.6e-07,30.7,20.5,Alaesc1_SIN1
43|esubft_1431_5, -, PTHR13335.orig.30.pi, -,1.4e-07,30.9,37.8,5.4e-07,28.9,23.5,Alaesc1_SIN1
8|esubft_824_2, -, PTHR13335.orig.30.pi, -,1.9e-07,30.4,14.0,4.4e-06,25.9,10.0,Alaesc1_SIN1
1|esi_0142_2_iso1, -, PTHR13335.orig.30.pi, -,2.3e-07,30.2,13.9,2.3e-07,30.2,13.9,Alaesc1_SIN1
59|esubft_843, -, PTHR13335.orig.30.pi, -,7.9e-07,28.4,15.7,0.0047,15.9,0.2,Alaesc1_SIN1
86|esi_0065_18, -, PTHR13335.orig.30.pi, -,1.1e-06,28.0,14.3,1.1e-06,28.0,14.3,Alaesc1_SIN1
6|esi_0072_5, -, PTHR13335.orig.30.pi, -,1.4e-06,27.6,24.0,2e-05,23.8,14.0,Alaesc1_SIN1
72|esi_0314_5_iso1, -, PTHR13335.orig.30.pi, -,2.2e-06,26.9,20.1,2.2e-06,26.9,20.1,Alaesc1_SIN1
13|esubft_262, -, PTHR13335.orig.30.pi, -,2.6e-06,26.7,9.6,3e-06,26.5,9.6,Alaesc1_SIN1
58|esi_0236, -, PTHR13335.orig.30.pi, -,3e-06,26.5,10.8,3e-06,26.5,10.8,Alaesc1_SIN1
88|esubft_355_8_iso, -, PTHR13335.orig.30.pi, -,3.4e-06,26.3,3.5,4.4e-06,25.9,3.5,Alaesc1_SIN1
14|esi_0321, -, PTHR13335.orig.30.pi, -,3.6e-06,26.2,2.9,4.9e-06,25.8,2.9,Alaesc1_SIN1
21|esi_0219_14, -, PTHR13335.orig.30.pi, -,8e-06,25.1,12.5,1.2e-05,24.5,12.5,Alaesc1_SIN1
39|esubft_1548_5, -, PTHR13335.orig.30.pi, -,1e-05,24.8,14.0,1e-05,24.8,14.0,Alaesc1_SIN1
4|esi_0007_28, -, PTHR13335.orig.30.pi, -,1.5e-05,24.2,25.2,0.0002,20.5,9.0,Alaesc1_SIN1
17|esubft_621, -, PTHR13335.orig.30.pi, -,2.5e-05,23.4,11.7,0.00023,20.3,0.3,Alaesc1_SIN1
0|pf14_5, -, PTHR13335.orig.30.pi, -,3.3e-05,23.0,12.2,4e-05,22.8,12.2,Alaesc1_SIN1
1|esubft_84_4, -, PTHR13335.orig.30.pi, -,0.00011,21.3,14.0,0.00011,21.3,14.0,Alaesc1_SIN1
0|esubft_824_8, -, PTHR13335.orig.30.pi, -,0.00019,20.6,16.8,0.00028,20.0,16.8,Alaesc1_SIN1
5|pf14_8, -, PTHR13335.orig.30.pi, -,0.00024,20.2,13.0,0.00026,20.1,13.0,Alaesc1_SIN1
57|esubft_912_3, -, PTHR13335.orig.30.pi, -,0.00033,19.7,16.6,0.00044,19.3,16.6,Alaesc1_SIN1
7|mapk_7, -, PTHR13335.orig.30.pi, -,0.00037,19.6,23.4,0.00037,19.6,23.4,Alaesc1_SIN1
03|jg7799.t1, -, PTHR13335.orig.30.pi, -,0.00044,19.3,9.5,0.00052,19.1,9.5,Alaesc1_SIN1
39|esi_0392, -, PTHR13335.orig.30.pi, -,0.00047,19.2,1.8,0.00064,18.8,1.8,Alaesc1_SIN1
|esubft_620_5, -, PTHR13335.orig.30.pi, -,0.00052,19.1,5.4,0.00052,19.1,5.4,Alaesc1_SIN1
53|esi_0098_13, -, PTHR13335.orig.30.pi, -,0.001,18.1,0.3,0.0012,17.9,0.3,Alaesc1_SIN1
17|esi_0359_3, -, PTHR13335.orig.30.pi, -,0.0012,17.9,1.9,0.0012,17.9,1.9,Alaesc1_SIN1
36|rap_iso1, -, PTHR13335.orig.30.pi, -,0.0014,17.7,0.7,0.0014,17.7,0.7,Alaesc1_SIN1
72|pk_5, -, PTHR13335.orig.30.pi, -,0.0022,17.0,16.0,0.0032,16.5,16.0,Alaesc1_SIN1
85|esubft_154_6, -, PTHR13335.orig.30.pi, -,0.0024,16.9,7.7,0.0024,16.9,7.7,Alaesc1_SIN1
1|esubft_562_4, -, PTHR13335.orig.30.pi, -,0.0024,16.9,0.0,0.0026,16.8,0.0,Alaesc1_SIN1
19|esubft_507, -, PTHR13335.orig.30.pi, -,0.0027,16.7,7.0,0.0049,15.9,7.0,Alaesc1_SIN1
68|esi_0123_4, -, PTHR13335.orig.30.pi, -,0.0038,16.2,4.0,0.0097,14.9,4.5,Alaesc1_SIN1
05|sam, -, PTHR13335.orig.30.pi, -,0.004,16.2,1.2,0.0054,15.7,1.2,Alaesc1_SIN1
7|jg25693.t1, -, PTHR13335.orig.30.pi, -,0.0041,16.1,3.1,0.0041,16.1,3.1,Alaesc1_SIN1
20|esubft_1445, -, PTHR13335.orig.30.pi, -,0.0044,16.0,4.1,0.0082,15.1,4.1,Alaesc1_SIN1
5|mpc, -, PTHR13335.orig.30.pi, -,0.0048,15.9,5.5,0.0058,15.6,5.5,Alaesc1_SIN1
8|esi_0003_16, -, PTHR13335.orig.30.pi, -,0.0058,15.6,1.0,0.0064,15.5,1.0,Alaesc1_SIN1
08|esi_0283_5, -, PTHR13335.orig.30.pi, -,0.006,15.6,10.7,0.0072,15.3,10.7,Alaesc1_SIN1
53|esubft_207_6, -, PTHR13335.orig.30.pi, -,0.0064,15.5,19.1,0.0084,15.1,19.1,Alaesc1_SIN1
3|esi_0263_2, -, PTHR13335.orig.30.pi, -,0.0091,15.0,19.8,0.071,12.0,5.5,Alaesc1_SIN1
59|esubft_82_3, -, PTHR13335.orig.30.pi, -,0.0098,14.9,0.2,0.01,14.8,0.2,Alaesc1_SIN1
|esi_0067_20, -, PTHR13335.orig.30.pi, -,0.016,14.2,2.4,0.025,13.5,2.4,Alaesc1_SIN1
58|esubft_1433, -, PTHR13335.orig.30.pi, -,0.018,14.0,11.2,0.024,13.6,11.2,Alaesc1_SIN1
6|esi_0209, -, PTHR13335.orig.30.pi, -,0.02,13.8,22.0,0.03,13.3,22.0,Alaesc1_SIN1
|esubft_45, -, PTHR13335.orig.30.pi, -,0.028,13.4,7.4,0.037,13.0,7.4,Alaesc1_SIN1
3|esi_0176_5, -, PTHR13335.orig.30.pi, -,0.029,13.3,4.8,0.038,12.9,4.8,Alaesc1_SIN1
30|esi_0022_6, -, PTHR13335.orig.30.pi, -,0.031,13.2,60.9,30.0,3.4,24.7,Alaesc1_SIN1
56|esubft_400_4, -, PTHR13335.orig.30.pi, -,0.038,12.9,21.3,0.048,12.6,21.3,Alaesc1_SIN1
6|esi_0503_3, -, PTHR13335.orig.30.pi, -,0.042,12.8,25.0,0.01,14.8,11.4,Alaesc1_SIN1
1|esubft_938_3, -, PTHR13335.orig.30.pi, -,0.044,12.7,4.4,0.11,11.4,4.4,Alaesc1_SIN1
2|esubft_1662, -, PTHR13335.orig.30.pi, -,0.058,12.3,12.4,0.081,11.8,12.4,Alaesc1_SIN1
85|esi_0114_3, -, PTHR13335.orig.30.pi, -,0.059,12.3,5.1,0.076,11.9,5.1,Alaesc1_SIN1
91|ube3a, -, PTHR13335.orig.30.pi, -,0.062,12.2,16.1,0.092,11.7,16.1,Alaesc1_SIN1
95|esi_0016_21, -, PTHR13335.orig.30.pi, -,0.072,12.0,3.0,0.096,11.6,3.0,Alaesc1_SIN1
93|esubft_589_2, -, PTHR13335.orig.30.pi, -,0.075,12.0,24.0,0.11,11.5,24.0,Alaesc1_SIN1
4|esubft_160_13, -, PTHR13335.orig.30.pi, -,0.09,11.7,28.3,0.051,12.5,15.7,Alaesc1_SIN1
95|esi_0137_4_iso1, -, PTHR13335.orig.30.pi, -,0.098,11.6,3.4,0.12,11.3,3.4,Alaesc1_SIN1
48|esi_0122_4, -, PTHR13335.orig.30.pi, -,0.1,11.5,2.9,0.18,10.7,2.9,Alaesc1_SIN1
0|esi_0111_8, -, PTHR13335.orig.30.pi, -,0.14,11.0,19.3,0.2,10.5,19.3,Alaesc1_SIN1
23|esi_0011_14, -, PTHR13335.orig.30.pi, -,0.15,11.0,3.0,0.18,10.7,3.0,Alaesc1_SIN1
66|esubft_153, -, PTHR13335.orig.30.pi, -,0.16,10.9,8.6,0.23,10.4,8.6,Alaesc1_SIN1
5|esubft_108_6, -, PTHR13335.orig.30.pi, -,0.16,10.8,32.5,0.34,9.8,32.5,Alaesc1_SIN1
56|myb_6_iso2, -, PTHR13335.orig.30.pi, -,0.17,10.8,24.8,0.32,9.9,24.8,Alaesc1_SIN1
22|esubft_597_3, -, PTHR13335.orig.30.pi, -,0.19,10.6,6.7,0.24,10.3,6.7,Alaesc1_SIN1
54|esubft_1084, -, PTHR13335.orig.30.pi, -,0.19,10.6,6.5,0.45,9.4,2.3,Alaesc1_SIN1
