tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAE8304915.1, -, PTHR11139.orig.30.pi, -,6.8e-280,931.1,24.1,5e-281,930.7,24.1,GCA_000002435.2
KAE8304262.1, -, PTHR11139.orig.30.pi, -,4.6e-29,98.9,0.0,4.6e-29,98.9,0.0,GCA_000002435.2
KAE8302425.1, -, PTHR11139.orig.30.pi, -,6.3e-14,48.7,0.1,3.3e-07,26.4,0.0,GCA_000002435.2
KAE8305164.1, -, PTHR11139.orig.30.pi, -,1.6e-11,40.7,0.1,1.6e-11,40.7,0.1,GCA_000002435.2
KAE8301323.1, -, PTHR11139.orig.30.pi, -,0.046,9.4,1.0,0.048,9.3,1.0,GCA_000002435.2
EAY17625.1, -, PTHR11139.orig.30.pi, -,7.2e-214,715.6,18.9,6e-215,715.4,18.9,GCA_000002825.3
EAY10428.1, -, PTHR11139.orig.30.pi, -,3.5e-208,696.7,12.6,2e-209,696.2,12.6,GCA_000002825.3
EAX92448.1, -, PTHR11139.orig.30.pi, -,2.7e-205,687.2,8.3,8e-206,685.8,8.5,GCA_000002825.3
EAY01129.1, -, PTHR11139.orig.30.pi, -,3.2e-204,683.6,16.7,2e-205,683.2,16.7,GCA_000002825.3
EAY20546.1, -, PTHR11139.orig.30.pi, -,3.7e-201,673.5,38.3,7e-201,669.1,38.3,GCA_000002825.3
EAY17524.1, -, PTHR11139.orig.30.pi, -,2.4e-196,657.5,18.9,3e-196,652.8,19.0,GCA_000002825.3
EAY06579.1, -, PTHR11139.orig.30.pi, -,2.7e-190,637.4,10.1,7e-191,637.4,10.1,GCA_000002825.3
EAY04793.1, -, PTHR11139.orig.30.pi, -,1.3e-188,631.8,16.9,6e-189,631.6,16.9,GCA_000002825.3
EAX94604.1, -, PTHR11139.orig.30.pi, -,1.6e-188,631.5,21.6,3e-189,631.0,20.7,GCA_000002825.3
EAY13093.1, -, PTHR11139.orig.30.pi, -,4.6e-188,630.0,35.9,1e-188,627.8,35.9,GCA_000002825.3
EAY22804.1, -, PTHR11139.orig.30.pi, -,1.2e-187,628.6,25.7,3e-187,627.3,25.7,GCA_000002825.3
EAY16382.1, -, PTHR11139.orig.30.pi, -,1.9e-187,627.9,18.0,4e-188,627.6,18.0,GCA_000002825.3
EAY04287.1, -, PTHR11139.orig.30.pi, -,1.3e-185,621.9,27.3,1e-186,621.2,27.3,GCA_000002825.3
EAX98404.1, -, PTHR11139.orig.30.pi, -,1.5e-183,615.1,22.7,3e-184,614.4,22.7,GCA_000002825.3
EAX89640.1, -, PTHR11139.orig.30.pi, -,3.1e-183,614.0,24.1,8e-184,613.7,24.1,GCA_000002825.3
EAY20688.1, -, PTHR11139.orig.30.pi, -,2.6e-182,610.9,21.4,2e-181,605.4,21.4,GCA_000002825.3
EAY04033.1, -, PTHR11139.orig.30.pi, -,3.5e-180,603.8,2.8,5e-181,603.8,2.8,GCA_000002825.3
EAY00154.1, -, PTHR11139.orig.30.pi, -,5.9e-180,603.1,14.6,6e-179,595.8,16.0,GCA_000002825.3
EAY01919.1, -, PTHR11139.orig.30.pi, -,3.2e-178,597.3,31.1,6e-179,596.8,31.1,GCA_000002825.3
EAX97874.1, -, PTHR11139.orig.30.pi, -,1.1e-175,588.9,9.6,4e-176,588.6,9.6,GCA_000002825.3
EAX90926.1, -, PTHR11139.orig.30.pi, -,1.5e-175,588.5,30.8,2e-176,587.9,30.8,GCA_000002825.3
EAX94700.1, -, PTHR11139.orig.30.pi, -,2.2e-174,584.6,23.3,8e-175,582.5,22.5,GCA_000002825.3
EAY05942.1, -, PTHR11139.orig.30.pi, -,6.1e-174,583.1,31.4,8e-174,582.8,31.4,GCA_000002825.3
EAY11762.1, -, PTHR11139.orig.30.pi, -,6.5e-173,579.7,15.4,2e-174,579.2,15.4,GCA_000002825.3
EAY06542.1, -, PTHR11139.orig.30.pi, -,1e-169,569.1,21.6,5e-170,568.6,21.6,GCA_000002825.3
EAY06480.1, -, PTHR11139.orig.30.pi, -,1.5e-169,568.6,12.2,6e-169,564.0,12.1,GCA_000002825.3
EAY17433.1, -, PTHR11139.orig.30.pi, -,1.2e-168,565.6,18.2,5e-169,565.3,18.2,GCA_000002825.3
EAY15105.1, -, PTHR11139.orig.30.pi, -,1e-167,562.5,23.7,8e-167,557.3,23.7,GCA_000002825.3
EAX99479.1, -, PTHR11139.orig.30.pi, -,2.7e-162,544.5,17.3,3e-162,542.3,17.5,GCA_000002825.3
EAX88702.1, -, PTHR11139.orig.30.pi, -,1.2e-159,535.7,44.7,6e-160,535.3,41.9,GCA_000002825.3
EAY15642.1, -, PTHR11139.orig.30.pi, -,9.3e-157,526.1,20.3,5e-156,521.4,20.2,GCA_000002825.3
EAX92251.1, -, PTHR11139.orig.30.pi, -,1.3e-150,505.7,17.9,6e-151,503.9,17.9,GCA_000002825.3
