"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_000310025.1","CBN77350.1"," -"," PTHR13298.orig.30.pi"," -",1.2e-155,519.5,0,1.8e-89,300.4,0,FALSE,FALSE,2880,"Ectocarpus siliculosus",97,3
"2","GCA_004359215.2","TDH70536.1"," -"," PTHR13298.orig.30.pi"," -",0,1077,3.3,0,1076.6,3.3,FALSE,FALSE,4779,"Bremia lactucae",95,2
"3","GCA_004359215.2","TDH70536.1"," -"," PTHR13298.orig.30.pi"," -",0,1077,3.3,0,1076.6,3.3,FALSE,FALSE,4779,"Bremia lactucae",95,2
"4","GCA_900000015.1","CEG38557.1"," -"," PTHR13298.orig.30.pi"," -",0,1082.5,0.7,0,1082.2,0.7,FALSE,FALSE,4781,"Plasmopara halstedii",100,0
"5","GCA_016618375.1","KAG1700301.1"," -"," PTHR13298.orig.30.pi"," -",0,1113.6,0,0,1113.3,0,FALSE,FALSE,4784,"Phytophthora capsici",99,0
"6","GCA_018691715.1","KAG6610313.1"," -"," PTHR13298.orig.30.pi"," -",0,1123,0,0,1122.7,0,FALSE,FALSE,4785,"Phytophthora cinnamomi",100,0
"7","GCA_012295175.1","KAF4040553.1"," -"," PTHR13298.orig.30.pi"," -",0,1114.3,0,0,1114,0,FALSE,FALSE,4787,"Phytophthora infestans",98,1
"8","GCA_012552325.1","KAF4135799.1"," -"," PTHR13298.orig.30.pi"," -",0,1114.3,0,0,1114,0,FALSE,FALSE,4787,"Phytophthora infestans",96,0
"9","GCA_000509505.1","ETL90123.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.5,0,0,1116.2,0,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"10","GCA_031305395.1","KAK1947908.1"," -"," PTHR13298.orig.30.pi"," -",0,1118,0,0,1117.6,0,FALSE,FALSE,4793,"Phytophthora citrophthora",91,1
"11","GCA_002911725.1","POM80870.1"," -"," PTHR13298.orig.30.pi"," -",0,1115.8,0,0,1115.5,0,FALSE,FALSE,4796,"Phytophthora palmivora",81,12
"12","GCA_027925865.1","DBA03145.1"," -"," PTHR13298.orig.30.pi"," -",0,1014.4,0.1,0,1014,0.1,FALSE,FALSE,4803,"Lagenidium giganteum",92,0
"13","GCA_000151665.1","CBK24979.2"," -"," PTHR13298.orig.30.pi"," -",1.4e-102,342.3,12.3,1e-103,341.7,12.3,FALSE,FALSE,12968,"Blastocystis hominis",87,13
"14","GCA_003287315.1","RAW43666.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",100,0
"15","GCA_016864635.1","KAG2849095.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"16","GCA_016864655.1","KAG2766796.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",100,0
"17","GCA_016864665.1","KAG2848958.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"18","GCA_016864695.1","KAG2868955.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"19","GCA_016864715.1","KAG2955758.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"20","GCA_016864735.1","KAG2944928.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"21","GCA_016864755.1","KAG2934652.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"22","GCA_016864775.1","KAG3104545.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"23","GCA_016864795.1","KAG3036162.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"24","GCA_016864815.1","KAG3000512.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"25","GCA_016864835.1","KAG3042041.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"26","GCA_016864855.1","KAG3106197.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"27","GCA_016865055.1","KAG3229454.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"28","GCA_016865075.1","KAG3192689.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"29","GCA_016865085.1","KAG3205821.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",100,0
"30","GCA_016906365.1","KAG4064273.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"31","GCA_016906365.1","KAG4064273.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"32","GCA_017309695.1","KAG4251398.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"33","GCA_018873755.1","KAG6975066.1"," -"," PTHR13298.orig.30.pi"," -",0,1112.9,0,0,1112.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",98,0
"34","GCA_005966545.1","TMW68659.1"," -"," PTHR13298.orig.30.pi"," -",0,1019,0.9,0,1018.6,0.9,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"35","GCA_005966545.1","TMW68659.1"," -"," PTHR13298.orig.30.pi"," -",0,1019,0.9,0,1018.6,0.9,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"36","GCA_009729455.1","KAE8892867.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.6,0,0,1116.2,0,FALSE,FALSE,53985,"Phytophthora fragariae",94,0
"37","GCA_009732925.1","KAE9013292.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.6,0,0,1116.2,0,FALSE,FALSE,53985,"Phytophthora fragariae",100,0
"38","GCA_009732985.1","KAE9214753.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.6,0,0,1116.2,0,FALSE,FALSE,53985,"Phytophthora fragariae",100,0
"39","GCA_009733005.1","KAE9116439.1"," -"," PTHR13298.orig.30.pi"," -",0,1116.6,0,0,1116.2,0,FALSE,FALSE,53985,"Phytophthora fragariae",100,0
