"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_000350225.2","CDF35341.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-277,924.5,17,6e-278,924.2,17,"NCBI","Rhodophyta",2769,"Chondrus crispus"
"2","GCA_026184775.1","KAK4537067.1"," -"," PTHR11139.orig.30.pi"," -",0,1147.2,52.2,0,1146.8,52.2,"NCBI","Rhodophyta",2771,"Cyanidium caldarium"
"3","GCA_002049455.2","OSX78512.1"," -"," PTHR11139.orig.30.pi"," -",0,1089.1,10.2,0,1088.7,10.2,"NCBI","Rhodophyta",2786,"Porphyra umbilicalis"
"4","GCA_009829735.1","KAK1868479.1"," -"," PTHR11139.orig.30.pi"," -",0,1207,13.7,0,1206.6,13.7,"NCBI","Rhodophyta",2788,"Neopyropia yezoensis"
"5","GCA_008690995.1","KAA8491164.1"," -"," PTHR11139.orig.30.pi"," -",0,1165,23.1,0,1164.3,23.1,"NCBI","Rhodophyta",35688,"Porphyridium purpureum"
"6","GCA_025991245.1","GJQ08825.1"," -"," PTHR11139.orig.30.pi"," -",0,1243.6,46.9,0,1243.3,46.9,"NCBI","Rhodophyta",83374,"Galdieria partita"
"7","GCA_029953675.1","KAJ8906325.1"," -"," PTHR11139.orig.30.pi"," -",0,1275.8,23.5,0,1275.5,23.5,"NCBI","Rhodophyta",101924,"Rhodosorus marinus"
"8","GCA_000341285.1","EME32349.1"," -"," PTHR11139.orig.30.pi"," -",0,1258.3,47.2,0,1257.9,47.2,"NCBI","Rhodophyta",130081,"Galdieria sulphuraria"
"9","GCA_022539475.1","KAI0567624.1"," -"," PTHR11139.orig.30.pi"," -",0,1014.3,16.7,0,1013.9,16.7,"NCBI","Rhodophyta",172961,"Gracilaria domingensis"
"10","GCA_000091205.1","BAM82307.1"," -"," PTHR11139.orig.30.pi"," -",0,1087.7,69.5,0,1087.4,69.5,"NCBI","Rhodophyta",280699,"Cyanidioschyzon merolae strain 10D"
"11","GCA_003194525.1","PXF45649.1"," -"," PTHR11139.orig.30.pi"," -",1.8e-285,950.7,0.7,8e-286,950.7,0.7,"NCBI","Rhodophyta",448386,"Gracilariopsis chorda"
"12","GCA_042855435.1","GAB0496628.1"," -"," PTHR11139.orig.30.pi"," -",0,1208.5,15.1,0,1208.2,15.1,"NCBI","Rhodophyta",683352,"Pyropia vietnamensis"
"13","GCA_026122185.1","KAK4529593.1"," -"," PTHR11139.orig.30.pi"," -",0,1080.4,71.5,0,1079.5,71.5,"NCBI","Rhodophyta",2690220,"Cyanidiococcus yangmingshanensis"
"14","GCA_026122205.1","KAK4524260.1"," -"," PTHR11139.orig.30.pi"," -",0,1276.8,44.6,0,1276.5,44.6,"NCBI","Rhodophyta",3028027,"Galdieria yellowstonensis"
