tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EEY57262.1, -, PTHR13335.orig.30.pi, -,5.3e-69,233.8,0.4,6.4e-69,233.6,0.4,GCA_000142945.1
EEY56907.1, -, PTHR13335.orig.30.pi, -,0.014,14.4,15.7,0.026,13.5,15.7,GCA_000142945.1
EEY64132.1, -, PTHR13335.orig.30.pi, -,0.019,13.9,5.6,0.84,8.5,0.0,GCA_000142945.1
EED91698.1, -, PTHR13335.orig.30.pi, -,0.078,11.3,37.4,0.13,10.6,37.4,GCA_000149405.2
EED89021.1, -, PTHR13335.orig.30.pi, -,0.37,9.0,30.6,0.011,14.0,19.4,GCA_000149405.2
EED87739.1, -, PTHR13335.orig.30.pi, -,0.43,8.8,23.9,0.53,8.5,23.9,GCA_000149405.2
EGZ24229.1, -, PTHR13335.orig.30.pi, -,1.9e-63,216.1,0.0,2.2e-63,215.9,0.0,GCA_000149755.2
EGZ24225.1, -, PTHR13335.orig.30.pi, -,3.4e-40,139.2,1.0,1e-39,137.7,1.0,GCA_000149755.2
EGZ21003.1, -, PTHR13335.orig.30.pi, -,4.5e-08,33.1,0.1,4.5e-08,33.1,0.1,GCA_000149755.2
EGZ21967.1, -, PTHR13335.orig.30.pi, -,0.00052,19.6,32.4,0.00075,19.1,32.4,GCA_000149755.2
EGZ07040.1, -, PTHR13335.orig.30.pi, -,0.0022,17.6,2.9,0.0022,17.6,2.9,GCA_000149755.2
EGZ23914.1, -, PTHR13335.orig.30.pi, -,0.014,14.9,24.7,0.014,14.9,24.7,GCA_000149755.2
EGZ18901.1, -, PTHR13335.orig.30.pi, -,0.11,12.0,25.2,0.13,11.8,25.2,GCA_000149755.2
EGZ09692.1, -, PTHR13335.orig.30.pi, -,0.33,10.4,10.3,0.39,10.1,10.3,GCA_000149755.2
EGZ20239.1, -, PTHR13335.orig.30.pi, -,3.3,7.1,31.9,4.4,6.7,31.9,GCA_000149755.2
EGZ29712.1, -, PTHR13335.orig.30.pi, -,5.5,6.3,14.9,5.7,6.3,13.9,GCA_000149755.2
EGZ23231.1, -, PTHR13335.orig.30.pi, -,10.0,5.5,19.3,13.0,5.2,19.3,GCA_000149755.2
EEC50363.1, -, PTHR13335.orig.30.pi, -,0.0069,14.6,5.6,0.0086,14.3,5.6,GCA_000150955.2
EEC49875.1, -, PTHR13335.orig.30.pi, -,0.03,12.5,0.5,0.033,12.3,0.5,GCA_000150955.2
EEC51986.1, -, PTHR13335.orig.30.pi, -,0.037,12.2,30.4,0.013,13.7,24.3,GCA_000150955.2
KDO29708.1, -, PTHR13335.orig.30.pi, -,9e-48,163.9,0.0,1.4e-47,163.2,0.0,GCA_000151545.2
KDO27592.1, -, PTHR13335.orig.30.pi, -,0.00019,20.7,18.4,0.00019,20.7,18.4,GCA_000151545.2
KDO21638.1, -, PTHR13335.orig.30.pi, -,0.0002,20.6,0.4,0.089,11.9,0.0,GCA_000151545.2
KDO17563.1, -, PTHR13335.orig.30.pi, -,0.0034,16.5,27.9,0.0041,16.3,27.9,GCA_000151545.2
KDO26165.1, -, PTHR13335.orig.30.pi, -,0.0057,15.8,32.2,0.0068,15.6,32.2,GCA_000151545.2
KDO17942.1, -, PTHR13335.orig.30.pi, -,0.017,14.3,0.0,0.018,14.1,0.0,GCA_000151545.2
KDO18648.1, -, PTHR13335.orig.30.pi, -,0.017,14.2,22.9,0.022,13.9,22.9,GCA_000151545.2
KDO29388.1, -, PTHR13335.orig.30.pi, -,0.16,11.0,8.5,0.18,10.9,8.5,GCA_000151545.2
KDO24156.1, -, PTHR13335.orig.30.pi, -,0.28,10.2,31.1,0.32,10.0,31.1,GCA_000151545.2
KDO29247.1, -, PTHR13335.orig.30.pi, -,0.89,8.6,7.1,1.1,8.2,7.1,GCA_000151545.2
CBK23392.2, -, PTHR13335.orig.30.pi, -,6.7e-06,23.8,4.0,6.7e-06,23.8,4.0,GCA_000151665.1
CBK23412.2, -, PTHR13335.orig.30.pi, -,0.00071,17.1,2.2,0.00079,16.9,2.2,GCA_000151665.1
CBK19802.2, -, PTHR13335.orig.30.pi, -,0.00087,16.8,8.4,0.00098,16.6,8.4,GCA_000151665.1
CBK25055.2, -, PTHR13335.orig.30.pi, -,0.0089,13.4,24.3,0.011,13.1,24.3,GCA_000151665.1
CBK21363.2, -, PTHR13335.orig.30.pi, -,2.3,5.5,29.7,3.3,4.9,29.3,GCA_000151665.1
EKU21636.1, -, PTHR13335.orig.30.pi, -,2.8e-06,24.3,14.4,2.8e-06,24.3,14.4,GCA_000240725.1
EKU21576.1, -, PTHR13335.orig.30.pi, -,0.00021,18.1,1.9,0.00023,17.9,1.9,GCA_000240725.1
EKU22057.1, -, PTHR13335.orig.30.pi, -,2.9,4.4,15.9,10.0,2.6,16.2,GCA_000240725.1
ETN22299.1, -, PTHR13335.orig.30.pi, -,4.6e-69,234.7,0.6,5.7e-69,234.4,0.6,GCA_000247585.2
ETN03479.1, -, PTHR13335.orig.30.pi, -,1.3e-06,28.3,16.8,1.8e-06,27.8,16.8,GCA_000247585.2
ETM97566.1, -, PTHR13335.orig.30.pi, -,2e-05,24.4,9.6,2.9e-05,23.9,9.6,GCA_000247585.2
ETN13988.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,26.8,0.03,13.9,26.8,GCA_000247585.2
ETN22849.1, -, PTHR13335.orig.30.pi, -,0.026,14.1,30.1,0.031,13.9,30.1,GCA_000247585.2
ETN03837.1, -, PTHR13335.orig.30.pi, -,0.041,13.4,21.9,0.06,12.9,21.9,GCA_000247585.2
ETN10685.1, -, PTHR13335.orig.30.pi, -,0.26,10.8,0.0,0.26,10.8,0.0,GCA_000247585.2
ETN02760.1, -, PTHR13335.orig.30.pi, -,0.63,9.5,29.8,0.99,8.9,29.8,GCA_000247585.2
ETN14756.1, -, PTHR13335.orig.30.pi, -,0.75,9.3,20.0,0.98,8.9,20.0,GCA_000247585.2
ETN20795.1, -, PTHR13335.orig.30.pi, -,1.8,8.0,5.6,2.7,7.4,5.6,GCA_000247585.2
ETN19845.1, -, PTHR13335.orig.30.pi, -,3.6,7.0,7.4,3.1,7.2,0.0,GCA_000247585.2
ETN19713.1, -, PTHR13335.orig.30.pi, -,8.2,5.9,43.0,11.0,5.4,43.0,GCA_000247585.2
EQC38912.1, -, PTHR13335.orig.30.pi, -,3.1e-47,162.0,0.0,4.3e-47,161.5,0.0,GCA_000281045.1
EQC36240.1, -, PTHR13335.orig.30.pi, -,0.00064,18.8,22.1,0.00073,18.6,22.1,GCA_000281045.1
EQC26470.1, -, PTHR13335.orig.30.pi, -,0.0019,17.3,14.9,0.002,17.2,14.9,GCA_000281045.1
EQC27295.1, -, PTHR13335.orig.30.pi, -,0.0037,16.3,0.5,0.14,11.1,0.1,GCA_000281045.1
EQC27478.1, -, PTHR13335.orig.30.pi, -,0.021,13.8,39.3,0.11,11.4,25.5,GCA_000281045.1
EQC37602.1, -, PTHR13335.orig.30.pi, -,0.032,13.2,14.5,0.041,12.8,14.5,GCA_000281045.1
EQC37285.1, -, PTHR13335.orig.30.pi, -,0.036,13.0,11.3,0.041,12.8,11.3,GCA_000281045.1
EQC37601.1, -, PTHR13335.orig.30.pi, -,0.11,11.4,20.8,0.17,10.8,20.8,GCA_000281045.1
EQC36385.1, -, PTHR13335.orig.30.pi, -,0.41,9.5,24.6,0.69,8.8,24.6,GCA_000281045.1
EQC28931.1, -, PTHR13335.orig.30.pi, -,1.7,7.5,32.6,1.9,7.3,32.6,GCA_000281045.1
EJK54363.1, -, PTHR13335.orig.30.pi, -,0.0014,18.6,0.0,0.0014,18.6,0.0,GCA_000296195.2
EJK54512.1, -, PTHR13335.orig.30.pi, -,0.95,9.2,7.2,1.7,8.4,7.2,GCA_000296195.2
EJK55554.1, -, PTHR13335.orig.30.pi, -,1.3,8.8,14.1,0.058,13.3,2.6,GCA_000296195.2
CBJ49052.1, -, PTHR13335.orig.30.pi, -,4.2e-05,22.6,0.2,7.3e-05,21.8,0.1,GCA_000310025.1
CBJ28377.1, -, PTHR13335.orig.30.pi, -,4.6e-05,22.4,20.6,6.5e-05,21.9,20.6,GCA_000310025.1
CBJ29400.1, -, PTHR13335.orig.30.pi, -,0.0011,17.9,24.9,0.0015,17.4,24.9,GCA_000310025.1
CBN74776.1, -, PTHR13335.orig.30.pi, -,0.0067,15.3,13.2,0.25,10.1,0.6,GCA_000310025.1
CBJ33099.1, -, PTHR13335.orig.30.pi, -,0.0071,15.2,2.4,0.0075,15.1,2.4,GCA_000310025.1
CBJ49030.1, -, PTHR13335.orig.30.pi, -,0.013,14.3,8.9,0.012,14.4,8.9,GCA_000310025.1
CBN78208.1, -, PTHR13335.orig.30.pi, -,0.015,14.1,1.9,0.017,13.9,1.9,GCA_000310025.1
CBJ48573.1, -, PTHR13335.orig.30.pi, -,0.031,13.1,7.6,0.045,12.6,7.6,GCA_000310025.1
CBJ26458.1, -, PTHR13335.orig.30.pi, -,0.062,12.1,17.2,0.064,12.0,17.2,GCA_000310025.1
CBN76895.1, -, PTHR13335.orig.30.pi, -,0.064,12.0,10.4,0.091,11.5,7.9,GCA_000310025.1
CBN74511.1, -, PTHR13335.orig.30.pi, -,0.14,10.9,6.0,0.28,9.9,6.1,GCA_000310025.1
CBN77203.1, -, PTHR13335.orig.30.pi, -,0.27,9.9,3.1,0.42,9.3,3.1,GCA_000310025.1
CBJ48904.1, -, PTHR13335.orig.30.pi, -,0.76,8.5,15.6,0.93,8.2,15.6,GCA_000310025.1
CBN77232.1, -, PTHR13335.orig.30.pi, -,0.76,8.5,22.5,1.5,7.5,22.5,GCA_000310025.1
CBN74821.1, -, PTHR13335.orig.30.pi, -,0.78,8.4,18.8,1.7,7.4,18.8,GCA_000310025.1
CBN79776.1, -, PTHR13335.orig.30.pi, -,1.6,7.4,32.8,0.15,10.8,7.4,GCA_000310025.1
KAF4323422.1, -, PTHR13335.orig.30.pi, -,1.7e-66,225.0,0.0,2.1e-66,224.6,0.0,GCA_000333075.3
KAF4315583.1, -, PTHR13335.orig.30.pi, -,0.018,13.4,2.1,0.77,8.0,1.5,GCA_000333075.3
KAF4316692.1, -, PTHR13335.orig.30.pi, -,5.9,5.1,15.9,8.4,4.6,15.9,GCA_000333075.3
ETI50279.1, -, PTHR13335.orig.30.pi, -,3.9e-69,235.0,0.5,4.8e-69,234.7,0.5,GCA_000365505.1
ETI36509.1, -, PTHR13335.orig.30.pi, -,0.00086,19.0,3.7,0.001,18.8,3.7,GCA_000365505.1
ETI56529.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,4.2,0.02,14.5,4.2,GCA_000365505.1
ETI53179.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,26.8,0.031,13.9,26.8,GCA_000365505.1
ETI49752.1, -, PTHR13335.orig.30.pi, -,0.026,14.1,30.1,0.031,13.9,30.1,GCA_000365505.1
ETI38334.1, -, PTHR13335.orig.30.pi, -,0.085,12.4,29.1,0.1,12.2,29.1,GCA_000365505.1
ETI38010.1, -, PTHR13335.orig.30.pi, -,0.97,8.9,19.8,1.0,8.8,19.8,GCA_000365505.1
ETI39374.1, -, PTHR13335.orig.30.pi, -,1.5,8.3,20.9,1.7,8.2,20.9,GCA_000365505.1
ETI55104.1, -, PTHR13335.orig.30.pi, -,2.4,7.6,23.3,2.7,7.5,23.3,GCA_000365505.1
ETI41919.1, -, PTHR13335.orig.30.pi, -,3.6,7.0,7.4,3.1,7.2,0.0,GCA_000365505.1
ETI46155.1, -, PTHR13335.orig.30.pi, -,8.9,5.7,28.4,11.0,5.4,28.4,GCA_000365505.1
ETO79061.1, -, PTHR13335.orig.30.pi, -,3.8e-69,235.0,0.5,4.8e-69,234.7,0.5,GCA_000365525.1
ETO79060.1, -, PTHR13335.orig.30.pi, -,2.1e-64,219.3,0.1,2.7e-64,218.9,0.1,GCA_000365525.1
ETO66771.1, -, PTHR13335.orig.30.pi, -,1.9e-06,27.8,15.0,2.6e-06,27.3,15.0,GCA_000365525.1
ETO71611.1, -, PTHR13335.orig.30.pi, -,0.00028,20.6,7.6,0.00035,20.3,7.6,GCA_000365525.1
ETO81859.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,26.8,0.031,13.9,26.8,GCA_000365525.1
ETO78465.1, -, PTHR13335.orig.30.pi, -,0.026,14.1,30.1,0.031,13.9,30.1,GCA_000365525.1
ETO67103.1, -, PTHR13335.orig.30.pi, -,0.085,12.4,29.1,0.1,12.2,29.1,GCA_000365525.1
ETO70542.1, -, PTHR13335.orig.30.pi, -,0.21,11.1,3.7,2.7,7.4,0.0,GCA_000365525.1
ETO83846.1, -, PTHR13335.orig.30.pi, -,0.41,10.2,17.7,0.51,9.8,17.7,GCA_000365525.1
ETO69576.1, -, PTHR13335.orig.30.pi, -,1.9,7.9,6.0,2.8,7.4,6.0,GCA_000365525.1
ETP20044.1, -, PTHR13335.orig.30.pi, -,3.8e-69,235.0,0.5,4.8e-69,234.7,0.5,GCA_000365545.1
ETP07899.1, -, PTHR13335.orig.30.pi, -,0.00034,20.3,7.7,0.00048,19.8,7.7,GCA_000365545.1
ETP12728.1, -, PTHR13335.orig.30.pi, -,0.00054,19.7,7.7,0.0007,19.3,7.7,GCA_000365545.1
ETP07892.1, -, PTHR13335.orig.30.pi, -,0.00078,19.1,6.6,0.0011,18.7,6.6,GCA_000365545.1
ETP26327.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,4.2,0.02,14.5,4.2,GCA_000365545.1
ETP22993.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,26.8,0.031,13.9,26.8,GCA_000365545.1
ETP19523.1, -, PTHR13335.orig.30.pi, -,0.026,14.1,30.1,0.031,13.9,30.1,GCA_000365545.1
ETP08215.1, -, PTHR13335.orig.30.pi, -,0.15,11.6,30.1,0.18,11.4,30.1,GCA_000365545.1
ETP24918.1, -, PTHR13335.orig.30.pi, -,0.22,11.1,17.0,0.27,10.8,17.0,GCA_000365545.1
ETP11669.1, -, PTHR13335.orig.30.pi, -,3.6,7.0,7.4,3.1,7.2,0.0,GCA_000365545.1
ETP48004.1, -, PTHR13335.orig.30.pi, -,3.8e-69,235.0,0.5,4.7e-69,234.7,0.5,GCA_000367145.1
ETP35924.1, -, PTHR13335.orig.30.pi, -,3.4e-07,30.3,17.7,4.9e-07,29.7,17.7,GCA_000367145.1
ETP40830.1, -, PTHR13335.orig.30.pi, -,0.00033,20.4,7.9,0.00046,19.9,7.9,GCA_000367145.1
ETP34452.1, -, PTHR13335.orig.30.pi, -,0.00085,19.0,3.7,0.00099,18.8,3.7,GCA_000367145.1
ETP54355.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,4.2,0.02,14.5,4.2,GCA_000367145.1
ETP50980.1, -, PTHR13335.orig.30.pi, -,0.019,14.6,26.8,0.03,13.9,26.8,GCA_000367145.1
ETP47464.1, -, PTHR13335.orig.30.pi, -,0.026,14.1,30.1,0.031,13.9,30.1,GCA_000367145.1
ETP31244.1, -, PTHR13335.orig.30.pi, -,0.032,13.8,5.1,0.041,13.5,5.1,GCA_000367145.1
ETP36267.1, -, PTHR13335.orig.30.pi, -,0.085,12.4,29.1,0.099,12.2,29.1,GCA_000367145.1
ETP39781.1, -, PTHR13335.orig.30.pi, -,0.16,11.5,3.3,2.8,7.4,0.0,GCA_000367145.1
ETP37318.1, -, PTHR13335.orig.30.pi, -,0.25,10.8,15.7,0.36,10.3,15.7,GCA_000367145.1
ETP37325.1, -, PTHR13335.orig.30.pi, -,0.3,10.6,16.0,0.43,10.1,16.0,GCA_000367145.1
ETP46495.1, -, PTHR13335.orig.30.pi, -,0.33,10.5,0.0,0.33,10.4,0.0,GCA_000367145.1
ETP52908.1, -, PTHR13335.orig.30.pi, -,1.3,8.4,20.1,1.6,8.2,20.1,GCA_000367145.1
ETK90153.1, -, PTHR13335.orig.30.pi, -,3.7e-69,235.0,0.5,4.5e-69,234.7,0.5,GCA_000509465.1
ETK93037.1, -, PTHR13335.orig.30.pi, -,0.018,14.6,26.8,0.029,13.9,26.8,GCA_000509465.1
