tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
, -, PTHR12848.orig.30.pi, -,0.0,1238.5,0.0,0.0,1238.2,0.0,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.2e-19,69.8,0.0,3e-12,45.4,0.0,Acuobl2326_1_RAPTOR
TY_DN132_c4_g2_i1, -, PTHR12848.orig.30.pi, -,2.5e-18,65.5,0.0,1e-12,46.9,0.1,Acuobl2326_1_RAPTOR
_transcript/6886, -, PTHR12848.orig.30.pi, -,9.8e-18,63.5,0.1,1.1e-17,63.3,0.1,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.8e-17,62.7,1.6,3e-09,35.4,0.1,Acuobl2326_1_RAPTOR
8, -, PTHR12848.orig.30.pi, -,8.8e-17,60.4,0.0,3.1e-16,58.6,0.0,Acuobl2326_1_RAPTOR
O_transcript/14288, -, PTHR12848.orig.30.pi, -,8e-16,57.2,2.0,1.3e-07,30.0,0.0,Acuobl2326_1_RAPTOR
O_transcript/8890, -, PTHR12848.orig.30.pi, -,8.7e-16,57.1,0.5,1.2e-08,33.4,0.1,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.2e-15,56.6,1.5,2.7e-08,32.2,0.4,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.5e-15,56.3,0.0,1.5e-15,56.3,0.0,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,2e-15,55.9,0.4,1.8e-08,32.9,0.1,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1e-14,53.6,0.0,5e-09,34.7,0.0,Acuobl2326_1_RAPTOR
transcript/849, -, PTHR12848.orig.30.pi, -,1.1e-14,53.4,0.3,6.4e-08,31.0,0.0,Acuobl2326_1_RAPTOR
0308, -, PTHR12848.orig.30.pi, -,3.1e-14,51.9,0.0,4.5e-14,51.4,0.0,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,8.6e-14,50.5,0.0,1.1e-13,50.2,0.0,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,9.5e-14,50.3,11.1,7.8e-10,37.3,6.3,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,9.9e-14,50.3,0.2,1.4e-13,49.8,0.2,Acuobl2326_1_RAPTOR
, -, PTHR12848.orig.30.pi, -,1.5e-13,49.7,0.1,1.9e-13,49.3,0.1,Acuobl2326_1_RAPTOR
