tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAM79608.1, -, PTHR13335.orig.30.pi, -,5.1e-05,20.5,5.6,7.5e-05,20.0,5.6,GCA_000091205.1
BAM81374.1, -, PTHR13335.orig.30.pi, -,0.0029,14.7,16.3,0.0032,14.6,16.3,GCA_000091205.1
BAM82814.1, -, PTHR13335.orig.30.pi, -,0.27,8.2,8.4,0.38,7.7,8.4,GCA_000091205.1
BAM80531.1, -, PTHR13335.orig.30.pi, -,1.6,5.7,15.6,2.3,5.1,15.6,GCA_000091205.1
EME30549.1, -, PTHR13335.orig.30.pi, -,0.0079,13.9,0.0,0.008,13.8,0.0,GCA_000341285.1
EME30548.1, -, PTHR13335.orig.30.pi, -,0.01,13.5,0.0,0.01,13.5,0.0,GCA_000341285.1
CDF35470.1, -, PTHR13335.orig.30.pi, -,6.6e-07,27.8,9.6,6.6e-07,27.8,9.6,GCA_000350225.2
CDF39355.1, -, PTHR13335.orig.30.pi, -,0.0038,15.4,5.2,0.0041,15.3,5.2,GCA_000350225.2
OSX75755.1, -, PTHR13335.orig.30.pi, -,1.6e-05,23.7,3.7,1.6e-05,23.7,3.7,GCA_002049455.2
OSX71633.1, -, PTHR13335.orig.30.pi, -,5.3e-05,22.0,21.9,5.3e-05,22.0,21.9,GCA_002049455.2
OSX73830.1, -, PTHR13335.orig.30.pi, -,0.0017,16.9,22.8,0.0017,16.9,22.8,GCA_002049455.2
OSX74147.1, -, PTHR13335.orig.30.pi, -,0.0084,14.7,9.0,0.01,14.4,9.0,GCA_002049455.2
OSX70507.1, -, PTHR13335.orig.30.pi, -,0.02,13.5,13.5,0.024,13.2,13.5,GCA_002049455.2
OSX78475.1, -, PTHR13335.orig.30.pi, -,0.061,11.8,4.5,0.077,11.5,4.5,GCA_002049455.2
OSX73461.1, -, PTHR13335.orig.30.pi, -,0.079,11.5,5.4,0.098,11.2,5.4,GCA_002049455.2
OSX78481.1, -, PTHR13335.orig.30.pi, -,0.093,11.2,4.9,0.12,10.8,4.9,GCA_002049455.2
OSX69331.1, -, PTHR13335.orig.30.pi, -,0.28,9.6,24.1,0.38,9.2,24.1,GCA_002049455.2
OSX74628.1, -, PTHR13335.orig.30.pi, -,0.95,7.9,11.3,1.3,7.4,11.3,GCA_002049455.2
OSX69728.1, -, PTHR13335.orig.30.pi, -,1.3,7.5,19.3,1.7,7.0,19.3,GCA_002049455.2
OSX75374.1, -, PTHR13335.orig.30.pi, -,4.3,5.7,15.1,3.1,6.2,13.5,GCA_002049455.2
