tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EET01427.1, -, PTHR33149.orig.30.pi, -,0.1,9.4,1.6,0.12,9.2,1.6,GCA_000182405.1_D1_FULL
ESU41051.1, -, PTHR33149.orig.30.pi, -,0.094,10.0,1.1,0.1,9.9,1.1,GCA_000498735.1_D1_FULL
KWX11834.1, -, PTHR33149.orig.30.pi, -,0.066,10.2,1.1,0.074,10.1,1.1,GCA_001543975.1_D1_FULL
KAA6355452.1, -, PTHR33149.orig.30.pi, -,0.15,12.5,0.0,0.15,12.5,0.0,GCA_008636045.1_D1_FULL
KAA6401928.1, -, PTHR33149.orig.30.pi, -,0.5,10.8,0.5,0.61,10.5,0.5,GCA_008636045.1_D1_FULL
KAK8875750.1, -, PTHR33149.orig.30.pi, -,3.2,7.8,14.3,4.9,7.2,14.3,GCA_039105265.1_D1_FULL
KAK8895820.1, -, PTHR33149.orig.30.pi, -,5.8,7.0,6.0,8.0,6.5,6.0,GCA_039105265.1_D1_FULL
KAL0230233.1, -, PTHR33149.orig.30.pi, -,0.017,12.2,7.2,0.028,11.5,7.2,GCA_040285745.1_D1_FULL
CAL6116468.1, -, PTHR33149.orig.30.pi, -,0.21,12.5,2.9,0.34,11.9,0.1,GCA_963988835.2_D1_FULL
CAL6023445.1, -, PTHR33149.orig.30.pi, -,0.63,11.0,0.8,0.66,10.9,0.8,GCA_963988835.2_D1_FULL
CAL6035558.1, -, PTHR33149.orig.30.pi, -,0.68,10.9,1.0,0.68,10.9,1.0,GCA_963988835.2_D1_FULL
CAL6035564.1, -, PTHR33149.orig.30.pi, -,0.68,10.9,1.0,0.68,10.9,1.0,GCA_963988835.2_D1_FULL
