tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EAA19976.1,-,PTHR33149.orig.30.pi,-,6.1,4.4,7.9,6.1,4.4,7.9
EEQ99801.1,-,PTHR33149.orig.30.pi,-,0.12,11.6,0.2,0.14,11.4,0.2
EDO05608.1,-,PTHR33149.orig.30.pi,-,6.3,3.4,8.0,0.26,8.0,1.5
CAK65972.1,-,PTHR33149.orig.30.pi,-,2.5,8.0,6.7,2.7,7.9,5.9
CAK82238.1,-,PTHR33149.orig.30.pi,-,2.7,7.9,5.1,2.5,8.0,2.8
GAB67418.1,-,PTHR33149.orig.30.pi,-,0.026,11.8,0.0,0.036,11.3,0.0
CDW76438.1,-,PTHR33149.orig.30.pi,-,0.036,13.2,0.1,0.037,13.1,0.1
CEM25255.1,-,PTHR33149.orig.30.pi,-,0.32,10.2,1.4,0.56,9.4,0.5
KYN98123.1,-,PTHR33149.orig.30.pi,-,0.036,11.2,0.3,0.041,11.0,0.3
OLQ09623.1,-,PTHR33149.orig.30.pi,-,0.28,11.3,0.4,0.48,10.5,0.4
OMJ84591.1,-,PTHR33149.orig.30.pi,-,8.8,5.9,7.8,16.0,5.1,7.8
CRG96701.1,-,PTHR33149.orig.30.pi,-,0.0043,14.2,1.0,0.0071,13.5,0.1
SBT57001.1,-,PTHR33149.orig.30.pi,-,0.036,11.9,2.3,1.2,6.8,0.2
SBT54485.1,-,PTHR33149.orig.30.pi,-,0.11,10.2,2.2,0.14,9.9,2.2
SBT41746.1,-,PTHR33149.orig.30.pi,-,5.3,4.7,7.0,0.62,7.8,2.2
SBT42145.1,-,PTHR33149.orig.30.pi,-,5.5,4.7,7.0,0.63,7.8,2.2
CAD2084618.1,-,PTHR33149.orig.30.pi,-,0.021,12.0,1.2,0.049,10.7,1.2
CAD7951164.1,-,PTHR33149.orig.30.pi,-,2.8,7.3,6.2,3.3,7.0,6.2
CAD7940836.1,-,PTHR33149.orig.30.pi,-,0.17,11.3,0.9,0.51,9.8,0.9
CAD8107858.1,-,PTHR33149.orig.30.pi,-,0.018,15.0,0.0,0.034,14.1,0.0
CAD8050527.1,-,PTHR33149.orig.30.pi,-,0.076,13.0,7.8,0.82,9.6,7.8
CAD8203605.1,-,PTHR33149.orig.30.pi,-,0.15,12.1,0.1,0.17,11.9,0.1
CAD8160057.1,-,PTHR33149.orig.30.pi,-,0.6,10.2,0.7,0.56,10.3,0.7
