Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000189635.1	JCVI-TTA1-2.2	Tetrahymena thermophila SB210	312017	103014375	Scaffold
GCA_000165425.1	ASM16542v1	Paramecium tetraurelia	5888	72094543	Scaffold
GCA_000711775.1	Oxytricha_MIC_v2.0	Oxytricha trifallax	1172189	496291018	Contig
GCA_000220395.1	JCVI-IMG1-V.1	Ichthyophthirius multifiliis	5932	48799969	Scaffold
GCA_001447515.1	ASM144751v1	Pseudocohnilembus persalinus	266149	55455357	Scaffold
GCA_946863485.1	Ecrassus_DP1_MAC_1.0	Moneuplotes crassus	5936	59699089	Contig
GCA_000751175.1	Stylonychia_lemnae_asm_v1.0	Stylonychia lemnae	5949	50164522	Contig
GCA_001970955.1	ASM197095v1	Stentor coeruleus	5963	77789515	Contig
GCA_006369765.1	ASM636976v1	Halteria grandinella	5974	64049499	Scaffold
GCA_914767885.1	Bstoltei_ATCC30299_MIC_1.0	Blepharisma stoltei	1481888	54657046	Contig
GCA_905182995.1	Paramecium_octaurelia_V1	Paramecium octaurelia	43137	86439580	Scaffold
GCA_905183005.1	Paramecium_pentaurelia_V1	Paramecium pentaurelia	43138	87295513	Scaffold
GCA_905182975.1	Paramecium_primaurelia_V1	Paramecium primaurelia	5886	86329489	Scaffold
GCA_905182985.1	Paramecium_sonneborni_V1	Paramecium sonneborni	65129	98056381	Scaffold
