tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CAD8159155.1, -, PTHR13335.orig.30.pi, -,2.4e-59,203.2,24.7,3.2e-59,202.8,24.7,GCA_905182995.1
CAD8134417.1, -, PTHR13335.orig.30.pi, -,1.4e-30,108.1,13.9,1.7e-30,107.8,13.9,GCA_905182995.1
CAD8166718.1, -, PTHR13335.orig.30.pi, -,6.5e-11,43.1,0.6,8e-11,42.8,0.6,GCA_905182995.1
CAD8173814.1, -, PTHR13335.orig.30.pi, -,6.8e-09,36.5,1.3,9.1e-09,36.0,1.3,GCA_905182995.1
CAD8177910.1, -, PTHR13335.orig.30.pi, -,1e-08,35.9,1.5,1.3e-08,35.5,1.5,GCA_905182995.1
CAD8175008.1, -, PTHR13335.orig.30.pi, -,2.3e-08,34.7,0.7,2.8e-08,34.4,0.7,GCA_905182995.1
CAD8151533.1, -, PTHR13335.orig.30.pi, -,1.3e-06,28.9,23.7,1.3e-06,28.9,23.7,GCA_905182995.1
CAD8182074.1, -, PTHR13335.orig.30.pi, -,7.1e-05,23.2,6.6,0.0001,22.7,6.6,GCA_905182995.1
CAD8169798.1, -, PTHR13335.orig.30.pi, -,0.0001,22.7,21.3,0.00015,22.1,21.3,GCA_905182995.1
CAD8134986.1, -, PTHR13335.orig.30.pi, -,0.00022,21.5,5.8,0.00027,21.3,5.8,GCA_905182995.1
CAD8202412.1, -, PTHR13335.orig.30.pi, -,0.00027,21.3,21.6,0.00044,20.5,21.6,GCA_905182995.1
CAD8198761.1, -, PTHR13335.orig.30.pi, -,0.00039,20.7,5.5,0.00039,20.7,5.5,GCA_905182995.1
CAD8142161.1, -, PTHR13335.orig.30.pi, -,0.0007,19.9,0.0,0.0014,18.9,0.0,GCA_905182995.1
CAD8141603.1, -, PTHR13335.orig.30.pi, -,0.00093,19.5,30.5,0.0012,19.2,30.5,GCA_905182995.1
CAD8165293.1, -, PTHR13335.orig.30.pi, -,0.0013,19.0,15.7,0.0015,18.8,15.7,GCA_905182995.1
CAD8210485.1, -, PTHR13335.orig.30.pi, -,0.0014,18.9,15.0,0.0016,18.7,15.0,GCA_905182995.1
CAD8141813.1, -, PTHR13335.orig.30.pi, -,0.0024,18.1,42.0,0.004,17.4,42.0,GCA_905182995.1
CAD8181525.1, -, PTHR13335.orig.30.pi, -,0.0028,17.9,15.3,0.003,17.8,15.3,GCA_905182995.1
CAD8160215.1, -, PTHR13335.orig.30.pi, -,0.0034,17.6,16.5,0.0034,17.6,16.5,GCA_905182995.1
CAD8143443.1, -, PTHR13335.orig.30.pi, -,0.0037,17.5,40.6,0.0056,16.9,40.6,GCA_905182995.1
CAD8213777.1, -, PTHR13335.orig.30.pi, -,0.004,17.4,7.1,0.0062,16.8,7.1,GCA_905182995.1
CAD8210062.1, -, PTHR13335.orig.30.pi, -,0.0041,17.4,24.5,0.0041,17.4,24.5,GCA_905182995.1
CAD8198199.1, -, PTHR13335.orig.30.pi, -,0.0052,17.0,1.3,0.006,16.8,0.3,GCA_905182995.1
CAD8188138.1, -, PTHR13335.orig.30.pi, -,0.0061,16.8,18.2,0.0061,16.8,18.2,GCA_905182995.1
CAD8211233.1, -, PTHR13335.orig.30.pi, -,0.0066,16.7,7.4,0.0066,16.7,7.4,GCA_905182995.1
CAD8148137.1, -, PTHR13335.orig.30.pi, -,0.008,16.4,26.3,0.05,13.8,26.0,GCA_905182995.1
CAD8138277.1, -, PTHR13335.orig.30.pi, -,0.0096,16.1,10.4,0.011,15.9,10.4,GCA_905182995.1
CAD8173120.1, -, PTHR13335.orig.30.pi, -,0.011,16.0,14.4,0.012,15.9,14.4,GCA_905182995.1
CAD8138172.1, -, PTHR13335.orig.30.pi, -,0.014,15.6,35.4,0.022,15.0,35.4,GCA_905182995.1
CAD8213747.1, -, PTHR13335.orig.30.pi, -,0.041,14.1,18.2,0.046,13.9,18.2,GCA_905182995.1
CAD8135116.1, -, PTHR13335.orig.30.pi, -,0.056,13.6,27.6,0.04,14.1,15.4,GCA_905182995.1
CAD8206606.1, -, PTHR13335.orig.30.pi, -,0.095,12.9,24.8,0.1,12.7,24.8,GCA_905182995.1
CAD8198609.1, -, PTHR13335.orig.30.pi, -,0.15,12.2,31.6,0.22,11.6,31.6,GCA_905182995.1
