tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
e1_1|58339|g14215.t, -, PTHR13298.orig.30.pi, -,0.00076,16.9,0.2,0.0019,15.6,0.1,Amoce1_1
e1_1|42384|g3406.t1, -, PTHR13298.orig.30.pi, -,0.0093,13.3,0.2,0.0093,13.3,0.2,Amoce1_1
ymbB.v1.2.019700.t1, -, PTHR13298.orig.30.pi, -,0.00087,18.1,0.4,0.00098,17.9,0.4,Bremi1
symbB.v1.2.013905.t, -, PTHR13298.orig.30.pi, -,0.00091,18.0,0.0,0.037,12.7,0.0,Bremi1
symbB.v1.2.008121.t, -, PTHR13298.orig.30.pi, -,0.015,14.0,2.0,0.14,10.8,1.1,Bremi1
ymbB.v1.2.019483.t1, -, PTHR13298.orig.30.pi, -,0.042,12.5,1.4,0.86,8.2,0.1,Bremi1
symbB.v1.2.013448.t, -, PTHR13298.orig.30.pi, -,0.056,12.1,0.9,0.081,11.5,0.1,Bremi1
ymbB.v1.2.019765.t2, -, PTHR13298.orig.30.pi, -,0.072,11.7,0.6,0.86,8.2,0.4,Bremi1
symbB.v1.2.025986.t, -, PTHR13298.orig.30.pi, -,0.096,11.3,2.6,0.37,9.3,0.0,Bremi1
symbB.v1.2.025986.t, -, PTHR13298.orig.30.pi, -,0.097,11.3,2.6,0.38,9.3,0.0,Bremi1
ymbB.v1.2.016225.t1, -, PTHR13298.orig.30.pi, -,0.16,10.6,0.1,0.2,10.2,0.1,Bremi1
ymbB.v1.2.002579.t1, -, PTHR13298.orig.30.pi, -,0.36,9.4,0.3,0.44,9.1,0.3,Bremi1
|18656|Cvel_6899.t1, -, PTHR13298.orig.30.pi, -,3e-77,260.8,0.0,1.1e-28,99.9,0.0,Chrveli1
|21451|Cvel_29984.t, -, PTHR13298.orig.30.pi, -,0.0037,15.4,0.1,0.0049,15.0,0.1,Chrveli1
|18691|Cvel_27693.t, -, PTHR13298.orig.30.pi, -,0.0047,15.1,0.0,0.063,11.3,0.0,Chrveli1
|12749|Cvel_23480.t, -, PTHR13298.orig.30.pi, -,0.15,10.1,0.9,0.99,7.4,0.0,Chrveli1
|4452|Cvel_3482.t1, -, PTHR13298.orig.30.pi, -,0.49,8.4,0.3,16.0,3.4,0.1,Chrveli1
C1.scaffold5887.3.m, -, PTHR13298.orig.30.pi, -,0.029,12.6,0.3,0.039,12.2,0.3,Clago1
C1.scaffold426.12.m, -, PTHR13298.orig.30.pi, -,0.28,9.4,0.2,2.2,6.4,0.1,Clago1
C1.scaffold8634.2.m, -, PTHR13298.orig.30.pi, -,0.58,8.3,0.8,39.0,2.3,0.1,Clago1
C1.scaffold305.6.m1, -, PTHR13298.orig.30.pi, -,1.4,7.1,1.8,11.0,4.1,0.0,Clago1
F.scaffold138.21.m1, -, PTHR13298.orig.30.pi, -,7.5e-07,27.4,0.2,0.93,7.2,0.0,Fugka2468_1
F.scaffold138.15.m1, -, PTHR13298.orig.30.pi, -,0.00065,17.7,0.1,5.8,4.6,0.0,Fugka2468_1
bF.scaffold5339.2.m, -, PTHR13298.orig.30.pi, -,0.0054,14.6,0.2,1.6,6.4,0.0,Fugka2468_1
bF.scaffold298.35.m, -, PTHR13298.orig.30.pi, -,0.021,12.7,0.7,0.072,10.9,0.0,Fugka2468_1
bF.scaffold74.6.m1, -, PTHR13298.orig.30.pi, -,0.05,11.4,0.1,0.075,10.8,0.1,Fugka2468_1
bF.scaffold897.6.m1, -, PTHR13298.orig.30.pi, -,0.053,11.3,0.5,0.26,9.1,0.2,Fugka2468_1
bF.scaffold253.2.m1, -, PTHR13298.orig.30.pi, -,0.26,9.0,13.4,7.3,4.2,3.9,Fugka2468_1
ri1|3193658|rna1580, -, PTHR13298.orig.30.pi, -,8.4e-190,633.2,25.3,1e-190,631.9,25.4,Oxytri1
ri1|3193706|rna1933, -, PTHR13298.orig.30.pi, -,1.2e-189,632.7,25.0,7e-190,631.5,25.1,Oxytri1
ri1|3193882|rna9105, -, PTHR13298.orig.30.pi, -,4.9e-177,590.9,29.5,5.3e-91,306.0,3.9,Oxytri1
88816|XM_001462203., -, PTHR13298.orig.30.pi, -,4.1e-269,896.6,28.8,6e-270,896.4,28.8,Partet1
62933|XM_001436284., -, PTHR13298.orig.30.pi, -,0.0022,16.5,0.4,0.0028,16.1,0.4,Partet1
84596|XM_001457977., -, PTHR13298.orig.30.pi, -,0.0046,15.4,4.2,0.0049,15.3,4.2,Partet1
54456|XM_001427790., -, PTHR13298.orig.30.pi, -,0.0066,14.9,1.0,0.054,11.9,0.3,Partet1
50667|XM_001423997., -, PTHR13298.orig.30.pi, -,0.052,11.9,2.9,0.069,11.5,2.9,Partet1
88651|XM_001462038., -, PTHR13298.orig.30.pi, -,0.2,10.0,5.5,1.2,7.4,0.2,Partet1
62298|XM_001435559., -, PTHR13298.orig.30.pi, -,0.44,8.9,4.6,1.4,7.2,1.5,Partet1
03|scaffold_13208.1, -, PTHR13298.orig.30.pi, -,2.1e-38,133.1,0.0,1.3e-37,130.4,0.0,Polgl1383_1_1
69|scaffold_12460.1, -, PTHR13298.orig.30.pi, -,3.5e-37,129.0,0.0,3e-36,125.9,0.0,Polgl1383_1_1
815|scaffold_5948.1, -, PTHR13298.orig.30.pi, -,0.00025,20.2,0.0,0.00027,20.1,0.0,Polgl1383_1_1
494|scaffold_14749., -, PTHR13298.orig.30.pi, -,0.0021,17.1,0.2,0.23,10.3,0.1,Polgl1383_1_1
722|scaffold_7171.1, -, PTHR13298.orig.30.pi, -,0.0024,16.9,0.0,0.032,13.2,0.0,Polgl1383_1_1
036|scaffold_140.25, -, PTHR13298.orig.30.pi, -,0.004,16.2,0.5,0.5,9.2,0.1,Polgl1383_1_1
696|scaffold_8233.6, -, PTHR13298.orig.30.pi, -,0.0049,15.9,0.1,0.58,9.0,0.0,Polgl1383_1_1
305|scaffold_8704.7, -, PTHR13298.orig.30.pi, -,0.0069,15.4,0.1,0.0088,15.0,0.1,Polgl1383_1_1
478|scaffold_685.7, -, PTHR13298.orig.30.pi, -,0.0074,15.3,0.0,0.076,12.0,0.0,Polgl1383_1_1
560|scaffold_540.18, -, PTHR13298.orig.30.pi, -,0.041,12.8,1.0,2.4,7.0,0.4,Polgl1383_1_1
219|scaffold_16220., -, PTHR13298.orig.30.pi, -,0.065,12.2,0.2,0.081,11.9,0.2,Polgl1383_1_1
082|scaffold_22.5, -, PTHR13298.orig.30.pi, -,0.12,11.3,1.0,2.0,7.3,0.7,Polgl1383_1_1
674|scaffold_98.14, -, PTHR13298.orig.30.pi, -,0.13,11.2,0.0,0.22,10.4,0.0,Polgl1383_1_1
170|scaffold_17462., -, PTHR13298.orig.30.pi, -,0.14,11.0,0.2,0.16,10.9,0.2,Polgl1383_1_1
74|scaffold_1360.11, -, PTHR13298.orig.30.pi, -,0.27,10.1,0.0,0.84,8.5,0.0,Polgl1383_1_1
485|scaffold_14218., -, PTHR13298.orig.30.pi, -,0.29,10.0,0.2,0.38,9.6,0.2,Polgl1383_1_1
835|scaffold_15485., -, PTHR13298.orig.30.pi, -,0.32,9.9,0.2,0.42,9.5,0.2,Polgl1383_1_1
88|scaffold_1158.6, -, PTHR13298.orig.30.pi, -,0.34,9.8,0.0,4.5,6.1,0.0,Polgl1383_1_1
579|scaffold_976.5, -, PTHR13298.orig.30.pi, -,0.91,8.4,0.9,1.4,7.7,0.3,Polgl1383_1_1
317|scaffold_967.5, -, PTHR13298.orig.30.pi, -,6.2,5.6,17.1,6.9,5.5,17.1,Polgl1383_1_1
451|scaffold_3778.9, -, PTHR13298.orig.30.pi, -,7.5,5.3,4.2,21.0,3.9,0.0,Polgl1383_1_1
869|scaffold_9653.2, -, PTHR13298.orig.30.pi, -,1.8e-38,133.1,0.0,1.2e-37,130.4,0.0,Polgl2088_1_1
921|scaffold_6679.2, -, PTHR13298.orig.30.pi, -,8.2e-13,48.1,0.0,4.3e-12,45.7,0.0,Polgl2088_1_1
143|scaffold_4289.2, -, PTHR13298.orig.30.pi, -,8.4e-13,48.1,0.0,4.3e-12,45.7,0.0,Polgl2088_1_1
69|scaffold_1288.5, -, PTHR13298.orig.30.pi, -,0.00038,19.4,0.0,0.015,14.1,0.0,Polgl2088_1_1
574|scaffold_4149.2, -, PTHR13298.orig.30.pi, -,0.00057,18.8,0.7,0.19,10.5,0.2,Polgl2088_1_1
62|scaffold_11691.4, -, PTHR13298.orig.30.pi, -,0.0044,15.9,0.1,0.52,9.0,0.0,Polgl2088_1_1
524|scaffold_1707.2, -, PTHR13298.orig.30.pi, -,0.048,12.4,0.3,7.8,5.1,0.0,Polgl2088_1_1
79|scaffold_1265.3, -, PTHR13298.orig.30.pi, -,0.078,11.7,0.0,0.084,11.6,0.0,Polgl2088_1_1
48|scaffold_11.1, -, PTHR13298.orig.30.pi, -,0.1,11.4,3.3,1.5,7.5,0.2,Polgl2088_1_1
139|scaffold_5015.1, -, PTHR13298.orig.30.pi, -,0.24,10.1,0.0,0.75,8.5,0.0,Polgl2088_1_1
432|scaffold_2073.6, -, PTHR13298.orig.30.pi, -,0.36,9.5,0.2,0.51,9.0,0.2,Polgl2088_1_1
621|scaffold_18524., -, PTHR13298.orig.30.pi, -,0.4,9.4,0.0,0.53,9.0,0.0,Polgl2088_1_1
636|scaffold_26110., -, PTHR13298.orig.30.pi, -,0.46,9.2,1.2,2.2,6.9,0.1,Polgl2088_1_1
69|scaffold_107.17, -, PTHR13298.orig.30.pi, -,0.84,8.3,0.9,1.3,7.7,0.3,Polgl2088_1_1
68|scaffold_12245.1, -, PTHR13298.orig.30.pi, -,5.5,5.6,17.1,6.1,5.5,17.1,Polgl2088_1_1
mmic1|34323|rna2433, -, PTHR13298.orig.30.pi, -,0.00014,20.6,4.1,0.23,9.9,0.0,Symmic1
mmic1|14169|rna1098, -, PTHR13298.orig.30.pi, -,0.00088,17.9,1.1,0.2,10.1,0.3,Symmic1
mmic1|27371|rna1947, -, PTHR13298.orig.30.pi, -,0.0034,16.0,0.0,0.53,8.7,0.0,Symmic1
mmic1|7560|rna35743, -, PTHR13298.orig.30.pi, -,0.0068,15.0,0.9,2.2,6.7,0.0,Symmic1
mmic1|36211|rna2562, -, PTHR13298.orig.30.pi, -,0.017,13.7,0.3,0.021,13.3,0.3,Symmic1
mmic1|12221|rna1531, -, PTHR13298.orig.30.pi, -,0.057,11.9,0.0,0.071,11.6,0.0,Symmic1
mmic1|18521|rna2250, -, PTHR13298.orig.30.pi, -,0.082,11.4,4.0,3.0,6.2,0.0,Symmic1
mmic1|796|rna6603, -, PTHR13298.orig.30.pi, -,0.18,10.3,0.1,12.0,4.2,0.1,Symmic1
mmic1|2136|rna6944, -, PTHR13298.orig.30.pi, -,0.25,9.8,0.3,0.39,9.2,0.1,Symmic1
mmic1|18492|rna2221, -, PTHR13298.orig.30.pi, -,1.8,7.0,4.6,3.7,5.9,0.6,Symmic1
06175|XM_001470737., -, PTHR13298.orig.30.pi, -,2.3e-192,641.8,29.3,1e-192,638.1,29.3,Tetthe1
06177|XM_001015900., -, PTHR13298.orig.30.pi, -,2.1e-183,612.1,36.1,7e-184,610.0,36.1,Tetthe1
17285|XM_001009161., -, PTHR13298.orig.30.pi, -,0.036,11.9,2.1,6.2,4.5,0.0,Tetthe1
|31|XM_018780207.1, -, PTHR13298.orig.30.pi, -,2.4e-21,73.7,0.0,8.6e-08,28.8,0.0,Toxgon1
|30|XM_018780208.1, -, PTHR13298.orig.30.pi, -,1.2e-07,28.3,0.0,0.00037,16.8,0.0,Toxgon1
|3626|XM_002368000., -, PTHR13298.orig.30.pi, -,0.062,9.4,0.6,0.24,7.5,0.1,Toxgon1
|3461|XM_018780228., -, PTHR13298.orig.30.pi, -,0.065,9.4,0.4,4.8,3.2,0.1,Toxgon1
|7187|Vbra_20831.t1, -, PTHR13298.orig.30.pi, -,4.5e-128,428.7,0.0,1.4e-68,231.7,0.0,Vitbras1
|17310|Vbra_9865.t1, -, PTHR13298.orig.30.pi, -,0.00017,19.4,1.0,0.00018,19.4,1.0,Vitbras1
|3371|Vbra_7640.t1, -, PTHR13298.orig.30.pi, -,0.00081,17.2,0.0,0.0094,13.6,0.0,Vitbras1
|20871|Vbra_18795.t, -, PTHR13298.orig.30.pi, -,0.0016,16.2,0.5,0.39,8.3,0.2,Vitbras1
|15925|Vbra_9642.t1, -, PTHR13298.orig.30.pi, -,0.0021,15.8,0.0,0.003,15.3,0.0,Vitbras1
|22582|Vbra_10593.t, -, PTHR13298.orig.30.pi, -,0.0037,15.0,0.2,0.0068,14.1,0.2,Vitbras1
|16729|Vbra_3291.t1, -, PTHR13298.orig.30.pi, -,0.02,12.5,0.3,0.03,12.0,0.3,Vitbras1
|5278|Vbra_7907.t1, -, PTHR13298.orig.30.pi, -,0.3,8.6,0.1,0.51,7.9,0.1,Vitbras1
|9399|Vbra_14059.t1, -, PTHR13298.orig.30.pi, -,3.6,5.1,6.0,4.0,4.9,0.0,Vitbras1
