tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
MES1918676.1, -, PTHR19842.orig.30.pi, -,4.4e-37,126.0,3.6,6.9e-16,56.4,0.2,GCA_040357525.1
MES1918678.1, -, PTHR19842.orig.30.pi, -,5.1e-37,125.8,3.4,7.4e-16,56.2,0.1,GCA_040357525.1
MES1918675.1, -, PTHR19842.orig.30.pi, -,7.3e-33,112.1,2.4,1.7e-11,41.9,0.2,GCA_040357525.1
MES1920084.1, -, PTHR19842.orig.30.pi, -,2e-30,104.1,0.0,2.5e-30,103.8,0.0,GCA_040357525.1
MES1918677.1, -, PTHR19842.orig.30.pi, -,2.1e-27,94.2,0.2,2.4e-10,38.2,0.0,GCA_040357525.1
MES1921356.1, -, PTHR19842.orig.30.pi, -,1.4e-25,88.2,0.0,3.4e-14,50.8,0.0,GCA_040357525.1
MES1921357.1, -, PTHR19842.orig.30.pi, -,1.5e-25,88.1,0.0,3.6e-14,50.7,0.0,GCA_040357525.1
MES1921943.1, -, PTHR19842.orig.30.pi, -,1.3e-22,78.5,0.0,2.4e-16,57.9,0.0,GCA_040357525.1
MES1922195.1, -, PTHR19842.orig.30.pi, -,1.5e-22,78.3,0.2,2.2e-10,38.3,0.1,GCA_040357525.1
MES1919020.1, -, PTHR19842.orig.30.pi, -,3.4e-22,77.1,10.5,1.2e-06,26.0,0.0,GCA_040357525.1
MES1919587.1, -, PTHR19842.orig.30.pi, -,1.4e-21,75.0,1.3,4.1e-14,50.5,0.5,GCA_040357525.1
MES1922196.1, -, PTHR19842.orig.30.pi, -,2.6e-21,74.2,0.1,1.4e-19,68.5,0.1,GCA_040357525.1
MES1919565.1, -, PTHR19842.orig.30.pi, -,6.2e-19,66.4,0.0,2.5e-10,38.1,0.1,GCA_040357525.1
MES1922039.1, -, PTHR19842.orig.30.pi, -,8.7e-19,65.9,0.0,4e-10,37.4,0.0,GCA_040357525.1
MES1919638.1, -, PTHR19842.orig.30.pi, -,1.3e-18,65.3,0.1,2.3e-10,38.2,0.0,GCA_040357525.1
MES1923354.1, -, PTHR19842.orig.30.pi, -,3.5e-18,63.9,7.9,7.6e-14,49.6,4.9,GCA_040357525.1
MES1923303.1, -, PTHR19842.orig.30.pi, -,1.3e-17,62.0,0.0,7.1e-11,39.9,0.1,GCA_040357525.1
MES1922419.1, -, PTHR19842.orig.30.pi, -,2.2e-16,58.0,0.1,1.1e-07,29.4,0.1,GCA_040357525.1
MES1918085.1, -, PTHR19842.orig.30.pi, -,2.2e-16,58.0,0.0,8.5e-13,46.2,0.0,GCA_040357525.1
MES1918556.1, -, PTHR19842.orig.30.pi, -,3.3e-16,57.4,0.1,2.1e-07,28.5,0.0,GCA_040357525.1
MES1923321.1, -, PTHR19842.orig.30.pi, -,4.7e-16,56.9,0.9,3.1e-15,54.2,0.9,GCA_040357525.1
MES1922078.1, -, PTHR19842.orig.30.pi, -,1.1e-15,55.7,0.1,1.9e-15,54.9,0.1,GCA_040357525.1
MES1918187.1, -, PTHR19842.orig.30.pi, -,2.1e-15,54.8,0.0,3.1e-10,37.8,0.0,GCA_040357525.1
MES1921195.1, -, PTHR19842.orig.30.pi, -,7.2e-15,53.0,0.3,4.1e-11,40.6,0.0,GCA_040357525.1
MES1921754.1, -, PTHR19842.orig.30.pi, -,9.2e-15,52.7,1.5,4e-12,44.0,1.2,GCA_040357525.1
MES1918579.1, -, PTHR19842.orig.30.pi, -,1.1e-14,52.4,0.1,3.3e-13,47.6,0.1,GCA_040357525.1
MES1922104.1, -, PTHR19842.orig.30.pi, -,1.6e-14,51.8,0.5,2.5e-11,41.4,0.4,GCA_040357525.1
MES1919597.1, -, PTHR19842.orig.30.pi, -,4.2e-14,50.5,0.1,7.6e-14,49.6,0.1,GCA_040357525.1
MES1923057.1, -, PTHR19842.orig.30.pi, -,2.9e-13,47.7,1.1,2.8e-12,44.5,1.1,GCA_040357525.1
MES1922898.1, -, PTHR19842.orig.30.pi, -,3.6e-13,47.4,0.2,4e-13,47.3,0.2,GCA_040357525.1
MES1922897.1, -, PTHR19842.orig.30.pi, -,4e-13,47.3,0.6,4.8e-13,47.0,0.6,GCA_040357525.1
MES1921196.1, -, PTHR19842.orig.30.pi, -,5.5e-13,46.8,0.5,4.3e-09,34.0,0.1,GCA_040357525.1
MES1918779.1, -, PTHR19842.orig.30.pi, -,6.2e-13,46.6,0.0,9.3e-11,39.5,0.0,GCA_040357525.1
MES1919586.1, -, PTHR19842.orig.30.pi, -,6.8e-13,46.5,0.3,7.4e-08,30.0,0.4,GCA_040357525.1
MES1920469.1, -, PTHR19842.orig.30.pi, -,7.6e-13,46.4,0.0,7.8e-13,46.3,0.0,GCA_040357525.1
MES1918282.1, -, PTHR19842.orig.30.pi, -,2e-12,45.0,1.8,7.3e-10,36.6,1.8,GCA_040357525.1
MES1923077.1, -, PTHR19842.orig.30.pi, -,4.6e-12,43.8,0.1,5.7e-12,43.5,0.1,GCA_040357525.1
MES1920073.1, -, PTHR19842.orig.30.pi, -,5e-12,43.7,0.0,2.7e-10,38.0,0.0,GCA_040357525.1
MES1922449.1, -, PTHR19842.orig.30.pi, -,7.5e-12,43.1,0.8,8.8e-06,23.1,0.0,GCA_040357525.1
MES1920092.1, -, PTHR19842.orig.30.pi, -,8e-12,43.0,0.1,4.9e-11,40.4,0.1,GCA_040357525.1
MES1922044.1, -, PTHR19842.orig.30.pi, -,1.4e-11,42.2,1.3,2e-06,25.3,0.2,GCA_040357525.1
MES1921578.1, -, PTHR19842.orig.30.pi, -,2.3e-11,41.5,5.3,9.2e-07,26.4,0.1,GCA_040357525.1
MES1920072.1, -, PTHR19842.orig.30.pi, -,3.9e-11,40.7,0.0,1.7e-10,38.6,0.0,GCA_040357525.1
MES1920093.1, -, PTHR19842.orig.30.pi, -,4.9e-11,40.4,0.0,3.9e-05,21.0,0.0,GCA_040357525.1
MES1920909.1, -, PTHR19842.orig.30.pi, -,2.2e-10,38.2,0.0,0.00031,18.1,0.0,GCA_040357525.1
MES1919588.1, -, PTHR19842.orig.30.pi, -,5.1e-10,37.1,0.0,9.9e-10,36.1,0.0,GCA_040357525.1
