tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
IO_Genome00024975-R, -, PTHR13298.orig.30.pi, -,0.092,10.4,0.2,0.96,7.1,0.0,Chrpa1_1_RICTOR
IO_Genome00000475-R, -, PTHR13298.orig.30.pi, -,0.1,10.3,0.8,0.14,9.9,0.2,Chrpa1_1_RICTOR
O_Genome00012382-RA, -, PTHR13298.orig.30.pi, -,0.1,10.3,1.5,0.14,9.8,0.3,Chrpa1_1_RICTOR
IO_Genome00002286-R, -, PTHR13298.orig.30.pi, -,0.26,9.0,1.2,0.53,7.9,1.2,Chrpa1_1_RICTOR
IO_Genome00012168-R, -, PTHR13298.orig.30.pi, -,6.2,4.4,5.3,5.5,4.6,0.1,Chrpa1_1_RICTOR
IO_Genome00027356-R, -, PTHR13298.orig.30.pi, -,8.2,4.0,5.9,5.4,4.6,0.2,Chrpa1_1_RICTOR
171006|Ctob_004795T, -, PTHR13298.orig.30.pi, -,0.04,11.1,6.6,1.1,6.3,0.1,Chrsp_1_RICTOR
177925|Ctob_010843T, -, PTHR13298.orig.30.pi, -,0.068,10.3,1.3,0.1,9.8,0.3,Chrsp_1_RICTOR
177757|Ctob_002807T, -, PTHR13298.orig.30.pi, -,0.069,10.3,0.8,0.093,9.9,0.2,Chrsp_1_RICTOR
172854|Ctob_006036T, -, PTHR13298.orig.30.pi, -,0.12,9.5,0.1,0.19,8.8,0.1,Chrsp_1_RICTOR
175356|Ctob_009537T, -, PTHR13298.orig.30.pi, -,0.63,7.1,5.9,0.16,9.1,0.9,Chrsp_1_RICTOR
|7227|KFE25_007660., -, PTHR13298.orig.30.pi, -,6.7e-68,228.7,0.0,4.1e-19,67.1,0.9,Dialut1_RICTOR
|4291|KFE25_004663., -, PTHR13298.orig.30.pi, -,0.00011,19.3,3.1,0.00095,16.2,3.2,Dialut1_RICTOR
|9389|KFE25_012807., -, PTHR13298.orig.30.pi, -,0.02,11.8,1.5,0.025,11.5,1.5,Dialut1_RICTOR
|5965|KFE25_001327., -, PTHR13298.orig.30.pi, -,0.043,10.7,0.0,0.061,10.2,0.0,Dialut1_RICTOR
|3750|KFE25_005031., -, PTHR13298.orig.30.pi, -,0.3,7.9,6.6,0.92,6.3,0.3,Dialut1_RICTOR
h_newKGs_kg.C_87006, -, PTHR13298.orig.30.pi, -,0.03,12.5,0.2,0.13,10.4,0.2,Emihu1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.2,9.7,6.6,0.33,9.0,1.0,Emihu1_RICTOR
190, -, PTHR13298.orig.30.pi, -,0.31,9.1,0.2,0.4,8.8,0.2,Emihu1_RICTOR
003, -, PTHR13298.orig.30.pi, -,3.4e-23,81.5,3.6,3.1e-15,55.1,1.7,Pavlov2436_1_RICTOR
00056, -, PTHR13298.orig.30.pi, -,1e-20,73.3,0.0,1.4e-20,72.8,0.0,Pavlov2436_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.0023,15.8,0.0,0.0025,15.7,0.0,Pavlov2436_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.0036,15.2,0.1,0.0049,14.7,0.1,Pavlov2436_1_RICTOR
Locus5032v1rpkm33.1, -, PTHR13298.orig.30.pi, -,0.0052,14.6,2.8,0.0058,14.5,1.8,Pavlov2436_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.63,7.7,3.6,1.4,6.6,3.1,Pavlov2436_1_RICTOR
, -, PTHR13298.orig.30.pi, -,3e-26,91.5,0.0,3.1e-25,88.2,0.0,Pavlova6257_1_RICTOR
40339, -, PTHR13298.orig.30.pi, -,4.2e-16,57.9,4.6,4.7e-16,57.8,4.6,Pavlova6257_1_RICTOR
40342, -, PTHR13298.orig.30.pi, -,2.5e-14,52.0,0.0,3e-14,51.7,0.0,Pavlova6257_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.012,13.3,0.0,0.015,13.0,0.0,Pavlova6257_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.014,13.1,10.9,0.35,8.5,0.2,Pavlova6257_1_RICTOR
10465, -, PTHR13298.orig.30.pi, -,0.062,11.0,0.0,0.18,9.4,0.0,Pavlova6257_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.064,10.9,0.1,4.5,4.8,0.0,Pavlova6257_1_RICTOR
SX_transcript/2443, -, PTHR13298.orig.30.pi, -,0.08,10.6,0.8,0.39,8.3,0.0,Pavlova6257_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.16,9.6,0.0,0.2,9.3,0.0,Pavlova6257_1_RICTOR
NITY_DN2440_c0_g1_i, -, PTHR13298.orig.30.pi, -,0.17,9.5,1.3,0.26,8.9,1.3,Pavlova6257_1_RICTOR
, -, PTHR13298.orig.30.pi, -,1.2,6.7,3.8,23.0,2.4,0.0,Pavlova6257_1_RICTOR
SX_transcript/15217, -, PTHR13298.orig.30.pi, -,3.0,5.4,7.7,20.0,2.6,0.5,Pavlova6257_1_RICTOR
36|Phant.0027s0040., -, PTHR13298.orig.30.pi, -,0.0024,16.4,2.3,0.0034,15.9,2.3,Phaant1_RICTOR
59|Phant.0056s0072., -, PTHR13298.orig.30.pi, -,0.016,13.7,2.7,0.26,9.7,0.0,Phaant1_RICTOR
58|Phant.0056s0072., -, PTHR13298.orig.30.pi, -,0.018,13.5,2.6,0.27,9.6,0.0,Phaant1_RICTOR
93|Phant.0057s0102., -, PTHR13298.orig.30.pi, -,0.1,11.0,2.3,2.7,6.3,0.3,Phaant1_RICTOR
87|Phant.0017s0436., -, PTHR13298.orig.30.pi, -,0.14,10.6,9.6,0.59,8.5,3.4,Phaant1_RICTOR
52|Phant.0073s0049., -, PTHR13298.orig.30.pi, -,0.34,9.3,0.9,0.63,8.4,0.9,Phaant1_RICTOR
68|Phglo.0409s0024., -, PTHR13298.orig.30.pi, -,0.0064,14.6,2.2,0.0082,14.3,2.2,Phaglo1_RICTOR
9|Phglo.0118s0071.1, -, PTHR13298.orig.30.pi, -,0.081,11.0,0.2,0.097,10.7,0.2,Phaglo1_RICTOR
31|Phglo.0488s0014., -, PTHR13298.orig.30.pi, -,0.15,10.1,0.8,0.2,9.7,0.8,Phaglo1_RICTOR
19|Phglo.0220s0028., -, PTHR13298.orig.30.pi, -,0.16,10.0,0.2,2.5,6.1,0.0,Phaglo1_RICTOR
84|Phglo.0508s0001., -, PTHR13298.orig.30.pi, -,0.71,7.9,0.6,2.4,6.1,0.1,Phaglo1_RICTOR
|18589|12B1g18648.t, -, PTHR13298.orig.30.pi, -,6.2e-163,544.1,0.0,9e-107,355.6,0.3,Pparv12B1_1_RICTOR
|17461|12B1g21161.t, -, PTHR13298.orig.30.pi, -,0.00025,18.8,0.4,0.00061,17.5,0.4,Pparv12B1_1_RICTOR
