tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
nesh1_pm.C_380001, -, PTHR19842.orig.30.pi, -,4e-127,423.8,3.9,5e-128,423.6,3.9,Bigna1_LST8
3.1, -, PTHR19842.orig.30.pi, -,1.6e-89,300.2,7.7,2.7e-36,125.3,0.1,Bigna1_LST8
3.1, -, PTHR19842.orig.30.pi, -,3.3e-75,253.2,10.0,1.3e-18,67.2,0.2,Bigna1_LST8
3.1, -, PTHR19842.orig.30.pi, -,7.8e-49,166.5,31.8,6.7e-21,74.7,6.4,Bigna1_LST8
ewise1Plus.C_300124, -, PTHR19842.orig.30.pi, -,6.9e-45,153.6,3.1,2.7e-26,92.4,0.9,Bigna1_LST8
9.1, -, PTHR19842.orig.30.pi, -,3.7e-44,151.2,11.0,8.1e-26,90.9,3.7,Bigna1_LST8
m.51_#_7, -, PTHR19842.orig.30.pi, -,5.6e-44,150.6,4.9,1.4e-20,73.7,1.7,Bigna1_LST8
11799, -, PTHR19842.orig.30.pi, -,2.3e-42,145.3,6.1,5.4e-12,45.5,0.0,Bigna1_LST8
nesh1_pg.C_530022, -, PTHR19842.orig.30.pi, -,1.4e-41,142.7,0.0,3.1e-15,56.1,0.0,Bigna1_LST8
g21471, -, PTHR19842.orig.30.pi, -,1.8e-40,139.0,2.9,2.3e-22,79.5,0.6,Bigna1_LST8
nesh1_pg.C_250009, -, PTHR19842.orig.30.pi, -,3e-40,138.3,0.0,1.6e-12,47.2,0.0,Bigna1_LST8
1, -, PTHR19842.orig.30.pi, -,9.2e-40,136.7,12.3,9.2e-15,54.6,1.6,Bigna1_LST8
ewise1Plus.C_101001, -, PTHR19842.orig.30.pi, -,7.8e-38,130.4,4.6,5.2e-14,52.1,0.3,Bigna1_LST8
7119, -, PTHR19842.orig.30.pi, -,1.2e-37,129.8,1.3,1.4e-18,67.1,0.2,Bigna1_LST8
.1, -, PTHR19842.orig.30.pi, -,1.4e-36,126.3,2.7,7.3e-17,61.5,0.3,Bigna1_LST8
nesh1_pg.C_250103, -, PTHR19842.orig.30.pi, -,6.6e-36,124.1,1.0,2.5e-23,82.7,0.0,Bigna1_LST8
ewise1Plus.C_100002, -, PTHR19842.orig.30.pi, -,1.3e-35,123.1,4.2,7.4e-13,48.3,0.2,Bigna1_LST8
ewise1Plus.C_420006, -, PTHR19842.orig.30.pi, -,2.3e-34,119.0,10.2,3.1e-12,46.3,1.5,Bigna1_LST8
ewise1Plus.C_310119, -, PTHR19842.orig.30.pi, -,4.8e-34,117.9,0.0,4.8e-17,62.1,0.0,Bigna1_LST8
nesh1_pg.C_650134, -, PTHR19842.orig.30.pi, -,5e-34,117.9,0.7,1.3e-25,90.2,0.1,Bigna1_LST8
986, -, PTHR19842.orig.30.pi, -,3.5e-33,115.1,0.2,2e-17,63.3,0.2,Bigna1_LST8
ewise1Plus.C_320071, -, PTHR19842.orig.30.pi, -,4.2e-33,114.8,0.7,6e-19,68.3,0.2,Bigna1_LST8
7.1, -, PTHR19842.orig.30.pi, -,8e-33,113.9,16.3,1.9e-13,50.3,0.6,Bigna1_LST8
1, -, PTHR19842.orig.30.pi, -,4.6e-32,111.4,1.6,9.2e-17,61.1,0.3,Bigna1_LST8
nesh1_pg.C_320076, -, PTHR19842.orig.30.pi, -,4.7e-32,111.4,8.9,6.4e-16,58.4,1.7,Bigna1_LST8
785, -, PTHR19842.orig.30.pi, -,1e-31,110.3,0.7,4.5e-20,72.0,0.8,Bigna1_LST8
nesh1_pg.C_370035, -, PTHR19842.orig.30.pi, -,3.6e-29,101.9,4.2,3.3e-12,46.2,0.5,Bigna1_LST8
g.7_#_344, -, PTHR19842.orig.30.pi, -,3.8e-29,101.8,1.8,5.3e-12,45.5,0.0,Bigna1_LST8
nesh1_pg.C_520119, -, PTHR19842.orig.30.pi, -,4.2e-29,101.7,0.6,3.5e-14,52.6,0.1,Bigna1_LST8
567, -, PTHR19842.orig.30.pi, -,7.1e-29,100.9,0.0,2.8e-14,53.0,0.0,Bigna1_LST8
1, -, PTHR19842.orig.30.pi, -,1.8e-28,99.6,0.0,2e-22,79.7,0.0,Bigna1_LST8
g.7_#_155, -, PTHR19842.orig.30.pi, -,3.8e-28,98.5,0.0,9.2e-11,41.4,0.0,Bigna1_LST8
g.60_#_108, -, PTHR19842.orig.30.pi, -,4.6e-28,98.3,2.5,1.5e-13,50.6,0.1,Bigna1_LST8
18880, -, PTHR19842.orig.30.pi, -,8e-28,97.5,10.6,1.5e-16,60.4,0.3,Bigna1_LST8
23.1, -, PTHR19842.orig.30.pi, -,1.1e-27,97.0,0.0,9.4e-14,51.2,0.0,Bigna1_LST8
24.1, -, PTHR19842.orig.30.pi, -,1.3e-27,96.8,0.6,3e-11,43.0,0.0,Bigna1_LST8
nesh1_pg.C_290053, -, PTHR19842.orig.30.pi, -,1.3e-27,96.8,2.8,7e-15,54.9,0.1,Bigna1_LST8
ewise1.C_1000012, -, PTHR19842.orig.30.pi, -,1.3e-27,96.8,2.3,5e-16,58.7,0.6,Bigna1_LST8
g.5_#_153, -, PTHR19842.orig.30.pi, -,6.1e-27,94.6,0.6,2.2e-13,50.0,0.2,Bigna1_LST8
.1, -, PTHR19842.orig.30.pi, -,6.2e-27,94.6,0.1,5.2e-17,62.0,0.1,Bigna1_LST8
nesh1_pm.C_790003, -, PTHR19842.orig.30.pi, -,8.6e-27,94.1,1.8,1.5e-13,50.5,1.0,Bigna1_LST8
nesh1_pg.C_70006, -, PTHR19842.orig.30.pi, -,6.1e-26,91.3,0.1,1.2e-17,64.1,0.1,Bigna1_LST8
ewise1Plus.C_240084, -, PTHR19842.orig.30.pi, -,8.4e-26,90.8,4.0,2.6e-08,33.3,0.4,Bigna1_LST8
46.1, -, PTHR19842.orig.30.pi, -,2e-25,89.6,5.3,8.3e-13,48.1,0.5,Bigna1_LST8
7.1, -, PTHR19842.orig.30.pi, -,2.1e-25,89.5,11.6,1.4e-22,80.2,11.6,Bigna1_LST8
1, -, PTHR19842.orig.30.pi, -,3.5e-25,88.8,3.3,7.8e-16,58.1,0.2,Bigna1_LST8
g.77_#_16, -, PTHR19842.orig.30.pi, -,3.5e-25,88.8,1.5,3.2e-21,75.8,2.1,Bigna1_LST8
g.29_#_61, -, PTHR19842.orig.30.pi, -,3.7e-25,88.7,0.0,1.6e-12,47.2,0.0,Bigna1_LST8
nesh1_pg.C_880029, -, PTHR19842.orig.30.pi, -,5.3e-25,88.2,0.0,2.4e-13,49.9,0.0,Bigna1_LST8
nesh1_pg.C_270042, -, PTHR19842.orig.30.pi, -,1.3e-24,86.9,0.0,3.3e-12,46.2,0.5,Bigna1_LST8
.1, -, PTHR19842.orig.30.pi, -,1.6e-24,86.6,0.0,2.9e-13,49.6,0.0,Bigna1_LST8
m.34_#_4, -, PTHR19842.orig.30.pi, -,2.4e-24,86.1,2.6,1e-21,77.4,0.5,Bigna1_LST8
g.31_#_138, -, PTHR19842.orig.30.pi, -,3.8e-24,85.4,0.0,8.1e-15,54.7,0.0,Bigna1_LST8
57, -, PTHR19842.orig.30.pi, -,4.2e-24,85.3,0.0,1.9e-08,33.8,0.0,Bigna1_LST8
nesh1_pg.C_1100004, -, PTHR19842.orig.30.pi, -,4.6e-24,85.1,8.2,1.2e-15,57.4,1.4,Bigna1_LST8
2.1, -, PTHR19842.orig.30.pi, -,5.1e-24,85.0,2.8,1.1e-09,37.9,0.3,Bigna1_LST8
g.49_#_56, -, PTHR19842.orig.30.pi, -,1.1e-23,83.9,3.1,3.3e-15,56.0,0.2,Bigna1_LST8
, -, PTHR19842.orig.30.pi, -,1.4e-23,83.6,7.4,4.1e-11,42.6,0.4,Bigna1_LST8
nesh1_pg.C_670086, -, PTHR19842.orig.30.pi, -,1.7e-23,83.2,0.6,3.5e-08,32.9,0.2,Bigna1_LST8
g.11_#_243, -, PTHR19842.orig.30.pi, -,2.1e-23,83.0,0.0,3.5e-13,49.4,0.0,Bigna1_LST8
g.1_#_411, -, PTHR19842.orig.30.pi, -,2.3e-23,82.8,3.2,1.7e-16,60.3,0.0,Bigna1_LST8
65.1, -, PTHR19842.orig.30.pi, -,6.8e-23,81.3,4.2,6.4e-15,55.1,0.2,Bigna1_LST8
12260, -, PTHR19842.orig.30.pi, -,7.1e-23,81.2,1.3,5.1e-09,35.7,0.0,Bigna1_LST8
nesh1_pm.C_70002, -, PTHR19842.orig.30.pi, -,1e-22,80.7,4.3,6.6e-05,22.2,0.0,Bigna1_LST8
g.7_#_46, -, PTHR19842.orig.30.pi, -,1.3e-22,80.3,0.3,7.5e-14,51.6,0.0,Bigna1_LST8
0.1, -, PTHR19842.orig.30.pi, -,2.1e-22,79.7,0.1,2.4e-14,53.2,0.3,Bigna1_LST8
