Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000002725.2	ASM272v2	Leishmania major strain Friedlin	347515	32855089	Complete Genome
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei	59799	20976081	Complete Genome
GCA_000227135.2	ASM22713v2	Leishmania donovani	5661	32444968	Chromosome
GCA_000755165.1	ASM75516v1	Leishmania panamensis	5679	30688794	Chromosome
GCA_962240445.1	Lutingensis_IOCL2689	Leishmania utingensis	653362	31161167	Chromosome
GCA_962240435.1	Llindenbergi_IOCL2690	Leishmania lindenbergi	651832	31126267	Chromosome
GCA_962240455.1	Lshawi_IOCL1545	Leishmania shawi	5680	31105824	Chromosome
GCA_962239345.1	Lnaiffi_IOCL1365	Leishmania naiffi	5678	31671391	Chromosome
GCA_000002445.1	ASM244v1	Trypanosoma brucei brucei TREU927	185431	26075494	Chromosome
GCA_000002875.2	ASM287v2	Leishmania infantum JPCM5	435258	32122061	Chromosome
GCA_000002845.2	ASM284v2	Leishmania braziliensis MHOM/BR/75/M2904	420245	32068771	Chromosome
GCA_000234665.4	ASM23466v4	Leishmania mexicana MHOM/GT/2001/U1103	929439	32108741	Chromosome
GCA_017918235.1	LU_Pher_1.0	Porcisia hertigi	2761500	34958538	Chromosome
GCA_017916335.1	LU_Lori_1.0	Leishmania orientalis	2249476	34194276	Chromosome
GCA_017916325.1	LU_Lmar_1.0	Leishmania martiniquensis	1580590	32413670	Chromosome
GCA_017916305.1	LU_Lenr_1.0	Leishmania enriettii	5663	33318864	Chromosome
GCA_017918215.1	LU_Lgha_1.0	Leishmania sp. Ghana 2012 LV757	2803181	35953538	Chromosome
GCA_017918225.1	LU_LNam_1.0	Leishmania sp. Namibia	2802991	34118624	Chromosome
GCA_000209065.1	ASM20906v1	Trypanosoma cruzi	5693	89937456	Scaffold
GCA_008403515.1	ASM840351v1	Naegleria fowleri	5763	29500442	Scaffold
GCA_021307395.1	TvIL_AH_1392	Trypanosoma vivax	5699	67823889	Contig
GCA_000004985.1	V1.0	Naegleria gruberi	5762	40964085	Scaffold
GCA_030068145.1	Dp_PB-MI_190104_dedup_cut_l100	Diplonema papillatum	91374	280283133	Contig
GCA_001299535.1	ASM129953v1	Leptomonas seymouri	5684	27764161	Scaffold
GCA_003324165.2	Nlova_2.1	Naegleria lovaniensis	51637	30830176	Scaffold
GCA_009859145.1	Andalucia_godoyi_V16	Andalucia godoyi	505711	20088560	Scaffold
GCA_001293395.1	ASM129339v1	Leptomonas pyrrhocoris	157538	30379903	Scaffold
GCA_022059095.1	T.mel.1	Trypanosoma melophagium	715481	23303718	Contig
GCA_026419775.2	AKona_v2	Acrasis kona	1008807	44023699	Scaffold
GCA_000582765.1	AKH_PRJEB1535_v1	Phytomonas sp. EM1	479712	17780869	Scaffold
GCA_002087225.1	Tth v3	Trypanosoma theileri	67003	29822211	Scaffold
GCA_001460835.1	BSAL	Bodo saltans	75058	39864394	Scaffold
GCA_000691245.1	Tgr_V1	Trypanosoma grayi	71804	20934132	Scaffold
GCA_003719475.1	ASM371947v1	Trypanosoma rangeli	5698	21157315	Scaffold
GCA_019188245.1	ASM1918824v1	Novymonas esmeraldas	1808958	32054678	Scaffold
GCA_001235845.1	ASM123584v1	Perkinsela sp. CCAP 1560/4	1314962	9477801	Scaffold
GCA_003719485.1	ASM371948v1	Trypanosoma conorhini	83891	21334213	Scaffold
GCA_000982615.1	AKI_PRJEB1539_v1	Phytomonas sp. Hart1	223615	18129152	Scaffold
GCA_001457755.2	Trypanosoma equiperdum OVI V2	Trypanosoma equiperdum	5694	26228029	Scaffold
GCA_916722125.1	LMJFC_annotationDEFINITIVO	Leishmania major strain Friedlin	347515	32797613	Complete Genome
GCA_003719575.1	ASM371957v1	Leishmania donovani	5661	32959864	Complete Genome
GCA_900635355.2	LDHU3_new	Leishmania donovani	5661	33035865	Complete Genome
GCA_900500625.2	LINF	Leishmania infantum	5671	32803248	Complete Genome
GCA_000210295.1	ASM21029v1	Trypanosoma brucei gambiense DAL972	679716	22148088	Chromosome
GCA_962243165.1	Lshawi_IOCL3481	Leishmania shawi	5680	31204522	Chromosome
GCA_003543875.1	ASM354387v1	Trypanosoma brucei equiperdum	630700	26991676	Chromosome
GCA_015033655.1	ASM1503365v1	Trypanosoma cruzi	5693	47218089	Chromosome
GCA_015033625.1	ASM1503362v1	Trypanosoma cruzi	5693	45556784	Chromosome
GCA_024505685.1	BA788	Leishmania braziliensis	5660	33476229	Chromosome
GCA_040363505.1	ASM4036350v1	Leishmania utingensis	653362	31161156	Chromosome
GCA_040363675.1	ASM4036367v1	Leishmania lindenbergi	651832	31126262	Chromosome
GCA_040363515.1	ASM4036351v1	Leishmania shawi	5680	31105818	Chromosome
GCA_040363645.1	ASM4036364v1	Leishmania shawi	5680	31204482	Chromosome
GCA_040363635.1	ASM4036363v1	Leishmania naiffi	5678	31671382	Chromosome
