tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
e1_1|42652|g3508.t1, -, PTHR12848.orig.30.pi, -,2.7e-17,62.2,0.0,2.2e-14,52.5,0.1,Amoce1_1
e1_1|56548|g12838.t, -, PTHR12848.orig.30.pi, -,7e-17,60.8,0.3,7e-17,60.8,0.3,Amoce1_1
e1_1|54909|g11610.t, -, PTHR12848.orig.30.pi, -,2.9e-16,58.7,0.0,9.7e-08,30.5,0.0,Amoce1_1
e1_1|56577|g12867.t, -, PTHR12848.orig.30.pi, -,5.8e-16,57.7,0.1,6.8e-16,57.5,0.1,Amoce1_1
e1_1|46954|g5622.t1, -, PTHR12848.orig.30.pi, -,4.9e-15,54.7,0.0,6.2e-14,51.0,0.0,Amoce1_1
e1_1|46604|g5440.t1, -, PTHR12848.orig.30.pi, -,2e-14,52.7,0.0,4.1e-14,51.6,0.0,Amoce1_1
e1_1|48986|g6953.t1, -, PTHR12848.orig.30.pi, -,6e-13,47.8,0.0,5.3e-12,44.6,0.0,Amoce1_1
e1_1|51094|g581.t1, -, PTHR12848.orig.30.pi, -,8.5e-13,47.3,2.6,1.6e-05,23.2,0.2,Amoce1_1
e1_1|50856|g8386.t1, -, PTHR12848.orig.30.pi, -,2.3e-12,45.8,1.7,1.4e-06,26.7,0.2,Amoce1_1
e1_1|56356|g12681.t, -, PTHR12848.orig.30.pi, -,2.7e-12,45.6,0.0,5.6e-06,24.7,0.0,Amoce1_1
e1_1|56562|g12852.t, -, PTHR12848.orig.30.pi, -,3.5e-12,45.2,0.0,2.6e-07,29.1,0.0,Amoce1_1
e1_1|52443|g9598.t1, -, PTHR12848.orig.30.pi, -,1.4e-11,43.3,0.1,2.4e-07,29.2,0.0,Amoce1_1
e1_1|55780|g1528.t1, -, PTHR12848.orig.30.pi, -,2.8e-11,42.2,0.1,2.9e-05,22.3,0.0,Amoce1_1
e1_1|47906|g6222.t1, -, PTHR12848.orig.30.pi, -,3.1e-11,42.1,3.3,1.4e-09,36.6,1.2,Amoce1_1
e1_1|55197|g11818.t, -, PTHR12848.orig.30.pi, -,5.5e-11,41.3,2.5,1.2e-09,36.9,2.1,Amoce1_1
e1_1|41591|g15.t1, -, PTHR12848.orig.30.pi, -,1.4e-10,39.9,0.2,4.1e-06,25.1,0.3,Amoce1_1
e1_1|56221|g12570.t, -, PTHR12848.orig.30.pi, -,1.4e-10,39.9,0.1,1.9e-07,29.5,0.1,Amoce1_1
e1_1|56137|g12486.t, -, PTHR12848.orig.30.pi, -,1.7e-10,39.6,2.5,6.8e-10,37.6,1.9,Amoce1_1
e1_1|40245|g2715.t1, -, PTHR12848.orig.30.pi, -,5.9e-10,37.9,2.3,1.5e-06,26.6,0.0,Amoce1_1
e1_1|40153|g2675.t1, -, PTHR12848.orig.30.pi, -,1.8e-09,36.2,0.0,6.7e-06,24.4,0.0,Amoce1_1
e1_1|40819|g15976.t, -, PTHR12848.orig.30.pi, -,2.2e-09,36.0,0.0,0.00034,18.7,0.0,Amoce1_1
e1_1|43672|g3932.t1, -, PTHR12848.orig.30.pi, -,5.5e-09,34.6,1.9,7.2e-05,21.0,0.1,Amoce1_1
e1_1|52271|g779.t1, -, PTHR12848.orig.30.pi, -,8.5e-09,34.0,0.0,1.2e-08,33.5,0.0,Amoce1_1
e1_1|52445|g9600.t1, -, PTHR12848.orig.30.pi, -,1.8e-08,32.9,0.1,9.6e-05,20.6,0.0,Amoce1_1
e1_1|40524|g15763.t, -, PTHR12848.orig.30.pi, -,3.9e-08,31.8,0.3,0.00034,18.8,0.0,Amoce1_1
e1_1|57240|g13429.t, -, PTHR12848.orig.30.pi, -,6e-08,31.2,1.7,1.8e-07,29.6,0.0,Amoce1_1
e1_1|59281|g14925.t, -, PTHR12848.orig.30.pi, -,7.6e-08,30.9,0.0,8.6e-08,30.7,0.0,Amoce1_1
e1_1|52924|g9930.t1, -, PTHR12848.orig.30.pi, -,9e-08,30.6,0.2,0.0016,16.6,0.0,Amoce1_1
e1_1|47627|g6060.t1, -, PTHR12848.orig.30.pi, -,2.3e-07,29.3,0.0,6.3e-07,27.8,0.0,Amoce1_1
e1_1|56703|g1730.t1, -, PTHR12848.orig.30.pi, -,2.3e-07,29.2,0.0,2.9e-07,28.9,0.0,Amoce1_1
e1_1|41132|g3000.t1, -, PTHR12848.orig.30.pi, -,3.4e-07,28.7,0.0,5.3e-06,24.8,0.0,Amoce1_1
e1_1|50087|g7843.t1, -, PTHR12848.orig.30.pi, -,4.7e-07,28.2,0.0,4.7e-07,28.2,0.0,Amoce1_1
e1_1|56001|g12380.t, -, PTHR12848.orig.30.pi, -,4.9e-07,28.2,0.1,0.0022,16.1,0.0,Amoce1_1
e1_1|57239|g13428.t, -, PTHR12848.orig.30.pi, -,1.1e-06,27.0,0.1,1.4e-06,26.7,0.1,Amoce1_1
e1_1|50086|g7842.t1, -, PTHR12848.orig.30.pi, -,1.3e-06,26.8,10.1,1.2e-05,23.6,3.5,Amoce1_1
e1_1|58628|g14445.t, -, PTHR12848.orig.30.pi, -,1.5e-06,26.5,4.8,7.2e-06,24.3,4.8,Amoce1_1
e1_1|40868|g2889.t1, -, PTHR12848.orig.30.pi, -,1.7e-06,26.4,2.1,0.096,10.6,0.1,Amoce1_1
e1_1|48648|g20256.t, -, PTHR12848.orig.30.pi, -,1.7e-06,26.4,1.9,0.0015,16.7,0.3,Amoce1_1
e1_1|58598|g14414.t, -, PTHR12848.orig.30.pi, -,1.8e-06,26.3,0.2,2.5e-06,25.8,0.2,Amoce1_1
e1_1|43823|g17889.t, -, PTHR12848.orig.30.pi, -,2.1e-06,26.1,0.0,0.0043,15.1,0.0,Amoce1_1
e1_1|53639|g1026.t1, -, PTHR12848.orig.30.pi, -,3.1e-06,25.5,0.1,0.0009,17.4,0.1,Amoce1_1
e1_1|52243|g9432.t1, -, PTHR12848.orig.30.pi, -,3.5e-06,25.4,0.0,6.3e-06,24.5,0.0,Amoce1_1
e1_1|45701|g4913.t1, -, PTHR12848.orig.30.pi, -,7.2e-06,24.3,3.2,8.4e-05,20.8,3.3,Amoce1_1
e1_1|55283|g11883.t, -, PTHR12848.orig.30.pi, -,7.6e-06,24.2,0.0,1.4e-05,23.4,0.0,Amoce1_1
e1_1|48975|g6945.t1, -, PTHR12848.orig.30.pi, -,9.8e-06,23.9,0.0,0.0035,15.4,0.0,Amoce1_1
e1_1|54365|g11162.t, -, PTHR12848.orig.30.pi, -,1.5e-05,23.2,0.0,0.18,9.7,0.0,Amoce1_1
e1_1|59633|g15135.t, -, PTHR12848.orig.30.pi, -,1.6e-05,23.2,0.4,0.019,13.0,0.2,Amoce1_1
e1_1|47396|g5888.t1, -, PTHR12848.orig.30.pi, -,1.7e-05,23.1,4.3,3.1e-05,22.2,3.9,Amoce1_1
e1_1|43043|g3645.t1, -, PTHR12848.orig.30.pi, -,2.2e-05,22.7,0.0,0.0014,16.7,0.0,Amoce1_1
e1_1|48436|g6533.t1, -, PTHR12848.orig.30.pi, -,4.3e-05,21.7,0.0,0.00096,17.3,0.0,Amoce1_1
e1_1|43938|g4062.t1, -, PTHR12848.orig.30.pi, -,7.3e-05,21.0,3.7,9.5e-05,20.6,3.7,Amoce1_1
