tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ETO19068.1, -, PTHR12848.orig.30.pi, -,1e-67,230.3,0.1,1.2e-67,230.1,0.1,GCA_000512085.1
ETO36585.1, -, PTHR12848.orig.30.pi, -,1.8e-45,156.6,37.6,2e-11,43.9,0.4,GCA_000512085.1
ETO23969.1, -, PTHR12848.orig.30.pi, -,8.1e-40,137.9,0.0,9.1e-40,137.7,0.0,GCA_000512085.1
ETO27021.1, -, PTHR12848.orig.30.pi, -,5.9e-39,135.0,0.1,6.6e-39,134.9,0.1,GCA_000512085.1
ETN99131.1, -, PTHR12848.orig.30.pi, -,1.2e-38,134.1,23.8,1.4e-15,57.6,3.7,GCA_000512085.1
ETO22529.1, -, PTHR12848.orig.30.pi, -,2.4e-37,129.7,43.7,8.1e-12,45.1,1.6,GCA_000512085.1
ETO06038.1, -, PTHR12848.orig.30.pi, -,2.6e-36,126.3,22.1,1.3e-12,47.8,0.3,GCA_000512085.1
ETO36890.1, -, PTHR12848.orig.30.pi, -,3.9e-36,125.7,28.8,8.8e-13,48.3,0.8,GCA_000512085.1
ETO16966.1, -, PTHR12848.orig.30.pi, -,7.9e-36,124.7,19.2,5.2e-13,49.1,2.4,GCA_000512085.1
ETO11043.1, -, PTHR12848.orig.30.pi, -,1.1e-35,124.3,39.1,3.9e-15,56.1,1.8,GCA_000512085.1
ETO12561.1, -, PTHR12848.orig.30.pi, -,2.7e-35,122.9,17.1,1.2e-10,41.3,0.9,GCA_000512085.1
ETO04622.1, -, PTHR12848.orig.30.pi, -,2.8e-35,122.8,18.2,2.1e-11,43.8,0.1,GCA_000512085.1
ETO31233.1, -, PTHR12848.orig.30.pi, -,4.6e-35,122.2,24.1,5.4e-11,42.4,2.1,GCA_000512085.1
ETO35954.1, -, PTHR12848.orig.30.pi, -,8.5e-35,121.3,15.4,7.8e-18,65.1,1.3,GCA_000512085.1
ETO14590.1, -, PTHR12848.orig.30.pi, -,4.5e-34,118.9,16.1,3.1e-11,43.2,0.9,GCA_000512085.1
ETO34877.1, -, PTHR12848.orig.30.pi, -,8.9e-34,117.9,23.7,2.2e-11,43.7,3.4,GCA_000512085.1
ETO16018.1, -, PTHR12848.orig.30.pi, -,1.4e-33,117.3,15.0,1.3e-15,57.7,0.0,GCA_000512085.1
ETO12363.1, -, PTHR12848.orig.30.pi, -,1.8e-33,116.9,22.6,4.1e-12,46.1,1.4,GCA_000512085.1
ETO36350.1, -, PTHR12848.orig.30.pi, -,2.7e-33,116.3,25.3,3.8e-17,62.8,5.0,GCA_000512085.1
ETO27022.1, -, PTHR12848.orig.30.pi, -,3.4e-33,116.0,0.2,3.7e-33,115.8,0.2,GCA_000512085.1
ETO35016.1, -, PTHR12848.orig.30.pi, -,3.5e-33,115.9,14.1,1e-12,48.1,0.6,GCA_000512085.1
ETO16748.1, -, PTHR12848.orig.30.pi, -,3.9e-33,115.8,28.4,2.9e-09,36.7,1.2,GCA_000512085.1
ETO36556.1, -, PTHR12848.orig.30.pi, -,4.8e-33,115.5,12.4,8e-14,51.8,2.4,GCA_000512085.1
ETO34870.1, -, PTHR12848.orig.30.pi, -,7.2e-33,114.9,23.9,9.2e-15,54.9,0.4,GCA_000512085.1
ETO12074.1, -, PTHR12848.orig.30.pi, -,1.2e-32,114.2,25.7,1.2e-15,57.8,2.8,GCA_000512085.1
ETO24763.1, -, PTHR12848.orig.30.pi, -,1.3e-32,114.1,29.2,4.6e-13,49.3,10.0,GCA_000512085.1
ETO33232.1, -, PTHR12848.orig.30.pi, -,1.3e-32,114.0,20.0,2e-10,40.6,1.4,GCA_000512085.1
ETO01393.1, -, PTHR12848.orig.30.pi, -,1.5e-32,113.8,16.3,1.3e-11,44.5,2.3,GCA_000512085.1
ETO12836.1, -, PTHR12848.orig.30.pi, -,2e-32,113.4,26.8,1e-10,41.5,0.5,GCA_000512085.1
ETO09924.1, -, PTHR12848.orig.30.pi, -,2.6e-32,113.0,33.8,5.8e-12,45.6,3.6,GCA_000512085.1
ETO30881.1, -, PTHR12848.orig.30.pi, -,3.3e-32,112.7,14.8,1.2e-15,57.9,0.6,GCA_000512085.1
ETO32689.1, -, PTHR12848.orig.30.pi, -,4.5e-32,112.3,18.3,4.4e-09,36.1,2.4,GCA_000512085.1
ETO09075.1, -, PTHR12848.orig.30.pi, -,8.5e-32,111.3,29.7,2.6e-11,43.5,4.5,GCA_000512085.1
ETO34195.1, -, PTHR12848.orig.30.pi, -,1.1e-31,111.0,23.1,2.3e-12,47.0,0.1,GCA_000512085.1
ETO15634.1, -, PTHR12848.orig.30.pi, -,1.5e-31,110.5,25.3,1.8e-10,40.7,1.6,GCA_000512085.1
ETO28275.1, -, PTHR12848.orig.30.pi, -,2.3e-31,109.9,22.8,1e-09,38.2,0.2,GCA_000512085.1
ETO32083.1, -, PTHR12848.orig.30.pi, -,2.8e-31,109.6,25.3,1.8e-12,47.3,1.6,GCA_000512085.1
ETO15589.1, -, PTHR12848.orig.30.pi, -,4.2e-31,109.0,26.1,1.5e-08,34.3,1.1,GCA_000512085.1
ETO07973.1, -, PTHR12848.orig.30.pi, -,5.2e-31,108.7,16.3,2.3e-09,37.0,0.4,GCA_000512085.1
ETO25575.1, -, PTHR12848.orig.30.pi, -,6.5e-31,108.4,24.7,4.6e-10,39.3,3.2,GCA_000512085.1
ETO32542.1, -, PTHR12848.orig.30.pi, -,1e-30,107.7,23.4,3.1e-12,46.5,0.2,GCA_000512085.1
ETO35409.1, -, PTHR12848.orig.30.pi, -,1.4e-30,107.3,23.2,1e-12,48.1,0.1,GCA_000512085.1
ETO36290.1, -, PTHR12848.orig.30.pi, -,1.4e-30,107.3,22.1,7.6e-14,51.9,2.1,GCA_000512085.1
ETO34731.1, -, PTHR12848.orig.30.pi, -,1.7e-30,107.0,29.0,9.5e-14,51.5,6.4,GCA_000512085.1
ETO05355.1, -, PTHR12848.orig.30.pi, -,2.2e-30,106.6,17.3,6.1e-13,48.9,0.5,GCA_000512085.1
ETO12690.1, -, PTHR12848.orig.30.pi, -,2.4e-30,106.5,20.0,2.2e-14,53.7,3.2,GCA_000512085.1
ETO28818.1, -, PTHR12848.orig.30.pi, -,3.5e-30,106.0,11.3,8.2e-15,55.1,2.0,GCA_000512085.1
ETO34311.1, -, PTHR12848.orig.30.pi, -,4.8e-30,105.5,25.0,1.3e-09,37.9,0.8,GCA_000512085.1
ETO14549.1, -, PTHR12848.orig.30.pi, -,5.2e-30,105.4,24.0,1.5e-16,60.9,4.4,GCA_000512085.1
ETO33794.1, -, PTHR12848.orig.30.pi, -,5.8e-30,105.3,16.2,1.6e-08,34.3,0.1,GCA_000512085.1
ETO36546.1, -, PTHR12848.orig.30.pi, -,6.1e-30,105.2,12.0,3.1e-12,46.5,2.8,GCA_000512085.1
ETO05302.1, -, PTHR12848.orig.30.pi, -,1.1e-29,104.4,20.8,4e-08,32.9,0.2,GCA_000512085.1
ETO21378.1, -, PTHR12848.orig.30.pi, -,1.5e-29,103.9,17.6,1.6e-12,47.5,2.6,GCA_000512085.1
ETO35185.1, -, PTHR12848.orig.30.pi, -,2.5e-29,103.2,21.1,1.5e-14,54.2,1.8,GCA_000512085.1
ETO11601.1, -, PTHR12848.orig.30.pi, -,2.5e-29,103.2,21.0,5.5e-13,49.0,6.4,GCA_000512085.1
ETO36593.1, -, PTHR12848.orig.30.pi, -,2.5e-29,103.2,11.8,1.9e-10,40.6,0.1,GCA_000512085.1
ETO24883.1, -, PTHR12848.orig.30.pi, -,2.8e-29,103.0,13.5,1.6e-10,40.8,0.1,GCA_000512085.1
ETO07071.1, -, PTHR12848.orig.30.pi, -,3.2e-29,102.8,30.2,1.5e-12,47.6,6.1,GCA_000512085.1
ETO17126.1, -, PTHR12848.orig.30.pi, -,5.8e-29,102.0,39.9,3.8e-13,49.6,5.6,GCA_000512085.1
ETO14568.1, -, PTHR12848.orig.30.pi, -,1.8e-28,100.3,20.8,1.4e-12,47.6,3.0,GCA_000512085.1
ETO05269.1, -, PTHR12848.orig.30.pi, -,2.1e-28,100.1,19.2,2.3e-11,43.7,2.0,GCA_000512085.1
ETO13217.1, -, PTHR12848.orig.30.pi, -,2.4e-28,99.9,40.1,3.8e-10,39.6,1.9,GCA_000512085.1
ETO29132.1, -, PTHR12848.orig.30.pi, -,2.7e-28,99.7,25.2,1.9e-12,47.3,1.2,GCA_000512085.1
ETO29194.1, -, PTHR12848.orig.30.pi, -,5.2e-28,98.8,13.2,5e-14,52.5,4.2,GCA_000512085.1
ETO10827.1, -, PTHR12848.orig.30.pi, -,6.4e-28,98.5,25.5,1e-14,54.8,6.2,GCA_000512085.1
ETO22081.1, -, PTHR12848.orig.30.pi, -,6.7e-28,98.4,26.3,3.5e-12,46.4,2.0,GCA_000512085.1
ETO15653.1, -, PTHR12848.orig.30.pi, -,7.1e-28,98.4,5.4,1.1e-12,48.0,0.1,GCA_000512085.1
ETO00505.1, -, PTHR12848.orig.30.pi, -,7.6e-28,98.2,21.7,8.8e-10,38.4,0.1,GCA_000512085.1
ETO21926.1, -, PTHR12848.orig.30.pi, -,1.8e-27,97.0,20.8,7.8e-11,41.9,4.1,GCA_000512085.1
ETO04528.1, -, PTHR12848.orig.30.pi, -,2e-27,96.8,29.1,4.2e-10,39.5,0.3,GCA_000512085.1
ETO05180.1, -, PTHR12848.orig.30.pi, -,2.2e-27,96.7,23.4,7.8e-13,48.5,5.2,GCA_000512085.1
ETO35956.1, -, PTHR12848.orig.30.pi, -,3.1e-27,96.2,20.9,2.6e-12,46.8,1.8,GCA_000512085.1
ETO36673.1, -, PTHR12848.orig.30.pi, -,3.6e-27,96.0,23.6,5.7e-06,25.8,0.4,GCA_000512085.1
ETO11695.1, -, PTHR12848.orig.30.pi, -,6.9e-27,95.1,21.4,1.1e-11,44.8,3.5,GCA_000512085.1
