tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CEO95116.1, -, PTHR11139.orig.30.pi, -,0.0,1560.5,43.6,0.0,1560.2,43.6,GCA_001049375.1
CEP02592.1, -, PTHR11139.orig.30.pi, -,3.2e-197,657.8,58.1,2e-198,657.4,58.1,GCA_001049375.1
CEP01214.1, -, PTHR11139.orig.30.pi, -,1.3e-170,569.5,76.7,6e-171,569.2,76.7,GCA_001049375.1
CEP02365.1, -, PTHR11139.orig.30.pi, -,1.5e-148,496.3,87.9,2e-149,495.2,87.8,GCA_001049375.1
CEO94531.1, -, PTHR11139.orig.30.pi, -,6.9e-138,460.9,73.2,3e-135,452.2,73.1,GCA_001049375.1
CEO98522.1, -, PTHR11139.orig.30.pi, -,1.5e-127,426.6,7.3,5e-128,426.6,7.3,GCA_001049375.1
CEO95235.1, -, PTHR11139.orig.30.pi, -,8.2e-91,304.7,6.4,8.2e-91,304.7,6.4,GCA_001049375.1
CEO98530.1, -, PTHR11139.orig.30.pi, -,2e-59,200.6,0.0,2.4e-59,200.4,0.0,GCA_001049375.1
CEO99085.1, -, PTHR11139.orig.30.pi, -,7.5e-12,42.8,7.7,1.8e-11,41.5,7.0,GCA_001049375.1
CEP01345.1, -, PTHR11139.orig.30.pi, -,3.9e-11,40.4,3.3,6.4e-11,39.7,0.2,GCA_001049375.1
CEO95211.1, -, PTHR11139.orig.30.pi, -,1.1e-08,32.3,0.5,2.4e-08,31.2,0.0,GCA_001049375.1
CEO95236.1, -, PTHR11139.orig.30.pi, -,4.5e-08,30.3,0.3,4.5e-08,30.3,0.3,GCA_001049375.1
CEO97063.1, -, PTHR11139.orig.30.pi, -,6.3e-06,23.1,0.8,0.00056,16.7,0.5,GCA_001049375.1
CEP03284.1, -, PTHR11139.orig.30.pi, -,6.9e-05,19.7,0.7,9e-05,19.3,0.7,GCA_001049375.1
CEP03149.1, -, PTHR11139.orig.30.pi, -,0.00027,17.7,9.5,0.00035,17.4,9.5,GCA_001049375.1
CEO99468.1, -, PTHR11139.orig.30.pi, -,0.00038,17.2,15.7,0.029,11.0,15.8,GCA_001049375.1
CEO94986.1, -, PTHR11139.orig.30.pi, -,0.0018,15.0,0.0,0.23,8.0,0.0,GCA_001049375.1
CEP03231.1, -, PTHR11139.orig.30.pi, -,0.0022,14.7,0.4,0.003,14.3,0.4,GCA_001049375.1
CEP03596.1, -, PTHR11139.orig.30.pi, -,0.021,11.4,12.9,0.054,10.1,12.9,GCA_001049375.1
CEO96536.1, -, PTHR11139.orig.30.pi, -,0.025,11.2,0.1,0.092,9.3,0.2,GCA_001049375.1
